pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Facing,Possession in,furnishing,features,ratings,Overlooking,Property Age
"2 BHK Flat in Katara Hills, Bhopal",Macker Silver Estate Vertica,₹20 Lac,"₹2,724 /sqft",Ready To Move,It's a good society with lovely people There is a garden There is a temple A club house A big balcony And everything clean,"Carpet area: 734
(68.19 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 20 Lac
@ 2,724 per sq.ft. (All inclusive)","Macker Silver Estate Vertica
Katara Hills, Bhopal",6th   of 7 Floors,,,"['2 Wardrobe', '4 Fan', '1 Geyser', '1 Modular Kitchen', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Club",5 to 10 Year Old
"2 BHK Flat in Lalita Nagar, Bhopal",Raj harsh colony,₹21.5 Lac,"₹3,071 /sqft",Ready To Move,"It is prime location and walking distace from school,hospital,transport ,market etc","Carpet area: 700
(65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 21.5 Lac+ Govt Charges & Tax
@ 3,071 per sq.ft. (All inclusive, Negotiable)","Raj harsh colony
Lalita Nagar, Bhopal",2nd   of 4 Floors,East,,"['2 Fan', '1 Exhaust Fan', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],[],,5 to 10 Year Old
"2 BHK Flat in Lambakheda, Bhopal",Kartik Kasturi Heights,₹25 Lac,"₹2,314 /sqft",Ready To Move,Beautiful view coverd campus and well maintained society,"Carpet area: 1080
(100.34 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 25 Lac
@ 2,314 per sq.ft. (Negotiable)","Kartik Kasturi Heights
Lambakheda, Bhopal",2nd   of 6 Floors,,,[],"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",[],"Park/Garden,Main Road",1 to 5 Year Old    View Construction Status
"4 BHK Flat in Katara Hills, Bhopal",Fast Track Heavens Height,₹58 Lac,"₹3,222 /sqft",Ready To Move,"4 bhk penthouse flat very spacious , with personal terrace east facing...","Super Built up area 2300
(213.68 sq.m.)
Carpet area: 1800 sq.ft. (167.23 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3 Balconies
View Floor Plan","₹ 58 Lac+ Govt Charges & Tax
@ 3,222 per sq.ft. (Negotiable)","Fast Track Heavens Height
Katara Hills, Bhopal",6th   of 7 Floors,East,,[],"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Pool,Club",1 to 5 Year Old
"3 BHK Flat in Katara Hills, Bhopal",Fast Track Heavens Height,₹37 Lac,"₹2,892 /sqft",Ready To Move,3 bhk corner 1500 sq. Ft super built up flat with 1 balcony 1 wash area 3 bathroom... Beautiful view from balcony carpet 1000 sq. Ft super built 1279 sq. Ft..,"Super Built up area 1279
(118.82 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 37 Lac+ Govt Charges & Tax
@ 2,892 per sq.ft.","Fast Track Heavens Height
Katara Hills, Bhopal",2nd   of 6 Floors,East,,[],"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Main Road",1 to 5 Year Old
"2 BHK Flat in Katara Hills, Bhopal",Ramayan Indraprasth Heights,₹16 Lac,"₹2,406 /sqft",Ready To Move,"Ramayan indraprasth heights is one of the most popular destination for buying apartments/ flats in katara hills, bhopal. You too can be a part of this society by purchasing this 2 bhk flat here. Containing 2 bedroom(s), 1 bathroom and 2 balconies, this flat is spread over a carpet area of 665 sq.Ft. This flat is situated on the top floor of this 1 floor tall residential building. This 1-5 years old property is available for immediate possession as the project is ready to move. The society is well equipped with many modern amenities, including park, maintenance staff, visitor parking and lift(s). An uninterrupted supply of clean water provides a hassle-Free experience for the residents.","Carpet area: 665
(61.78 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 2 Balconies","₹ 16 Lac
@ 2,406 per sq.ft.","Ramayan Indraprasth Heights
Katara Hills, Bhopal",1st   of 1 Floors,,,"['2 Bed', '1 Wardrobe', '1 Water Purifier', '3 Fan', '1 Fridge', '1 Sofa', '1 Geyser', '1 Washing Machine', '6 Light', '1 TV', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Stove']","['Power Back-up', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Main Road",1 to 5 Year Old
"2 BHK Flat in Gandhinagar, Bhopal",Kamal The Bellaire,₹30 Lac,"₹3,000 /sqft",Ready To Move,"This 2bhk apartment offers 1000 sq ft of built-Up area, located on the 4th floor with a clear road view and plenty of natural light. With no flat directly in front, it ensures complete privacy. Situated in a peaceful and well-Connected neighborhood, close to schools, markets, and public transport. Suitable for families or as an investment.","Carpet area: 1000
(92.9 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 30 Lac
@ 3,000 per sq.ft.","Kamal The Bellaire
Gandhinagar, Bhopal",4th   of 7 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,5 to 10 Year Old
"4 BHK Flat in Shirdipuram, Bhopal",Signature Residency,₹1.3 Cr,₹724 /sqft,Ready To Move,Whatsapp me for more details. It's a 4 bhk penthouse which gives option to make 1 more bedroom if required along with dedicated roof with 24 hot water supply ( Solar water heater installed on all bathroom including kitchen.,"Carpet area: 1668   
sq.m.","4 Bedrooms , 3 Bathrooms, 3+ Balconies","₹ 1.3 Crore+ Govt Charges & Tax
@ 7,793 per sq.m. View Price Details","Signature Residency
Shirdipuram, Bhopal",6th   of 6 Floors,,,[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",[],"Pool,Park/Garden,Club,Main Road",5 to 10 Year Old
"2 BHK Flat in Khushipura, Bhopal",Hari Siddhi,₹22.5 Lac,"₹4,113 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in samriddhi apartment, kolar road, bhopal. This it is a and the unit is located on 1st floor and has a super built-Up area of 547 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 547
(50.82 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 22.5 Lac
@ 4,113 per sq.ft.","Hari Siddhi
Khushipura, Bhopal",1st   of 3 Floors,,,[],['Visitor Parking'],[],,5 to 10 Year Old
"2 BHK Flat in Misrod, Bhopal",Fortune Soumya Heritage,₹24.5 Lac,"₹2,606 /sqft",Ready To Move,"Well located with all amenities near my society . School, malls , hospital, roads and hotels","Super Built up area 940
(87.33 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 24.5 Lac+ Govt Charges & Tax
@ 2,606 per sq.ft. (All inclusive, Negotiable)","Fortune Soumya Heritage
Misrod, Bhopal",4th   of 6 Floors,East,,[],"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Club",1 to 5 Year Old    View Construction Status
"3 BHK Flat in Katara Hills, Bhopal",Asnani Spring Valley Dew,₹37 Lac,"₹3,045 /sqft",Ready To Move,"Looking for a 3 bhk property for sale in bhopal? Buy this 3 bhk flat in asnani spring valley dew that is situated in katara hills, bhopal. This residential flat is east-Facing direction. The flat occupies a built up area of 1215 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 3 balconies. The residential building has 3 floors in total and the flat for sale is located on the top floor. As the project is already ready to move, so you can easily move into this 1-5 years old property.","Built Up area: 1215
(112.88 sq.m.)
Carpet area: 1050 sq.ft. (97.55 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 37 Lac
@ 3,045 per sq.ft. View Price Details","Asnani Spring Valley Dew
Katara Hills, Bhopal",3rd   of 3 Floors,East,undefined,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Mahawadiya, Bhopal",IBD Hallmark Citii,₹20 Lac,"₹2,547 /sqft",Ready To Move,"Ibd hallmark citii, have 1500 flat scheme the biggest scheme in bhopal, is one of the most popular 6 lan road touch destination for buying apartments/ flats in mahawadiya, bhopal. You too can be a part of this society by purchasing this 2 bhk east facing flat here with lift facility. In this project only 4-5 towers are there with lift facility so choose the property very carefully. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a carpet area of 545 sq.Ft. The flat has a total of 6 floors and this property is situated on 3rd floor. This is a ready to move project and the property is 1-5 years old. Prices are increasing every month.","Super Built up area 785
(72.93 sq.m.)
Carpet area: 545 sq.ft. (50.63 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 20 Lac+ Govt Charges & Tax
@ 2,547 per sq.ft.","IBD Hallmark Citii
Mahawadiya, Bhopal",3rd   of 6 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,1 to 5 Year Old
"2 BHK Flat in Rajharsh Colony, Bhopal",Soumya Evergreen,₹18 Lac,"₹2,769 /sqft",Ready To Move,"Pls contact for queries. Flat address is t1, third floor, chandra homes, rajharsh colony sector d nayapura kolar","Super Built up area 680
(63.17 sq.m.)
Carpet area: 650 sq.ft. (60.39 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 18 Lac+ Govt Charges & Tax
@ 2,769 per sq.ft. (All inclusive, Negotiable)","Soumya Evergreen
Rajharsh Colony, Bhopal",3rd   of 3 Floors,,,[],"['Intercom Facility', 'Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Main Road,5 to 10 Year Old
"2 BHK Flat in Ayodhya Bypass , Bhopal",Agrawal Sagar Lakeview Homes,₹31.5 Lac,"₹4,144 /sqft",Ready To Move,"Well maintained and fully occupied society will all required amenities i.E. Swimming pool, lift, security guard, cctv surveillance, garden, temple etc. It's already running on rent since beginning but condition of flat is very good","Super Built up area 1080
(100.34 sq.m.)
Carpet area: 760 sq.ft. (70.61 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 31.5 Lac+ Govt Charges & Tax
@ 4,144 per sq.ft. (All inclusive, Negotiable) View Price Details","Agrawal Sagar Lakeview Homes
Ayodhya Bypass , Bhopal",3rd   of 6 Floors,,,"['4 Fan', '1 Exhaust Fan', '6 Light', '1 Modular Kitchen', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,5 to 10 Year Old
"2 BHK Flat in Kolar Road, Bhopal",Sarvadharm Colony,₹21 Lac,"₹3,853 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in sarvadharm colony, kolar road, bhopal. This it is a and the unit is located on 2nd floor and has a carpet area of 545 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type. Spacious 2 bhk flat of for sale facing the road and very well ventilated located in prime location of kolar road. No brokers please.","Carpet area: 545
(50.63 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 21 Lac
@ 3,853 per sq.ft.","Sarvadharm Colony
Kolar Road, Bhopal",2nd   of 3 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,10+ Year Old
"2 BHK Flat in Rajendra Nagar, Bhopal",khushipra,₹23 Lac,"₹3,650 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in khushipra, rajendra nagar, bhopal. This it is a and the unit is located on 1st floor and has a super built-Up area of 630 sq.Ft. . It has 2 bathroom(s) and 3 balcony(s). The ownership is freehold type.","Super Built up area 630
(58.53 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 23 Lac
@ 3,650 per sq.ft.","khushipra
Rajendra Nagar, Bhopal",1st   of 3 Floors,,,[],[],[],,5 to 10 Year Old
"3 BHK Flat in Ayodhya Bypass , Bhopal",Agrawal Sagar Lakeview Homes,₹60 Lac,"₹3,896 /sqft",Ready To Move,3 bhk flat at the top floor..Terrace attached,"Super Built up area 1540
(143.07 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3+ Balconies","₹ 60 Lac
@ 3,896 per sq.ft.","Agrawal Sagar Lakeview Homes
Ayodhya Bypass , Bhopal",5th   of 5 Floors,North,,[],"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Park/Garden,1 to 5 Year Old
"2 BHK Flat in Mahawadiya, Bhopal",IBD Hallmark Citii,₹16.75 Lac,"₹2,133 /sqft",Ready To Move,"It is a ready-To-Move 2 bhk apartment. The society premise is great, temple within the society, a large play area, and great maintenance. Society is surrounded by lush green environment and flats are very well ventilated, thus you can have fresh breeze of air all the time of the day. Secondly, basic amenities like water and power is in abundance thus you will not face any shortage of that. Thirdly this society have just 5 to 8 minutes drive to d-Mart hence groceries are at your footsteps with many other shops like medical stores nearby too. Near to some of the famous schools of bhopal like mother teresa and holy cross school and with good hospitals nearby.","Super Built up area 785
(72.93 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 16.75 Lac+ Govt Charges & Tax
@ 2,133 per sq.ft. (All inclusive, Negotiable)","IBD Hallmark Citii
Mahawadiya, Bhopal",3rd   of 6 Floors,,,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'Park', 'Recently Renovated', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,1 to 5 Year Old
"3 BHK Flat in Janki Nagar, Bhopal",Unitech Unihomes 2,₹41 Lac,"₹2,523 /sqft",Ready To Move,"Check out this 3 bhk apartment for sale in unitech unihomes 2, a popular residential project that houses in-Demand flats in janki nagar, bhopal. This is a north-Facing property. The flat occupies a built up area of 1625 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 3 balconies. This flat is situated on the 1st floor of this 6 floors tall residential building. Being a ready to move project, you can expect immediate possession of this 1-5 years old property.","Built Up area: 1625
(150.97 sq.m.)
Carpet area: 1145 sq.ft. (106.37 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 41 Lac
@ 2,523 per sq.ft.","Unitech Unihomes 2
Janki Nagar, Bhopal",1st   of 6 Floors,North,undefined,[],[],[],,
"2 BHK Flat in Kolar Road, Bhopal",Bilal complex Apartments,₹30 Lac,"₹3,588 /sqft",Ready To Move,Property for sale fully furnished with all amenities,"Carpet area: 836
(77.67 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony with Study Room","₹ 30 Lac
@ 3,588 per sq.ft. (Negotiable)","Bilal complex Apartments
Kolar Road, Bhopal",3rd   of 3 Floors,East,,"['1 Water Purifier', '3 Fan', '1 Fridge', '1 Exhaust Fan', '1 Geyser', '8 Light', '1 AC', '1 TV', '1 Modular Kitchen', '1 Curtains', '1 Bed', '2 Wardrobe', '1 Sofa', '1 Washing Machine', 'No Chimney', 'No Dining Table', 'No Microwave', 'No Stove']",['Water Storage'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,5 to 10 Year Old
"4 BHK Flat in Panchwati Colony, Bhopal",Sai Homes,₹34 Lac,"₹3,777 /sqft",Ready To Move,I need to sell this house (Flat) urgently :,"Carpet area: 900
(83.61 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 34 Lac
@ 3,777 per sq.ft. (All inclusive, Negotiable)","Sai Homes
Panchwati Colony, Bhopal",1st   of 3 Floors,North,,"['3 Fan', '3 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,1 to 5 Year Old
"3 BHK Flat in Mahawadiya, Bhopal",IBD Hallmark Citii,₹25 Lac,"₹2,325 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in ibd hallmark citii, mahawadiya, bhopal. This it is a and the unit is located on 2nd floor and has a carpet area of 1075 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Carpet area: 1075
(99.87 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, No Balcony","₹ 25 Lac
@ 2,325 per sq.ft.","IBD Hallmark Citii
Mahawadiya, Bhopal",2nd   of 3 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,1 to 5 Year Old
"2 BHK Flat in Janki Nagar, Bhopal",Faith Imperial Height,₹25 Lac,"₹2,744 /sqft",Ready To Move,"Faith imperial height is one of the most popular destination for buying apartments/ flats in janki nagar, bhopal. You too can be a part of this society by purchasing this 2 bhk flat here. This is a south-East-Facing property. The flat is over 911 sq.Ft. Carpet area and comes with 2 bedroom(s), 2 bathrooms and 3 balconies. This flat lies on the top level of a 1 storey building. This is a ready to move project and the property is 5-10 years old.","Carpet area: 911
(84.63 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 25 Lac
@ 2,744 per sq.ft.","Faith Imperial Height
Janki Nagar, Bhopal",1st   of 1 Floors,South-East,undefined,[],[],[],,
"3 BHK Flat in Gulmohar Colony, Bhopal",green heights,₹75 Lac,"₹4,167 /sqft",Ready To Move,"This 3 bhk apartment is available for sale in green heights, one of the most prominent projects for flats in gulmohar colony, bhopal. This is a east-Facing property. Constructed on a built up area of 1800 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 2 balconies. The residential building has 6 floors in total and the flat for sale is located on the 1st floor. Being a ready to move project, you can expect immediate possession of this 1-5 years old property.","Built Up area: 1800
(167.23 sq.m.)
Carpet area: 1250 sq.ft. (116.13 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 75 Lac
@ 4,167 per sq.ft. View Price Details","green heights
Gulmohar Colony, Bhopal",1st   of 6 Floors,East,undefined,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Katara Hills, Bhopal",Narmada Prem Kesar,₹25 Lac,"₹2,173 /sqft",Ready To Move,This location is very attractive and near main katara road,"Super Built up area 1150
(106.84 sq.m.)
Carpet area: 850 sq.ft. (78.97 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 25 Lac
@ 2,173 per sq.ft. (All inclusive, Negotiable)","Narmada Prem Kesar
Katara Hills, Bhopal",3rd   of 6 Floors,West,,[],"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Main Road",1 to 5 Year Old    View Construction Status
"3 BHK Flat in Mahawadiya, Bhopal",IBD Hallmark Citii,₹30 Lac,"₹2,553 /sqft",Ready To Move,This property available on kolar road,"Carpet area: 1175
(109.16 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 30 Lac+ Govt Charges & Tax
@ 2,553 per sq.ft. (All inclusive, Negotiable)","IBD Hallmark Citii
Mahawadiya, Bhopal",2nd   of 3 Floors,,,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Main Road",1 to 5 Year Old
"2 BHK Flat in Kolar Road, Bhopal",Drishti City,₹27.8 Lac,"₹2,865 /sqft",Ready To Move,"This 2 bhk apartment is available for sale in drishti city, one of the most prominent projects for flats in kolar road, bhopal. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a super built up area of 970 sq.Ft. The flat has a total of 6 floors and this property is situated on 1st floor. An added advantage of this 5-10 years old flat is that it is available for immediate possession as the project is already ready to move. The vitrified flooring of this flat is beautifully designed and helps to give it a pleasing look. This flat is located near close to school, close to hospital, close to market and close to highway. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, fitness centre / gym, club house / community center, park, shopping centre, lift(s), maintenance staff and visitor parking. The residential project is well equipped to meet all your water needs through access to municipal corporation and borewell/tank supply.","Super Built up area 970
(90.12 sq.m.)
Carpet area: 900 sq.ft. (83.61 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 27.8 Lac+ Govt Charges & Tax
@ 2,865 per sq.ft. (All inclusive, Negotiable)","Drishti City
Kolar Road, Bhopal",1st   of 6 Floors,,,"['1 Wardrobe', '1 Fan', '1 Fridge', '1 Exhaust Fan', '1 Geyser', '1 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Pool,Park/Garden,Club,Main Road",5 to 10 Year Old
"1 BHK Flat in Bypass Road, Bhopal",gurushishya prangan society khadi road beed,₹16 Lac,"₹4,000 /sqft",Ready To Move,"We are the proud owners of this 1 bhk apartment available in gurushishya prangan society khadi road beed, bypass road, bhopal. This it is a and the unit is located on 1st floor and has a carpet area of 400 sq.Ft. . It has 1 bathroom(s) and 2 balcony(s). The ownership is freehold type.","Carpet area: 400
(37.16 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 2 Balconies","₹ 16 Lac
@ 4,000 per sq.ft.","gurushishya prangan society khadi road beed
Bypass Road, Bhopal",1st   of 3 Floors,,,[],[],[],,5 to 10 Year Old
"2 BHK Flat in Chuna Bhatti, Bhopal",Chinar Woodlands,₹38 Lac,"₹6,724 /sqft",Ready To Move,"Chinar woodlands is one of the most popular destination for buying apartments/ flats in chuna bhatti, bhopal. You too can be a part of this society by purchasing this 2 bhk flat here. The flat is over 52 sq.M. Carpet area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. The flat has a total of 4 floors and this property is situated on 1st floor. This 10+ years old property is available for immediate possession as the project is ready to move.","Carpet area: 52.5   
sq.m.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 38 Lac
@ 72,380 per sq.m. (Negotiable)","Chinar Woodlands
Chuna Bhatti, Bhopal",1st   of 4 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,10+ Year Old
"2 BHK Flat in Katara Hills, Bhopal",Fortune Soumya Atlantis,₹20.5 Lac,"₹2,562 /sqft",Ready To Move,Selling this property due to urgency otherwise its a best colony to live in bhopal.,"Super Built up area 930
(86.4 sq.m.)
Carpet area: 800 sq.ft. (74.32 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 20.5 Lac+ Govt Charges & Tax
@ 2,562 per sq.ft. (All inclusive)","Fortune Soumya Atlantis
Katara Hills, Bhopal",6th   of 6 Floors,,,"['1 Bed', '1 Wardrobe', '1 Water Purifier', '1 Fan', '1 Sofa', '1 Light', '1 Modular Kitchen', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine']","['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Pool,Park/Garden,Club",5 to 10 Year Old    View Construction Status
"2 BHK Flat in Old City, Bhopal",Appartment girdhari,₹26 Lac,"₹4,000 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in kamla park ginnori road bhopal, hoshangabad road, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 650 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 650
(60.39 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 26 Lac+ Govt Charges & Tax
@ 4,000 per sq.ft. (Negotiable)","Appartment girdhari
Old City, Bhopal",2nd   of 3 Floors,,,[],['Lift(s)'],[],,1 to 5 Year Old
