pname,society,colony,property_type,price_outer,price_per_sqft,possesion,description,Area,Total Floors,Facing,Property Age,furnishing,features,Overlooking,bedrooms,bathrooms,balconies,additional_room,area,zone,location,latitude,longitude
"2 BHK Flat in Kolar Road, Bhopal",sarvadharm colony,kolar road,Flat,17.0,2125,Ready To Move,"2 bhk flat for sale , sharvdharam colony near vishal mega mart kolar road,ready to move property and other information please call......","Super Built up area 800
(74.32 sq.m.)
Carpet area: 720 sq.ft. (66.89 sq.m.)  
sq.ft.",2.0,North,5 to 10 Year Old,"['1 Bed', '1 Water Purifier', '1 Fan', '1 Geyser', '1 Light', '1 Modular Kitchen', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Water Storage', 'Visitor Parking']","Main Road,Others",2,2,2, others,800.0,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"4 Bedroom House for sale in Salaiya, Bhopal",salaiya,salaiya,House,200.0,14134,Ready To Move,"Check out this 4 bhk house for sale in star homes, a popular residential locality that contains many of the in-Demand properties in bhopal. This residential property boasts proximity to key landmarks like close to market, close to school and close to hospital. Constructed on a super built up area of 1415 sq.Ft., this house comprises 4 bedrooms, 4 bathrooms and 2 balconies. There is 1 covered & 1 open parking available with this house. This 5-10 years old property is available for immediate possession as the house is ready to move. It is a freehold property. By paying just 2 crore, you can become the proud owner of this independent house. The independent house is designed very well and will provide modern facilities such as visitor parking, park and maintenance staff. This independent house has access to clean 24*7 supply of water for its residents. This residential house is west-Facing direction. The well built vitrified flooring enhances the aesthetic appeal of this independent house. The vitrified flooring of this independent house is beautifully designed and helps to give it a pleasing look.","Plot area 1415
(131.46 sq.m.)
Built Up area: 2000 sq.ft. (185.81 sq.m.)  
sq.ft.",2.0,West,5 to 10 Year Old,,"['Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","Club,Main Road",4,4,2,Not Available,1415.03,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"2 BHK Flat in Janki Nagar, Bhopal",unihomes,chuna bhatti,Flat,17.0,2267,Ready To Move,"This lovely 2 bhk apartment/flat in janki nagar is available for sale in one of bhopal's most popular projects, unihomes bhopal. The flat is over 750 sq.Ft. Built up area and comes with 2 bedroom(s), 2 bathrooms . The property is located on the 1st floor of a 6 floors tall building. As the project is already ready to move, so you can easily move into this 0-1 year old property.","Built Up area: 750
(69.68 sq.m.)  
sq.ft.",1.0,,,,,,2,2,0,Not Available,749.89,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"3 BHK Flat in Kolar Road, Bhopal",janki apartments,kolar road,Flat,37.0,2960,Ready To Move,Prime front facing property with a complete view of the society and main road,"Built Up area: 1250
(116.13 sq.m.)
Carpet area: 1000 sq.ft. (92.9 sq.m.)  
sq.ft.",5.0,,5 to 10 Year Old,"['2 Wardrobe', '5 Fan', '1 Exhaust Fan', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,,3,2,2,Not Available,1250.0,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"2 Bedroom House for sale in Kolar, Bhopal",kolar,kolar road,House,40.0,5000,Under Construction,2 bhk with good location in kolar road,"Plot area 800
(74.32 sq.m.)  
sq.ft.",,,,,,,2,2,2,Not Available,800.0,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"2 BHK Flat in Janki Nagar, Bhopal",faith imperial height,chuna bhatti,Flat,25.0,2744,Ready To Move,"Faith imperial height is one of the most popular destination for buying apartments/ flats in janki nagar, bhopal. You too can be a part of this society by purchasing this 2 bhk flat here. This is a south-East-Facing property. The flat is over 911 sq.Ft. Carpet area and comes with 2 bedroom(s), 2 bathrooms and 3 balconies. This flat lies on the top level of a 1 storey building. This is a ready to move project and the property is 5-10 years old.","Carpet area: 911
(84.63 sq.m.)  
sq.ft.",1.0,South-East,,,,,2,2,3,Not Available,911.08,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"4 BHK Flat in Shirdipuram, Bhopal",western courtyard,shirdipuram,Flat,100.0,4683,Ready To Move,"Western courtyard is one of bhopal's most sought after destination for apartments and this 4 bhk flat in shirdipuram is your opportunity to be a part of this community. This residential flat is west-Facing direction. The flat occupies a super built up area of 2135 sq.Ft. That consists of 4 bedrooms, 4 bathrooms and 1 balcony. This flat lies on the 6th level of a 8 storey building. As the project is already ready to move, so you can easily move into this 1-5 years old property. The floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. This residential property is situated near close to market, close to school and close to hospital. All the modern amenities such as fitness centre / gym, club house / community center, lift(s), visitor parking and park will make life easier for you. The residents of this project enjoy a 24*7 access to clean water.","Super Built up area 2135
(198.35 sq.m.)
Built Up area: 1525 sq.ft. (141.68 sq.m.)
Carpet area: 1300 sq.ft. (120.77 sq.m.)  
sq.ft.",6.0,West,1 to 5 Year Old,"['2 Wardrobe', '5 Fan', '1 Exhaust Fan', '5 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']",Pool,4,4,1,Not Available,2135.38,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"1 BHK Flat in Kolar Road, Bhopal",soumya tulip heights,kolar road,Flat,16.5,3000,Ready To Move,"Check out this 1 bhk apartment for sale in soumya tulip heights, a popular residential project that houses in-Demand flats in kolar road, bhopal. The flat occupies a built up area of 550 sq.Ft. That consists of 1 bedroom, 1 bathroom . The flat has a total of 1 floor and this property is situated on ground floor. This is a ready to move project and the property is 0-1 year old.","Built Up area: 550
(51.1 sq.m.)  
sq.ft.",0.0,,,,,,1,1,0,Not Available,550.0,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"2 BHK Flat in Lalita Nagar, Bhopal",shakun samriddhi,gehu kheda,Flat,30.0,3750,Ready To Move,Residential apartment for sell.The property comes with a good construction quality which ages 1-5 years old propertylocated in lalita nagar.It is a unfurnished property.The property has 2 bedrooms with 2 bathrooms .Available at an expected price of rs 3000000.Located on 1st floor out of the 4 na,"Carpet area: 800
(74.32 sq.m.)  
sq.ft.",1.0,,1 to 5 Year Old,,,,2,2,2,Not Available,800.0,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"4 Bedroom House for sale in Chuna Bhatti, Bhopal",chuna bhatti,chuna bhatti,House,200.0,9000,Ready To Move,"Chuna bhatti is one of bhopal's most sought after destination for residential houses and this 4 bhk house in chuna bhatti is your opportunity to be a part of this community. The floor plan additionally contains 4 bedrooms, 3 bathrooms . All in all, the independent house is spread over a built up area of 2000 sq.Ft. This is a ready to move house, which is 0-1 year old. The ownership right of this property is freehold. The property is available for sale at a competitive price of 1 crore.","Plot area 1320
(122.63 sq.m.)
Built Up area: 2222 sq.ft. (206.43 sq.m.)  
sq.ft.",2.0,East,10+ Year Old,"['1 Bed', '1 Wardrobe', '1 Water Purifier', '1 Fan', '1 Fridge', '1 Exhaust Fan', '1 Geyser', '1 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']",['Private Garden / Terrace'],,4,3,0,Not Available,2222.22,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"3 Bedroom House for sale in Danish Kunj, Bhopal",citi vistaar,gehu kheda,House,45.0,7500,Ready To Move,Covered campus round the clock security,"Plot area 600
(55.74 sq.m.)  
sq.ft.",2.0,West,1 to 5 Year Old,"['3 Wardrobe', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,,3,2,2,Not Available,600.0,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"2 BHK Flat in Kolar Road, Bhopal",samriddhi apartment,kolar road,Flat,15.0,2727,Ready To Move,"We are the proud owners of this 2 bhk apartment available in samriddhi apartment, kolar road, bhopal. This unfurnished apartment it is a and the unit is located on 1st floor and has a carpet area of 550 sq.Ft. . It has 1 bathroom(s). The ownership is freehold type.","Carpet area: 550
(51.1 sq.m.)  
sq.ft.",1.0,,5 to 10 Year Old,,,,2,1,0,Not Available,550.06,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"3 Bedroom House for sale in Neelbad, Bhopal",manohar colony,neelbad,House,55.0,4583,Ready To Move,"Looking for buyer this property near by hospital, school, colleges, petrol pump and sehore indore highway and all facilities available in this property this property in covered campus","Plot area 1200
(111.48 sq.m.)  
sq.ft.",2.0,North-East,1 to 5 Year Old,,"['Water Storage', 'Internet/wi-fi connectivity']",,3,2,1,Not Available,1200.09,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"2 BHK Flat in Rajharsh Colony, Bhopal",navaakar parke serene,gehu kheda,Flat,25.0,3125,Ready To Move,"We are the proud owners of this 2 bhk apartment available in navaakar parke serene, rajharsh colony, bhopal. This it is a and the unit is located on 4th floor and has a super built-Up area of 800 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 800
(74.32 sq.m.)  
sq.ft.",4.0,,5 to 10 Year Old,,,,2,2,0,Not Available,800.0,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"3 Bedroom House for sale in Kolar Road, Bhopal",lakshya serene wood,kolar road,House,40.0,3968,Under Construction,"Check out this 3 bhk house for sale in kolar road, a popular residential locality that contains many of the in-Demand properties in bhopal. This residential property boasts proximity to key landmarks like close to school and close to market. The floor plan additionally contains 3 bedrooms, 3 bathrooms and 1 balcony. All in all, the independent house is spread over a super built up area of 1680 sq.Ft. The owner of the house also gets 1 open parking slot(s) to park their car safely. This is a ready to move house, which is 10+ years old. The ownership right of this property is freehold. By paying just 40 lac, you can become the proud owner of this independent house. The housing society ensures a continuous supply of water to your house from municipal corporation and borewell/tank. This residential house is west-Facing direction. The well built others flooring enhances the aesthetic appeal of this independent house. The others flooring of this independent house is beautifully designed and helps to give it a pleasing look.","Plot area 1008
(93.65 sq.m.)  
sq.ft.",2.0,West,,,['Private Garden / Terrace'],,3,3,1,Not Available,1008.06,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"3 Bedroom House for sale in Kolar Road, Bhopal",kolar road,kolar road,House,65.0,7222,Ready To Move,"We are proud owners of house/villa available for sale in kolar road, bhopal. Available at price of rs 65 lacs. It has plot area of 900 sq ft. It has 3 bhk, 2 bathroom, 1 balcony.It is a freehold property","Plot area 900
(83.61 sq.m.)  
sq.ft.",2.0,,5 to 10 Year Old,,,,3,2,1,Not Available,900.03,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"6 Bedroom House for sale in Chuna Bhatti, Bhopal",amaltas phase 2,chuna bhatti,House,670.0,16750,Ready To Move,Best duplex in chuna bhatti bhopal location,"Plot area 4000
(371.61 sq.m.)
Built Up area: 8700 sq.ft. (808.26 sq.m.)  
sq.ft.",,,1 to 5 Year Old,"['1 Water Purifier', '6 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Stove', '8 Light', '1 AC', '2 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No Bed', 'No Geyser', 'No Wardrobe']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","Park/Garden,Pool,Others,Club,Main Road",6,6,3," pooja room,store room,study room,servant room",4000.0,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"2 BHK Flat in Janki Nagar, Bhopal",sbd cosmos city,chuna bhatti,Flat,20.0,2167,Ready To Move,"This 2 bhk apartment is available for sale in sbd cosmos city, one of the most prominent projects for flats in janki nagar, bhopal. Containing 2 bedroom(s), 2 bathrooms and 3 balconies, this flat is spread over a built up area of 923 sq.Ft. This flat is situated on the top floor of this 1 floor tall residential building. Being a ready to move project, you can expect immediate possession of this 5-10 years old property.","Built Up area: 923
(85.75 sq.m.)  
sq.ft.",1.0,,,,,,2,2,3,Not Available,922.93,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"3 BHK Flat in Kolar Road, Bhopal",ultimate campus,kolar road,Flat,35.0,2333,Ready To Move,"Urgent sale corner flat in covered campus. Hospitals: 1 km, airport: 18 kms, atm : 1 kms, railway station : 5 kms, school: 1 kms, shopping mall : 1 kms","Carpet area: 1500
(139.35 sq.m.)  
sq.ft.",4.0,East,5 to 10 Year Old,,"['Security / Fire Alarm', 'Private Garden / Terrace', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Park', 'Security Personnel', 'Airy Rooms', 'Shopping Centre', 'Rain Water Harvesting']","Park/Garden,Main Road",3,2,2,Not Available,1500.21,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"3 Bedroom House for sale in Kolar Road, Bhopal",windsor palms,kolar road,House,38.0,6333,Under Construction,"Do you wish to buy an independent house in kolar road, bhopal. This 3 bhk house looks like an ideal choice for somebody looking for peace of mind. The property's proximity to landmarks like close to market, close to railway station, close to highway and close to hospital makes it ideal property for families. This house occupies a super built up area of 600 sq.Ft. And contains 3 bedrooms, 3 bathrooms and 1 balcony. The owner of the house also gets 1 covered and 1 open parking slot(s) to park their car safely. This villa is currently under construction stage and you can expect the possession of the same within 3 months. It is a freehold property. This independent house is available at an attractive price of 42 lac. The independent house is designed very well and will provide modern facilities such as park, maintenance staff and club house / community center. The housing society ensures a continuous supply of water to your house from municipal corporation. This residential house is west-Facing direction.","Plot area 600
(55.74 sq.m.)
Built Up area: 1200 sq.ft. (111.48 sq.m.)  
sq.ft.",1.0,West,Under Construction,,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Park', 'Club house / Community Center', 'Rain Water Harvesting']","Park/Garden,Main Road",3,3,1,Not Available,600.03,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"2 BHK Flat in Kolar Road, Bhopal",sai visal,kolar road,Flat,24.99,2687,Ready To Move,"2 bhk flat for sale near lotus hospital, kolar road, bhopal Bechna hai well-Designed 2 bhk flat in a prime apartment near lotus hospital, kolar road. Spacious layout with modern design Prime location hospitals, schools & markets nearby Safe & family-Friendly environment Clear title & ready for registry Location near lotus hospital, kolar road, bhopal Contact for more details & site visit","Super Built up area 930
(86.4 sq.m.)
Carpet area: 650 sq.ft. (60.39 sq.m.)  
sq.ft.",2.0,South-East,5 to 10 Year Old,,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking']","Pool,Others,Park/Garden,Sea facing,Club,Main Road",2,2,1," pooja room,others",930.03,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"2 BHK Flat in Kolar Road, Bhopal",drishti city,kolar road,Flat,27.8,2865,Ready To Move,"This 2 bhk apartment is available for sale in drishti city, one of the most prominent projects for flats in kolar road, bhopal. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a super built up area of 970 sq.Ft. The flat has a total of 6 floors and this property is situated on 1st floor. An added advantage of this 5-10 years old flat is that it is available for immediate possession as the project is already ready to move. The vitrified flooring of this flat is beautifully designed and helps to give it a pleasing look. This flat is located near close to school, close to hospital, close to market and close to highway. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, fitness centre / gym, club house / community center, park, shopping centre, lift(s), maintenance staff and visitor parking. The residential project is well equipped to meet all your water needs through access to municipal corporation and borewell/tank supply.","Super Built up area 970
(90.12 sq.m.)
Carpet area: 900 sq.ft. (83.61 sq.m.)  
sq.ft.",1.0,,5 to 10 Year Old,"['1 Wardrobe', '1 Fan', '1 Fridge', '1 Exhaust Fan', '1 Geyser', '1 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","Pool,Park/Garden,Club,Main Road",2,2,2,Not Available,970.33,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"3 Bedroom House for sale in Salaiya, Bhopal",bda sardar vallab bhai patel apsi karar yojna,salaiya,House,110.0,11363,Ready To Move,"Salaiya is one of bhopal's most sought after destination for residential houses and this 3 bhk house in salaiya is your opportunity to be a part of this community. This residential house is located close to close to market, close to school and close to hospital. This house occupies a super built up area of 968 sq.Ft. And contains 3 bedrooms, 3 bathrooms and 2 balconies. There is 1 covered & 1 open parking available with this house. As the property is already ready to move, so you can easily move into this 0-1 year old house. This house is owned under leasehold contract. The property is available for sale at a competitive price of 1.1 crore. All the modern amenities such as park and visitor parking will make life easier for you. An uninterrupted supply of clean water provides a hassle-Free experience for the residents. The residential house is north-Facing. The floor of this independent house is beautifully designed using vitrified flooring, giving it an alluring look.","Plot area 968
(89.93 sq.m.)
Built Up area: 2000 sq.ft. (185.81 sq.m.)  
sq.ft.",2.0,North,0 to 1 Year Old    View Construction Status,"['5 Fan', '5 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Park', 'Visitor Parking']",,3,3,2,Not Available,968.05,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"2 BHK Flat in Salaiya, Bhopal",lila atulyam,salaiya,Flat,35.0,2564,Ready To Move,2 bhk newly flat available for sale covered campus in lila atulyam salaiya,"Super Built up area 1365
(126.81 sq.m.)
Built Up area: 1011 sq.ft. (93.92 sq.m.)
Carpet area: 805 sq.ft. (74.79 sq.m.)  
sq.ft.",5.0,East,0 to 1 Year Old    View Construction Status,,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Rain Water Harvesting']","Pool,Club,Park/Garden,Main Road,Others",2,2,1,Not Available,1365.05,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"3 BHK Flat in Janki Nagar, Bhopal",ibd hallmark citii,chuna bhatti,Flat,19.5,1498,Ready To Move,"Situated in kolar road, bhopal, ibd hallmark citii is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in bhopal is your opportunity to be a part of this community. The flat is over 1075 sq.Ft. Built up area and comes with 3 bedroom(s), 2 bathrooms . This flat is situated on the top floor of this 3 floors tall residential building. As the project is already ready to move, so you can easily move into this 5 year old property.","Built Up area: 1075
(99.87 sq.m.)  
sq.ft.",3.0,,1 to 5 Year Old,,,,3,2,0,Not Available,1301.74,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"3 Bedroom House for sale in Kolar Road, Bhopal",ultimate english villa,kolar road,House,68.0,8500,Ready To Move,"Villa is east facing, garden facing, corner, tata fabrication work done on roof, water proofing on roof, gated society, club house, society on 6 lane road","Plot area 800
(74.32 sq.m.)  
sq.ft.",2.0,East,5 to 10 Year Old,"['5 Fan', '1 Geyser', '12 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","Pool,Park/Garden,Club,Main Road",3,3,3," pooja room,study room",800.0,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"3 Bedroom House for sale in Hinotiya Alam, Bhopal",hinotiya alam,salaiya,House,86.0,7166,Ready To Move,"Spacious 3bhk & 4bhk duplex homes with modern design, vastu compliant layout, premium quality construction, wide roads, 24x7 water & electricity, green parks, and excellent connectivity to main city areas. Located in a prime location of bhopal, perfect for families looking for comfort and luxury.","Plot area 1200
(111.48 sq.m.)  
sq.ft.",1.0,East,0 to 1 Year Old,"['1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Park', 'Visitor Parking', 'Club house / Community Center']",Park/Garden,3,3,2,Not Available,1200.11,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"2 BHK Flat in Aashirwad Colony, Bhopal",shri shankar residency,gehu kheda,Flat,32.0,5633,Ready To Move,"Shri shankar residency is situated in one of the most prime location of aashirwad colony, kolar road, bhopal. You too can be a part of this society by purchasing this 2 bhk flat here. The flat occupies a carpet area of 568 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 2 balconies. The residential building has 4 floors in total and the flat for sale is located on the 1st floor. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move.","Carpet area: 568
(52.77 sq.m.)  
sq.ft.",1.0,West,1 to 5 Year Old,"['1 Bed', '1 Wardrobe', '1 Fan', '1 Light', '1 Chimney', 'No AC', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,,2,2,2, pooja room,568.08,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"2 Bedroom House for sale in Neelbad, Bhopal",neelbad,neelbad,House,58.0,7435,Ready To Move,"Check out this 2 bhk house for sale in neelbad, a popular residential locality that contains many of the in-Demand properties in bhopal. Another plus point for the house is that it is situated near close to hospital, close to school, close to market and close to mall. This house occupies a super built up area of 780 sq.Ft. And contains 2 bedrooms, 2 bathrooms and 1 balcony. As the property is already ready to move, so you can easily move into this 1-5 years old house. This house is owned under freehold contract. This independent house is available at an attractive price of 58 lac. All the modern amenities such as visitor parking will make life easier for you. Borewell/tank and municipal corporation provides a regular supply of water to this residential house. The residential house is west-Facing. The floor of this independent house is beautifully designed using vitrified flooring, giving it an alluring look.","Plot area 780
(72.46 sq.m.)  
sq.ft.",2.0,West,1 to 5 Year Old,,"['Private Garden / Terrace', 'High Ceiling Height', 'False Ceiling Lighting', 'Water Storage', 'Visitor Parking', 'Natural Light', 'Airy Rooms']",Main Road,2,2,1,Not Available,780.09,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"3 BHK Flat in Bairagarh Chichali, Bhopal",unitech unihomes 2,gehu kheda,Flat,37.0,2587,Ready To Move,"Situated in bairagarh chichali, bhopal, unitech unihomes 2 is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in bhopal is your opportunity to be a part of this community. Constructed on a built up area of 1430 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 2 balconies. This flat lies on the top level of a 5 storey building. This is a ready to move project and the property is 1-5 years old.","Built Up area: 1430
(132.85 sq.m.)
Carpet area: 1300 sq.ft. (120.77 sq.m.)  
sq.ft.",5.0,,,,,,3,3,2,Not Available,1430.23,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"2 Bedroom House for sale in Neelbad, Bhopal",neelbad,neelbad,House,50.0,3267,Ready To Move,Corner house with boring facility,"Plot area 1530
(142.14 sq.m.)  
sq.ft.",2.0,,5 to 10 Year Old,"['1 Fan', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,2,2,1,Not Available,1530.46,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"3 Bedroom House for sale in Bairagarh Chichali, Bhopal",bairagarh chichali,gehu kheda,House,40.0,3636,Ready To Move,Near 6 lane road All near amenities,"Plot area 1100
(102.19 sq.m.)  
sq.ft.",2.0,North,0 to 1 Year Old,,"['Feng Shui / Vaastu Compliant', 'Park', 'Visitor Parking', 'Waste Disposal']","Park/Garden,Main Road",3,3,1," pooja room,study room",1100.11,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"2 BHK Flat in Kolar Road, Bhopal",kartika home's,kolar road,Flat,22.0,3520,Ready To Move,"We are the proud owners of this 2 bhk apartment available in kartika home's, kolar bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 625 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 625
(58.06 sq.m.)  
sq.ft.",2.0,,5 to 10 Year Old,,,,2,2,0,Not Available,625.0,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"2 BHK Flat in Kolar Road, Bhopal",bima kunj,kolar road,Flat,15.0,3409,Ready To Move,Heres a more attractive version of your message:,"Carpet area: 440
(40.88 sq.m.)  
sq.ft.",3.0,,10+ Year Old,,,,2,2,1,Not Available,440.01,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
"2 BHK Flat in Kolar Road, Bhopal",sarvadharm colony,kolar road,Flat,17.0,2931,Ready To Move,"All the rooms are well maintained and furnished with wardrobe. People are really nice there, good to raise kids. Cctv cameras 24*7, water supply 24*7. Parking space for 2 and 4 vehicles.","Carpet area: 580
(53.88 sq.m.)  
sq.ft.",2.0,East,10+ Year Old,"['2 Wardrobe', '4 Light', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Water Storage', 'No open drainage around']",,2,2,1,Not Available,580.01,South bhopal (kolar belt),South bhopal (kolar belt),23.1664,77.4124
