pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Overlooking,Possession in,furnishing,features,ratings,Facing,Property Age
"4 Bedroom House for sale in Hoshangabad Road, Bhopal",Agrawal Sagar Pearl Phase 1,₹1.2 Cr,"₹10,000 /sqft",Ready To Move,For selling property 4bhk duplex/house g+2 floor este facing covered cumpas gardens faiching summing pool clubs house greatest society near by shani mandir virndavn gardens abinav hotel hoshangabad road bhopal. Selling price 1cr 20 lakhs. Only genius parson contact me. Rajput property,"Plot area 1200
(111.48 sq.m.)
Built Up area: 2600 sq.ft. (241.55 sq.m.)
Carpet area: 1210 sq.ft. (112.41 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3 Balconies with Study Room,Others,Pooja Room","₹ 1.2 Crore
@ 10,000 per sq.ft. View Price Details","Agrawal Sagar Pearl Phase 1
Hoshangabad Road, Bhopal",2 Floors,"Pool,Club,Others,Park/Garden,Main Road,Sea facing",,"['4 Wardrobe', '5 Fan', '1 Exhaust Fan', '9 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Park', 'Visitor Parking', 'Natural Light']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,1 to 5 Year Old
"3 Bedroom House for sale in E 7 Arera colony, Bhopal","E 7 Arera colony, Bhopal",₹2.95 Cr,"₹12,291 /sqft",Ready To Move,"Wishing to settle down in an individual house with your family? This well-Built and spacious 3 bhk house for sale in e 7 arera colony, bhopal seems to be an ideal choice for a peaceful abode for a family. Containing 3 bedrooms, 3 bathrooms and 1 balcony, this independent house is spread over a super built up area of 2400 sq.Ft. There is 1 covered & 1 open parking available with this house. Being a ready to move house, you can expect immediate possession of this 10+ years old property. The nature of ownership of this independent house is freehold. This independent house is available at an attractive price of 2.95 crore. The house provides a continuous supply of water for its residents. This is a east-Facing property. The house comes well built with marble flooring options.","Plot area 2400
(222.97 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 2.95 Crore
@ 12,291 per sq.ft. (Negotiable) View Price Details","E 7 Arera colony, Bhopal",1 Floors,Main Road,,[],[],[],East,10+ Year Old
"4 Bedroom House for sale in Kolar Road, Bhopal",Fortune Estate,₹1.25 Cr,"₹8,333 /sqft",Ready To Move,"This 4 bhk house for sale in kolar road, a well planned locality in bhopal, is ideal for a family that is looking for complete peace of mind. Containing 4 bedrooms, 4 bathrooms and 2 balconies, this independent house is spread over a super built up area of 1500 sq.Ft. This 4 bhk house comes attached with 1 covered and 1 open parking for your vehicle(s). Being a ready to move house, you can expect immediate possession of this 5-10 years old property. The nature of ownership of this independent house is freehold. The price of this spacious independent house is 1.25 crore. The independent house provides access to clean water through borewell/tank and municipal corporation supply. This independent house is facing the east direction. The beautifully designed marble flooring enhances the beauty of this independent house.","Plot area 1500
(139.35 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 1.25 Crore
@ 8,333 per sq.ft. (Negotiable) View Price Details","Fortune Estate
Kolar Road, Bhopal",2 Floors,"Park/Garden,Main Road",,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,5 to 10 Year Old
"4 Bedroom House for sale in Rajat Bihar Colony, Bhopal","Rajat Bihar Colony, Bhopal",₹1.6 Cr,"₹8,888 /sqft",Ready To Move,"This 4 bhk house for sale in rajat bihar colony is an ideal abode for a family. Even better, it is situated in one of the prominent localities of bhopal. Constructed on a super built up area of 1800 sq.Ft., this house comprises 4 bedrooms, 4 bathrooms and 2 balconies. This 4 bhk house comes attached with 1 covered and 1 open parking for your vehicle(s). Another added advantage of this 5-10 years old house is that it is available for immediate possession. The type of ownership of this property is freehold. The price of this spacious independent house is 1.6 crore. You enjoy a 24*7 water supply in your house. This independent house is facing the south-West direction. The beautifully designed marble flooring enhances the beauty of this independent house.","Plot area 1800
(167.23 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 1.6 Crore
@ 8,888 per sq.ft. (Negotiable) View Price Details","Rajat Bihar Colony, Bhopal",2 Floors,"Park/Garden,Main Road",,[],[],[],South-West,5 to 10 Year Old
"5 Bedroom House for sale in Kailash Nagar, Bhopal","Kailash Nagar, Bhopal",₹75 Lac,"₹8,333 /sqft",Ready To Move,"Planning to buy an individual house in bhopal. Then you should definitely check out this 5 bhk house for sale in kailash nagar, a well-Planned and well-Connected locality in bhopal. This house occupies a super built up area of 900 sq.Ft. And contains 5 bedrooms, 5 bathrooms and 3 balconies. The houses comes with dedicated 1 covered and 1 open parking space(s) where you can easily park your vehicle(s). This is a ready to move house, which is 5-10 years old. The ownership right of this property is freehold. By paying just 75 lac, you can become the proud owner of this independent house. The house provides a continuous supply of water for its residents. This is a east-Facing property. The house comes well built with marble flooring options.","Plot area 900
(83.61 sq.m.)  
sq.ft.","5 Bedrooms , 5 Bathrooms, 3 Balconies","₹ 75 Lac
@ 8,333 per sq.ft. (Negotiable) View Price Details","Kailash Nagar, Bhopal",2 Floors,Park/Garden,,[],[],[],East,5 to 10 Year Old
"7 Bedroom House for sale in Nehru Nagar , Bhopal","Nehru Nagar , Bhopal",₹3.25 Cr,"₹13,541 /sqft",Ready To Move,"For sale: Premium commercial duplex bungalow in nehru nagar, bhopal 3.25 cr An exceptional investment opportunity in the heart of bhopal! Property type: Commercial duplex bungalow location: Prime area of nehru nagar, bhopal total area: 2400 sq.Ft status: Ready for immediate possession Ground floor luxurious residential space fully furnished 4 bhk with premium modular interiors 3 modern bathrooms + dedicated mandir room expansive open lawn, porch, swing and fountain covered parking for 3 cars + cctv coverage ample water storage facility of 10,000 litres First floor income-Generating hostel fully functional 30-Bedded commercial hostel fully furnished with modern amenities Second floor large mess area 1500 sq.Ft space with a fully operational kitchen & wash area Bonus income mobile tower on property with commercial lease generating rental income Expected price: 3.25 crores special terms: Available for immediate possession High-Quality photos & cinematic video available on request. For inquiries or to schedule a visit, contact Remax","Plot area 2400
(222.97 sq.m.)  
sq.ft.","7 Bedrooms , 10 Bathrooms, 3 Balconies with Pooja Room,Study Room,Servant Room","₹ 3.25 Crore
@ 13,541 per sq.ft. (Negotiable) View Price Details","Nehru Nagar , Bhopal",3 Floors,"Park/Garden,Main Road",,[],"['Private Garden / Terrace', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,5 to 10 Year Old
"3 Bedroom House for sale in Bagmugaliya, Bhopal","Bagmugaliya, Bhopal",₹1.5 Cr,"₹6,250 /sqft",Ready To Move,"This 3 bhk house for sale in bagmugaliya, a well planned locality in bhopal, is ideal for a family that is looking for complete peace of mind. The floor plan additionally contains 3 bedrooms, 3 bathrooms and 2 balconies. All in all, the independent house is spread over a super built up area of 2400 sq.Ft. The houses comes with dedicated 1 covered and 1 open parking space(s) where you can easily park your vehicle(s). Another added advantage of this 10+ years old house is that it is available for immediate possession. The type of ownership of this property is leasehold. The property is available for sale at a competitive price of 1.5 crore. An uninterrupted supply of clean water provides a hassle-Free experience for the residents. The residential house is east-Facing.","Plot area 2400
(222.97 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 1.5 Crore
@ 6,250 per sq.ft. (Negotiable) View Price Details","Bagmugaliya, Bhopal",1 Floors,Main Road,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,10+ Year Old
"3 Bedroom House for sale in Nehru Nagar , Bhopal","Nehru Nagar , Bhopal",₹1.35 Cr,"₹13,500 /sqft",Under Construction,"Do you wish to buy an independent house in nehru nagar , bhopal. This 3 bhk house looks like an ideal choice for somebody looking for peace of mind. Constructed on a super built up area of 1000 sq.Ft., this house comprises 3 bedrooms, 3 bathrooms and 2 balconies. Your vehicle(s) can be easily parked as this house comes with 1 covered and 1 open parking. This villa is currently under construction stage and you can expect to get the possession of the property within 3 months. This house is owned under leasehold contract. This independent house is available at an attractive price of 1.35 crore. Municipal corporation provides a regular supply of water to this residential house. The residential house is east-Facing. The floor of this independent house is beautifully designed using marble flooring, giving it an alluring look.","Plot area 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 1.35 Crore
@ 13,500 per sq.ft. (Negotiable) View Price Details","Nehru Nagar , Bhopal",2 Floors,Main Road,Within 3 months,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"3 Bedroom House for sale in E 7 Arera colony, Bhopal","E 7 Arera colony, Bhopal",₹6.9 Cr,"₹17,875 /sqft",Ready To Move,"Check out this 3 bhk house for sale in e 7 arera colony, a popular residential locality that contains many of the in-Demand properties in bhopal. This house occupies a super built up area of 3860 sq.Ft. And contains 3 bedrooms, 3 bathrooms and 2 balconies. This 3 bhk house comes attached with 1 covered and 1 open parking for your vehicle(s). Being a ready to move house, you can expect immediate possession of this 5-10 years old property. The nature of ownership of this independent house is leasehold. The price of this spacious independent house is 6.9 crore. The residents of this house enjoy a 24*7 access to clean water. This property faces the east direction.",,,,,,,,[],[],[],,
"5 Bedroom House for sale in Basant Kunj, Bhopal","Basant Kunj, Bhopal",₹2.75 Cr,"₹12,222 /sqft",Ready To Move,"Planning to buy an individual house in bhopal. Then you should definitely check out this 5 bhk house for sale in basant kunj, a well-Planned and well-Connected locality in bhopal. Containing 5 bedrooms, 5 bathrooms and 3 balconies, this independent house is spread over a super built up area of 2250 sq.Ft. The owner of the house also gets 1 covered and 1 open parking slot(s) to park their car safely. Being a ready to move house, you can expect immediate possession of this 5-10 years old property. The nature of ownership of this independent house is freehold. The property is available for sale at a competitive price of 2.75 crore. The house provides a continuous supply of water for its residents. This is a north-Facing property. The house comes well built with marble flooring options.","Plot area 2250
(209.03 sq.m.)
Built Up area: 4000 sq.ft. (371.61 sq.m.)  
sq.ft.","5 Bedrooms , 5 Bathrooms, 3 Balconies","₹ 2.75 Crore
@ 12,222 per sq.ft. (Negotiable) View Price Details","Basant Kunj, Bhopal",2 Floors,Park/Garden,,"['1 Wardrobe', '1 Fan', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],[],North,5 to 10 Year Old
"5 Bedroom House for sale in Hoshangabad Road, Bhopal",Shangrila Housing Society,₹1.45 Cr,"₹7,174 /sqft",Ready To Move,"This 5 bhk house for sale in hoshangabad road, a well planned locality in bhopal, is ideal for a family that is looking for complete peace of mind. The house has over super built up area of 2021 sq.Ft. And comes with 5 bedrooms, 5 bathrooms and 3 balconies. Your vehicle(s) can be easily parked as this house comes with 1 covered and 1 open parking. Being a ready to move house, you can expect immediate possession of this 10+ years old property. The nature of ownership of this independent house is freehold. This independent house is available at an attractive price of 1.45 crore. The house provides a continuous supply of water for its residents. This is a west-Facing property. The house comes well built with marble flooring options.",,,,,,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 Bedroom House for sale in Patel Nagar, Bhopal","Patel Nagar, Bhopal",₹56.9 Lac,"₹4,064 /sqft",Under Construction,"Available for sale: A 710 sq. Ft., park-Facing, furnished, new duplex located in an exclusive gated community near gayatri hospital, patel nagar, bhopal. The property enjoys a prime location within walking distance of raisen road. Asking price: 64.90 lakhs. Ready possession price: 62.90 lakhs. Under construction price: 56.90 lakhs. Financing is available through hdfc and lic bank only.","Plot area 710
(65.96 sq.m.)
Built Up area: 1400 sq.ft. (130.06 sq.m.)
Carpet area: 1200 sq.ft. (111.48 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 56.9 Lac+ Govt Charges & Tax
@ 4,064 per sq.ft.","Patel Nagar, Bhopal",2 Floors,Park/Garden,By 2026,"['1 Exhaust Fan', '30 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,
"4 Bedroom House for sale in Hoshangabad Road, Bhopal",Nirupam Royal Palms,₹1.2 Cr,"₹12,000 /sqft",Ready To Move,"For sale 4 bhk duplex 1000 sqft plot area in nirupam royal palms, shri rameshwaram, hoshangabad road, bhopal Price - 1,20,00,000/- Crore (Vikrant)","Plot area 1000
(92.9 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3 Balconies","₹ 1.2 Crore
@ 12,000 per sq.ft. View Price Details","Nirupam Royal Palms
Hoshangabad Road, Bhopal",1 Floors,Park/Garden,,"['4 Wardrobe', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,1 to 5 Year Old
"3 Bedroom House for sale in Salaiya, Bhopal",BDA Sardar Vallab Bhai Patel Apsi Karar Yojna,₹1.1 Cr,"₹11,363 /sqft",Ready To Move,"Salaiya is one of bhopal's most sought after destination for residential houses and this 3 bhk house in salaiya is your opportunity to be a part of this community. This residential house is located close to close to market, close to school and close to hospital. This house occupies a super built up area of 968 sq.Ft. And contains 3 bedrooms, 3 bathrooms and 2 balconies. There is 1 covered & 1 open parking available with this house. As the property is already ready to move, so you can easily move into this 0-1 year old house. This house is owned under leasehold contract. The property is available for sale at a competitive price of 1.1 crore. All the modern amenities such as park and visitor parking will make life easier for you. An uninterrupted supply of clean water provides a hassle-Free experience for the residents. The residential house is north-Facing. The floor of this independent house is beautifully designed using vitrified flooring, giving it an alluring look.","Plot area 968
(89.93 sq.m.)
Built Up area: 2000 sq.ft. (185.81 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 1.1 Crore
@ 11,363 per sq.ft. (Negotiable) View Price Details","BDA Sardar Vallab Bhai Patel Apsi Karar Yojna
Salaiya, Bhopal",2 Floors,,,"['5 Fan', '5 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,0 to 1 Year Old    View Construction Status
"4 Bedroom House for sale in GREEN CITY, Bhopal","GREEN CITY, Bhopal",₹2 Cr,"₹16,000 /sqft",Ready To Move,"This 4 bhk house for sale in green city, a well planned locality in bhopal, is ideal for a family that is looking for complete peace of mind. This residential property boasts proximity to key landmarks like close to market, close to school, close to hospital and close to mall. Containing 4 bedrooms, 3 bathrooms and 2 balconies, this independent house is spread over a super built up area of 1250 sq.Ft. There is 1 covered & 1 open parking available with this house. This 10+ years old property is available for immediate possession as the house is ready to move. It is a freehold property. The price of this spacious independent house is 2 crore. All the modern amenities such as park, maintenance staff and visitor parking will make life easier for you. An uninterrupted supply of clean water provides a hassle-Free experience for the residents. The residential house is east-Facing. The floor of this independent house is beautifully designed using vitrified flooring, giving it an alluring look.","Plot area 1250
(116.13 sq.m.)
Built Up area: 1800 sq.ft. (167.23 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 2 Crore
@ 16,000 per sq.ft. (Negotiable) View Price Details","GREEN CITY, Bhopal",2 Floors,Main Road,,"['4 Fan', '4 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Park', 'Visitor Parking']",[],East,10+ Year Old
"4 Bedroom House for sale in Salaiya, Bhopal","Salaiya, Bhopal",₹2 Cr,"₹14,134 /sqft",Ready To Move,"Check out this 4 bhk house for sale in star homes, a popular residential locality that contains many of the in-Demand properties in bhopal. This residential property boasts proximity to key landmarks like close to market, close to school and close to hospital. Constructed on a super built up area of 1415 sq.Ft., this house comprises 4 bedrooms, 4 bathrooms and 2 balconies. There is 1 covered & 1 open parking available with this house. This 5-10 years old property is available for immediate possession as the house is ready to move. It is a freehold property. By paying just 2 crore, you can become the proud owner of this independent house. The independent house is designed very well and will provide modern facilities such as visitor parking, park and maintenance staff. This independent house has access to clean 24*7 supply of water for its residents. This residential house is west-Facing direction. The well built vitrified flooring enhances the aesthetic appeal of this independent house. The vitrified flooring of this independent house is beautifully designed and helps to give it a pleasing look.","Plot area 1415
(131.46 sq.m.)
Built Up area: 2000 sq.ft. (185.81 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 2 Crore
@ 14,134 per sq.ft. (Negotiable) View Price Details","Salaiya, Bhopal",2 Floors,"Club,Main Road",,[],"['Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,5 to 10 Year Old
"4 Bedroom House for sale in Katara Hills, Bhopal",Sterling Pride City,₹85 Lac,"₹7,391 /sqft",Ready To Move,"Property description:- Its a residential duplex Plot area 1150 sq.Ft. Super built-Up area 1800 sq.Ft. Selling price- 85 lac. Accommodation 4 bedroom , d/d , kitchen Bathroom - 3 toilet Facing west facing Furnishing status un-Furnished Features covered campus , campus on wide 80 ft. Road Feature covered campus, club house, garden, Aiims bhopal 6 km Ashima mall 7 km Rani kamlapati railway station 8.5 km Location pride Locality katara hills Property code - 47 Note: For more properties you can see our whatsapp catalogue","Plot area 1150
(106.84 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 1 Balcony
View Floor Plan","₹ 85 Lac
@ 7,391 per sq.ft. View Price Details","Sterling Pride City
Katara Hills, Bhopal",2 Floors,,,[],['Park'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,5 to 10 Year Old    View Construction Status
"3 Bedroom House for sale in Hoshangabad Road, Bhopal",Century Enclave,₹95 Lac,"₹5,000 /sqft",Ready To Move,"Property description:- Property services want to sell a covered campus duplex at century enclave, jatkhedi, bhopal:- Following details: - Price: - 95 lac. Plot size: - 1360 sq.Ft. Built up: - 2000 sq.Ft. Accommodation: - 3 bhk Facing west Furnishing status -Semi-Furnished Feature covered campus Location century enclave Locality hoshangabad road Property code -139 Note: For more properties you can see our whatsapp catalogue","Plot area 1440
(133.78 sq.m.)
Built Up area: 2000 sq.ft. (185.81 sq.m.)
Carpet area: 1900 sq.ft. (176.52 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 95 Lac+ Govt Charges & Tax
@ 5,000 per sq.ft. (Negotiable) View Price Details","Century Enclave
Hoshangabad Road, Bhopal",2 Floors,,,"['1 Wardrobe', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,5 to 10 Year Old
"3 Bedroom House for sale in Kolar Road, Bhopal","Chitransh Sai Vihar , Semrikalan",₹65 Lac,"₹6,280 /sqft",Ready To Move,"Property description:- Its a residential duplex Plot area 1035 sq.Ft. Super built-Up area - 1700 Selling price- 65 lac. Bedroom 3 bedroom d/d kitchen , 1 balcony Bathroom 2 toilet Facing west Furnishing status un-Furnished Feature covered campus Mother teresa school -2.6 km J.K. Hospital 9.1 km D-Mart kolar -5.7 km Rani kamlapati railway station 15 km Isbt bus stand -15 km Location chitransh sai vihar (Semri kalan ) Locality kolar road Brokerage percentage 2% Loan facility available Property code -216 Note: For more properties you can see our whatsapp catalogue","Plot area 1035
(96.15 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 65 Lac+ Govt Charges & Tax
@ 6,280 per sq.ft. View Price Details","Chitransh Sai Vihar , Semrikalan
Kolar Road, Bhopal",2 Floors,Park/Garden,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,1 to 5 Year Old
"3 Bedroom House for sale in Mahabali Nagar, Bhopal","Mahabali Nagar, Bhopal",₹1.8 Cr,"₹5,625 /sqft",Ready To Move,"Property description:- Its a residential duplex Plot area 3200 sq.Ft. (Including 800 sq.Ft. Backyard) Super built-Up area - 3000 Selling price- 1.80 cr. Bedroom 3 bedroom , 2 hall , kitchen Facing east (Open on west) Furnishing status semi-Furnished , borewell Location mahabali nagar Locality kolar road Property code -182 Note: For more properties you can see our whatsapp catalogue","Plot area 3200
(297.29 sq.m.)
Built Up area: 3000 sq.ft. (278.71 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies with Store Room","₹ 1.8 Crore
@ 5,625 per sq.ft. View Price Details","Mahabali Nagar, Bhopal",2 Floors,,,[],[],[],East,10+ Year Old
"4 Bedroom House for sale in Misrod, Bhopal",Globus Coral Woods,₹1.6 Cr,"₹16,326 /sqft",Under Construction,Best duplex in coral woods hoshangabad road bhopal,"Plot area 980
(91.04 sq.m.)
Built Up area: 2600 sq.ft. (241.55 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Pooja Room","₹ 1.6 Crore
@ 16,326 per sq.ft. View Price Details","Globus Coral Woods
Misrod, Bhopal",3 Floors,"Pool,Park/Garden,Club",Dec 2027    View Construction Status,"['4 Fan', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"3 Bedroom House for sale in Bagmugaliya, Bhopal",Amrit Bindras Pebble Bay,₹1.35 Cr,"₹9,642 /sqft",Ready To Move,Duplex for sale 3 bhk 4 toilet pebble bey (Amrit homes ) baghmugalia near ashima mall hb road,"Plot area 1400
(130.06 sq.m.)
Built Up area: 2400 sq.ft. (222.97 sq.m.)  
sq.ft.","3 Bedrooms , 4 Bathrooms, 1 Balcony with Others","₹ 1.35 Crore
@ 9,642 per sq.ft. View Price Details","Amrit Bindras Pebble Bay
Bagmugaliya, Bhopal",2 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,1 to 5 Year Old    View Construction Status
"3 Bedroom House for sale in Rasipuram road, Bhopal","Rasipuram road, Bhopal",₹65 Lac,"₹9,027 /sqft",Ready To Move,"Main road property , t and cp approved","Plot area 720
(66.89 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 65 Lac
@ 9,027 per sq.ft. View Price Details","Rasipuram road, Bhopal",2 Floors,Park/Garden,,[],['Park'],[],West,10+ Year Old
2 Bedroom House for sale in Narela jod Ayodhya bypass bhopal,"Narela jod Ayodhya bypass bhopal, Bhopal",₹3.15 Cr,"₹21,000 /sqft",Ready To Move,"T and cp approved covered campus , personal gym , movie theatre , personnel beer bar , parking , only three family personnel garden , servant room , dining table , ro lga hua hai , all furniture","Plot area 1500
(139.35 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies with Servant Room,Others","₹ 3.15 Crore
@ 21,000 per sq.ft. View Price Details","Narela jod Ayodhya bypass bhopal, Bhopal",3 Floors,Park/Garden,,"['1 Bed', '1 Sofa', '1 Geyser', '1 AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",['Park'],[],East,5 to 10 Year Old
"3 Bedroom House for sale in aiims, Bhopal","aiims, Bhopal",₹2.4 Cr,"₹10,000 /sqft",Ready To Move,"9 a near metro station and aiims hospital saket nagar and 100m to main road 3 room with lat bath , half open terrace with shed , 1 big mango tree and 2 coconut tree","Plot area 2400
(222.97 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 2.4 Crore
@ 10,000 per sq.ft. View Price Details","aiims, Bhopal",,Park/Garden,,"['1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",['Park'],[],North,10+ Year Old
"4 Bedroom House for sale in Awadhpuri, Bhopal","Awadhpuri, Bhopal",₹85 Lac,"₹7,391 /sqft",Ready To Move,"4 room, 2 hall , 5 latbath , surbhi mohini awadhpuri","Plot area 1150
(106.84 sq.m.)  
sq.ft.","4 Bedrooms , 5 Bathrooms, 2 Balconies with Pooja Room","₹ 85 Lac
@ 7,391 per sq.ft. View Price Details","Awadhpuri, Bhopal",3 Floors,Park/Garden,,[],['Park'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,5 to 10 Year Old
"5 Bedroom House for sale in Karond Chouraha, Bhopal","Karond Chouraha, Bhopal",₹62 Lac,"₹7,750 /sqft",Ready To Move,"Open parking, near school, near hospital, near highway, near market, near temple","Plot area 800
(74.32 sq.m.)  
sq.ft.","5 Bedrooms , 3 Bathrooms, 1 Balcony with Pooja Room,Study Room","₹ 62 Lac
@ 7,750 per sq.ft. View Price Details","Karond Chouraha, Bhopal",2 Floors,"Main Road,Park/Garden",,"['1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",['Park'],[],East,1 to 5 Year Old
