pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Facing,Property Age,furnishing,features,ratings,Overlooking,Possession in
"6 Bedroom House for sale in Idgah Hills, Bhopal","Idgah Hills, Bhopal",₹1.2 Cr,"₹12,000 /sqft",Ready To Move,"This newly renovated 3-Storey home offers the perfect blend of comfort and convenience. With 5 spacious rooms, 2 large halls, and a premium semi-Furnished setup, its ideal for a growing family or investment. Solar water heating system Freshly renovated interiors Peaceful surroundings A beautiful 4-Floors-Equal-Sized mango tree adding charm & shade","Plot area 1000
(92.9 sq.m.)
Built Up area: 2800 sq.ft. (260.13 sq.m.)  
sq.ft.","6 Bedrooms , 5 Bathrooms, 2 Balconies with Study Room","₹ 1.2 Crore+ Govt Charges & Tax
@ 12,000 per sq.ft. (Negotiable)","Idgah Hills, Bhopal",3 Floors,,10+ Year Old,"['3 Wardrobe', '8 Fan', '1 Exhaust Fan', '10 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Park/Garden,
"4 Bedroom House for sale in Pallavi Nagar, Bhopal","Pallavi Nagar, Bhopal",₹90 Lac,"₹8,866 /sqft",Ready To Move,It's a very good property decent property need to sell it urgently please contact as soon as possible nagar bhopal,"Plot area 1015
(94.3 sq.m.)  
sq.ft.","4 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 90 Lac+ Govt Charges & Tax
@ 8,866 per sq.ft. (All inclusive, Negotiable)","Pallavi Nagar, Bhopal",3 Floors,,5 to 10 Year Old,[],['Water Storage'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"10 Bedroom House for sale in TT Nagar, Bhopal",Ambedkar Nagar,₹85 Lac,"₹3,269 /sqft",Ready To Move,"9 rooms , 5 kitchen, 6 late bath, 4 walcony Ambedkar nagar, near mata mandir, bhopal","Plot area 1050
(97.55 sq.m.)
Carpet area: 2600 sq.ft. (241.55 sq.m.)  
sq.ft.","10 Bedrooms , 6 Bathrooms, 3+ Balconies","₹ 85 Lac+ Govt Charges & Tax
@ 3,269 per sq.ft. (All inclusive, Negotiable)","Ambedkar Nagar
TT Nagar, Bhopal",3 Floors,North,10+ Year Old,"['15 Fan', '1 Fridge', '1 Sofa', '1 Washing Machine', '15 Light', '1 TV', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Stove', 'No Wardrobe', 'No Water Purifier']",['Visitor Parking'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"5 Bedroom House for sale in Indrapuri, Bhopal",kashi vishwanath,₹3.5 Cr,"₹14,583 /sqft",Ready To Move,"I am looking for buyer to purchase house/villa available for sale in indrapuri, bhopal. Available at price of rs 3.5 crores. It has plot area of 2400 sq ft. It has 5 bhk, 3 bathroom, 2 balcony.It is a leasehold property","Plot area 2400
(222.97 sq.m.)  
sq.ft.","5 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 3.5 Crore
@ 14,583 per sq.ft.","kashi vishwanath
Indrapuri, Bhopal",3 Floors,,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"4 Bedroom House for sale in Indus Towne, Bhopal",Ishaan Grand Estate,₹80 Lac,"₹7,272 /sqft",Ready To Move,Very good 4bhk house in tncp approved and covered campus with boring and furniture,"Plot area 1100
(102.19 sq.m.)
Built Up area: 2600 sq.ft. (241.55 sq.m.)  
sq.ft.","4 Bedrooms , 5 Bathrooms, 3 Balconies with Pooja Room,Study Room,Others","₹ 80 Lac
@ 7,272 per sq.ft. (Negotiable)","Ishaan Grand Estate
Indus Towne, Bhopal",3 Floors,East,0 to 1 Year Old,"['1 Wardrobe', '4 Fan', '2 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage', 'No open drainage around', 'Park', 'Bank Attached Property', 'Spacious Interiors']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Main Road,Others",
"10 Bedroom House for sale in Chola Naka, Bhopal",risaldar colony chola naka,₹65 Lac,"₹7,222 /sqft",Ready To Move,"Railway station, bus stand or old market 2 km ki duri hai makan se","Plot area 900
(83.61 sq.m.)  
sq.ft.","10 Bedrooms , 4 Bathrooms, 3 Balconies with Others","₹ 65 Lac
@ 7,222 per sq.ft. (All inclusive)","risaldar colony chola naka
Chola Naka, Bhopal",3 Floors,South,10+ Year Old,[],[],[],,
"3 Bedroom House for sale in Neelbad, Bhopal",krishna colony,₹59 Lac,"₹3,856 /sqft",Ready To Move,Plot size: 1530 sq ft Bedrooms: 3 Bathrooms: 2 Parking: 1 car covered parking Construction: Modern design | vastu-Compliant | ready to move,"Plot area 1530
(142.14 sq.m.)
Built Up area: 1530 sq.ft. (142.14 sq.m.)
Carpet area: 1500 sq.ft. (139.35 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, No Balcony","₹ 59 Lac+ Govt Charges & Tax
@ 3,856 per sq.ft. (All inclusive, Negotiable)","krishna colony
Neelbad, Bhopal",1 Floors,North,5 to 10 Year Old,[],"['Water Storage', 'Waste Disposal', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"4 Bedroom House for sale in Indus Towne, Bhopal",Ishaan Grand Estate,₹1.35 Cr,"₹10,800 /sqft",Ready To Move,"West-Facing house on a plot size of 25 ft x 50 ft, featuring a garden in front in a closed campus society. The house includes 3 master bedrooms, each measuring 12.6 ft x 15 ft, with attached bathrooms. The drawing room is sized at 11 ft x 16 ft. A modular kitchen with an open dining area is present. There is one study room on the first floor measuring 11 ft x 11 ft and a multipurpose room on the ground floor measuring 12.6 ft x 10 ft. Additionally, there is one store room, sized 18 ft x 12 ft, on the terrace.","Plot area 1250
(116.13 sq.m.)
Built Up area: 2500 sq.ft. (232.26 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room,Study Room,Store Room","₹ 1.35 Crore
@ 10,800 per sq.ft. (All inclusive, Negotiable)","Ishaan Grand Estate
Indus Towne, Bhopal",2 Floors,West,1 to 5 Year Old,[],"['Feng Shui / Vaastu Compliant', 'High Ceiling Height', 'No open drainage around', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Main Road,
"10 Bedroom House for sale in Aishbagh, Bhopal","Aishbagh, Bhopal",₹65 Lac,"₹10,833 /sqft",Ready To Move,Parking space for two wheeler Water storage tank,"Plot area 600
(55.74 sq.m.)  
sq.ft.","10 Bedrooms , 5 Bathrooms, 3 Balconies","₹ 65 Lac
@ 10,833 per sq.ft. (Negotiable)","Aishbagh, Bhopal",2 Floors,North,10+ Year Old,[],"['Water Storage', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"6 Bedroom House for sale in Tilak Nagar, Bawadiya Kalan, Bhopal","Tilak Nagar, Bawadiya Kalan, Bhopal",₹2.85 Cr,"₹6,224 /sqft",Ready To Move,"Tilak nagar, bawadiya kalan is one of bhopal's most sought after destination for residential houses and this 6 bhk house in tilak nagar, bawadiya kalan is your opportunity to be a part of this community. The floor plan additionally contains 6 bedrooms, 7 bathrooms and 2 balconies. All in all, the independent house is spread over a built-Up area of 4579 sq.Ft. This 6 bhk house comes attached with 1 covered and 1 open parking for your vehicle(s). Another added advantage of this is that it is available for immediate possession. The type of ownership of this property is freehold. The property is available for sale at a competitive price of 2.85 crore. Lift is available","Built Up area: 4579
(425.4 sq.m.)  
sq.ft.","6 Bedrooms , 7 Bathrooms, 2 Balconies","₹ 2.85 Crore
@ 6,224 per sq.ft. (Negotiable)",", Bhopal",3 Floors,,0 to 1 Year Old,[],"['False Ceiling Lighting', 'No open drainage around', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society']",[],,
"6 Bedroom House for sale in Katara Hills, Bhopal",Asnani Pebble Bay Phase 2,₹1.96 Cr,"₹8,558 /sqft",Under Construction,"Spacious west-Facing duplex located in a secure covered campus, offering all modern amenities for a comfortable and luxurious lifestyle.","Plot area 2290
(212.75 sq.m.)  
sq.ft.","6 Bedrooms , 6 Bathrooms, 2 Balconies with Study Room,Store Room,Pooja Room","₹ 1.96 Crore+ Govt Charges & Tax
@ 8,558 per sq.ft.","Asnani Pebble Bay Phase 2
Katara Hills, Bhopal",2 Floors,West,,[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Park/Garden,Within 6 months
"4 Bedroom House for sale in Peoples Campus, Bhopal",People World,₹95 Lac,"₹9,500 /sqft",Ready To Move,"Located inside the peoples mall , around with covered campus and has water facility 24/7 and electricity provided by peoples group only .","Plot area 1000
(92.9 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 95 Lac
@ 9,500 per sq.ft. (Negotiable)","People World
, Bhopal",2 Floors,East,1 to 5 Year Old    View Construction Status,"['5 Fan', '6 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Visitor Parking', 'Natural Light']",[],,
"4 Bedroom House for sale in Karond, Bhopal",MP Housing Park Colony,₹40 Lac,"₹4,634 /sqft",Ready To Move,"I am looking for buyer to purchase house/villa available for sale in karond, bhopal. Available at price of rs 40 lacs. It has plot area of 863 sq ft. It has 4 bhk, 2 bathroom, 2 balcony.It is a freehold property","Plot area 863
(80.18 sq.m.)  
sq.ft.","4 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 40 Lac
@ 4,634 per sq.ft. (Negotiable)","MP Housing Park Colony
Karond, Bhopal",2 Floors,North,1 to 5 Year Old,[],['Feng Shui / Vaastu Compliant'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Park/Garden,
"6 Bedroom House for sale in Zone 1, Bhopal",Nawab colony,₹30 Lac,₹499 /sqft,Ready To Move,Ek new bana hua makan bechna hai nawab colony new karond mandi bhopal mai bijli pani 24h behtreen bana huaa parking swidha school 10m hospital 500m peoples mall 1k.M gym 500m khel maidan sabzi mandi har chiz ghar k bilkul pass agar makan ko aap kiraye par bhi dengey to 20k.25k kiraya hi aajayega rehne k liye bhi bht acha hai 400ft bor laga hai sath mai kolar nal line bhi hai 24h bijli hai pata 61mawab colony masjid ziya hul hasan k samne new karond mandi bhopal,"Plot area 6001
(557.51 sq.m.)
Built Up area: 2000 sq.ft. (185.81 sq.m.)  
sq.ft.","6 Bedrooms , 3 Bathrooms, 3+ Balconies with Others,Study Room","₹ 30 Lac
@ 499 per sq.ft. (All inclusive)","Nawab colony
Zone 1, Bhopal",3 Floors,East,1 to 5 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage', 'Visitor Parking', 'Park']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Main Road,Others",
"2 Bedroom House for sale in Neelbad, Bhopal","Neelbad, Bhopal",₹50 Lac,"₹3,267 /sqft",Ready To Move,Corner house with boring facility,"Plot area 1530
(142.14 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 50 Lac
@ 3,267 per sq.ft. (Negotiable)","Neelbad, Bhopal",2 Floors,,5 to 10 Year Old,"['1 Fan', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"5 Bedroom House for sale in Ayodhya Bypass , Bhopal",Tirupati Abhinav Homes,₹2.75 Cr,"₹12,500 /sqft",Ready To Move,"An independent villa available for sale at an excellent location in ayodhya bypass nearby people's mall in bhopal. The independent villa is smartly planned with vastu principles. This ready to move individual villa is located in a covered campus with all the necessary amenities. What adds value to this villa is vastu principles, corner located, complete fall ceiling and many more....","Plot area 2200
(204.39 sq.m.)
Built Up area: 3600 sq.ft. (334.45 sq.m.)  
sq.ft.","5 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 2.75 Crore
@ 12,500 per sq.ft. (Negotiable)","Tirupati Abhinav Homes
Ayodhya Bypass , Bhopal",,,1 to 5 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Pool,Club,Park/Garden,Main Road,Others",
