pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Overlooking,Possession in,furnishing,features,ratings,Property Age,Facing
"2 BHK Flat in Punjabi Bagh, Bhopal",Neeti apartment,₹30 Lac,"₹5,454 /sqft",Ready To Move,"Punjabi bagh , rent around 10k per month","Carpet area: 550
(51.1 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 30 Lac
@ 5,454 per sq.ft.","Neeti apartment
Punjabi Bagh, Bhopal",1st   of 1 Floors,Main Road,,[],"['Water Storage', 'Visitor Parking']",[],5 to 10 Year Old,
"3 BHK Flat in Hoshangabad Road, Bhopal",Rosewood Enclave,₹50 Lac,"₹3,125 /sqft",Ready To Move,Spacious 3bhk apartment | 1600 sqft | dual balconies,"Super Built up area 1600
(148.64 sq.m.)
Carpet area: 1400 sq.ft. (130.06 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 50 Lac
@ 3,125 per sq.ft. (Negotiable)","Rosewood Enclave
Hoshangabad Road, Bhopal",2nd   of 2 Floors,"Park/Garden,Club,Main Road",,"['1 Water Purifier', '5 Fan', '1 Exhaust Fan', '8 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Security / Fire Alarm', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,
"2 BHK Flat in Hoshangabad Road, Bhopal",Fortune Delight,₹40 Lac,"₹4,608 /sqft",Ready To Move,"Apartment for sale | prime location hoshangabad road, bhopal","Built Up area: 868
(80.64 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 40 Lac
@ 4,608 per sq.ft. (Negotiable)","Fortune Delight
Hoshangabad Road, Bhopal",1st   of 2 Floors,Main Road,,[],"['Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Natural Light', 'Airy Rooms']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,North-East
"2 BHK Flat in Kolar Road, Bhopal",Aadhhaar Symphony,₹35 Lac,"₹3,271 /sqft",Ready To Move,Recently constructed high-Rise building with road view from 7th floor corner unit located at heart of bhopal kolar road.,"Super Built up area 1070
(99.41 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies
View Floor Plan","₹ 35 Lac
@ 3,271 per sq.ft. (All inclusive)","Aadhhaar Symphony
Kolar Road, Bhopal",7th   of 12 Floors,,,"['2 Wardrobe', '2 Fan', '1 Exhaust Fan', '1 Geyser', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",1 to 5 Year Old,
"1 BHK Flat in Teela Jamalpura, Bhopal",Radha apartment bhagat singh chowk,₹12 Lac,"₹2,962 /sqft",Ready To Move,"1bhk apartment.1500ltrs water storage tank in bathroom. Water availability for 24 hours . Also there is line for geyser attachment in bathroom motor for water at building. There is a crockery almirah attached to hall area also there is an iron board attached to hall. Also there is water availability in balcony,shade in balcony and rings for plant storage. Wardrobe attached in kitchen for storage,western toilet","Carpet area: 405
(37.63 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 12 Lac
@ 2,962 per sq.ft. (All inclusive, Negotiable)","Radha apartment bhagat singh chowk
Teela Jamalpura, Bhopal",2nd   of 4 Floors,Main Road,,"['1 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",['Water Storage'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",10+ Year Old,East
"3 BHK Flat in Gehun Kheda, Bhopal",Amra Estate,₹25 Lac,"₹2,500 /sqft",Ready To Move,"Covered campus, adequate water supply, lift facility, center of the colony, shopping complex school hospital and all other essential amenities available within 500 meters reach.","Carpet area: 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac
@ 2,500 per sq.ft. (Negotiable)","Amra Estate
Gehun Kheda, Bhopal",4th   of 4 Floors,"Park/Garden,Main Road",,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,West
"3 BHK Flat in Katara Hills, Bhopal",Agrawal Sagar Golden Palm,₹35 Lac,"₹2,592 /sqft",Ready To Move,"Well maintained flat with modular kitchen,furnished bedroom and temple area","Super Built up area 1350
(125.42 sq.m.)
Carpet area: 900 sq.ft. (83.61 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac+ Govt Charges & Tax
@ 2,592 per sq.ft.","Agrawal Sagar Golden Palm
Katara Hills, Bhopal",5th   of 8 Floors,"Park/Garden,Pool,Club,Main Road",,"['1 Bed', '1 Water Purifier', '5 Fan', '1 Exhaust Fan', '7 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,
"3 BHK Flat in Indus Towne, Bhopal",Chinarr Dream CT,₹31 Lac,"₹2,214 /sqft",Ready To Move,"Property for sale in ratanpur, bhopal. This 3 bhk flat is located in bhopal's most promising location. This property is posted by owner and there is no brokerage involved. It is on ground floor. The total number of floors in this building is 7. Homebuyers will also need to pay rs 1000 towards maintenance. The built-Up area is 1400 square feet. The property has 3 bedrooms and 2 bathroom. This flat is strategically located within close distance of famous healthcare centres such as ram saroj multi speciality hospital, niramay hospital -Best trauma hospital in hoshangabad road bhopal, aashtha homoeo clinic and medico","Carpet area: 1400
(130.06 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 31 Lac
@ 2,214 per sq.ft. (Negotiable)","Chinarr Dream CT
Indus Towne, Bhopal",Ground of 7 Floors,"Park/Garden,Main Road",,[],"['Power Back-up', 'Lift(s)', 'No open drainage around', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,West
"2 BHK Flat in Katara Hills, Bhopal",Krishna Tower,₹25 Lac,"₹3,333 /sqft",Ready To Move,"This beautiful 2 bhk flat in katara hills, bhopal is situated in krishna tower, one of the popular residential society in bhopal. The flat is over 750 sq.Ft. Carpet area and comes with 2 bedroom(s), 1 bathroom and 1 balcony. The property is located on the 3rd floor of a 4 floors tall building. Being a ready to move project, you can expect immediate possession of this 8 years old property.","Carpet area: 750
(69.68 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 25 Lac
@ 3,333 per sq.ft. (Negotiable)","Krishna Tower
Katara Hills, Bhopal",3rd   of 4 Floors,Main Road,,"['1 Water Purifier', '4 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Geyser', '1 Stove', '8 Light', '1 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '2 Bed', '1 Sofa', 'No Microwave', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Lift(s)', 'Water Storage', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,North-East
"5 BHK Flat in Bawadia Kalan, Bhopal",Paras Urbane Park,₹3 Cr,"₹10,909 /sqft",Ready To Move,"It is a 5 bedrooms hall kitchen flat, converted to a luxurious 4 bedrooms hall center island kitchen flat. The property campus entrance is on main 200 feet road. Since the campus is spread in a very large area and has lot of greenery with plenty of plantations, the flat is dust and sound pollution free. It is opened from all the sides hence it is well airy flat. Paras urbane is an awarded campus.","Super Built up area 2750
(255.48 sq.m.)
Built Up area: 2172 sq.ft. (201.79 sq.m.)
Carpet area: 1980 sq.ft. (183.95 sq.m.)  
sq.ft.","5 Bedrooms , 5 Bathrooms, 2 Balconies","₹ 3 Crore+ Govt Charges & Tax
@ 10,909 per sq.ft. View Price Details","Paras Urbane Park
Bawadia Kalan, Bhopal",2nd   of 6 Floors,"Pool,Park/Garden",,"['3 Wardrobe', '7 Fan', '4 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Private Garden / Terrace', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,West
"3 BHK Flat in Katara Hills, Bhopal",Signature 360,₹32 Lac,"₹2,539 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in signature 360, katara hills, bhopal. This unfurnished apartment it is a and the unit is located on 3rd floor and has a built up area of 902 sq.Ft. . It has 2 bathroom(s) and 2 balcony(s). The ownership is freehold type.","Super Built up area 1260
(117.06 sq.m.)
Built Up area: 902 sq.ft. (83.8 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 32 Lac
@ 2,539 per sq.ft.","Signature 360
Katara Hills, Bhopal",3rd   of 6 Floors,"Park/Garden,Club,Pool",,[],"['Lift(s)', 'No open drainage around', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",0 to 1 Year Old,East
"4 BHK Flat in Chuna Bhatti, Bhopal",Garden Residency,₹75 Lac,"₹4,285 /sqft",Ready To Move,"Flat is spacious, well-Ventilated, filled with natural light and good society","Carpet area: 1750
(162.58 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 75 Lac+ Govt Charges & Tax
@ 4,285 per sq.ft. (Negotiable)","Garden Residency
Chuna Bhatti, Bhopal",4th   of 4 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",10+ Year Old,
"2 BHK Flat in Patel Nagar, Bhopal",Archana Balaji Towers,₹25 Lac,"₹3,571 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in archana balaji towers, patel nagar, bhopal. This it is a and the unit is located on 2nd floor and has a carpet area of 700 sq.Ft. . It has 2 bathroom(s) and 2 balcony(s). The ownership is freehold type.","Carpet area: 700
(65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 25 Lac
@ 3,571 per sq.ft.","Archana Balaji Towers
Patel Nagar, Bhopal",2nd   of 3 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,
"3 BHK Flat in Indus Towne, Bhopal",Chinar Dream CT,₹28 Lac,"₹2,000 /sqft",Ready To Move,"Proximity with market, mall and superspeciality hospital. Situated on highway.","Super Built up area 1400
(130.06 sq.m.)
Carpet area: 920 sq.ft. (85.47 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 28 Lac+ Govt Charges & Tax
@ 2,000 per sq.ft. (Negotiable)","Chinar Dream CT
Indus Towne, Bhopal",3rd   of 6 Floors,"Park/Garden,Main Road,Club,Pool,Others",,[],"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,East
"2 BHK Flat in Misrod, Bhopal",RSR Opel Orris,₹35 Lac,"₹2,916 /sqft",Ready To Move,"Ready to move , possession taken ,not rented ,no interior done . Developing area close to misrod and aakriti eco city .Adjacent to rukmani devi engineering college","Super Built up area 1200
(111.48 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 35 Lac+ Govt Charges & Tax
@ 2,916 per sq.ft. (All inclusive, Negotiable)","RSR Opel Orris
Misrod, Bhopal",4th   of 6 Floors,,,[],"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Park', 'Security Personnel', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",0 to 1 Year Old,
"3 BHK Flat in Shri Rameshwaram, Bhopal",Sagar royal villas,₹45 Lac,"₹4,285 /sqft",Ready To Move,"Three bhk,one drawing room, living room,two bathrooms, two balcony,roof registered.","Carpet area: 1050
(97.55 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 45 Lac+ Govt Charges & Tax
@ 4,285 per sq.ft. (Negotiable)","Sagar royal villas
Shri Rameshwaram, Bhopal",5th   of 5 Floors,,,"['6 Fan', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,
"2 BHK Flat in Katara Hills, Bhopal",Asnani Spring Valley Dew,₹36.75 Lac,"₹4,900 /sqft",Ready To Move,Ready to move in flat available for sale,"Super Built up area 1050
(97.55 sq.m.)
Carpet area: 750 sq.ft. (69.68 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 36.75 Lac
@ 4,900 per sq.ft. (All inclusive)","Asnani Spring Valley Dew
Katara Hills, Bhopal",4th   of 6 Floors,"Park/Garden,Club",,"['1 Wardrobe', '3 Fan', '4 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old    View Construction Status,
"2 BHK Flat in Kohefiza, Bhopal",victoria appts.,₹35 Lac,"₹4,545 /sqft",Ready To Move,"2bhk corner flat at kohefiza, near regalia heights. Area 770 sq.Ft. Balcony, lift and car parking with 24 hrs water supply and excellent view. Expected price - 35 lacs","Carpet area: 770
(71.54 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac
@ 4,545 per sq.ft. (Negotiable)","victoria appts.
Kohefiza, Bhopal",3rd   of 4 Floors,,,[],"['Lift(s)', 'Water Storage']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,
"4 BHK Flat in Teela Jamalpura, Bhopal","Vasundhara parisar, teela jamalpura",₹25 Lac,"₹2,617 /sqft",Ready To Move,"4bhk penthouse 953sqft with 4 bathrooms, building has cctv security, 2 wheeler parking available, hospital and market are near the building.","Carpet area: 955
(88.72 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 1 Balcony","₹ 25 Lac+ Govt Charges & Tax
@ 2,617 per sq.ft. (Negotiable)","Vasundhara parisar, teela jamalpura
Teela Jamalpura, Bhopal",4th   of 4 Floors,"Main Road,Others",,"['1 Fan', '1 Exhaust Fan', '1 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Natural Light', 'Airy Rooms', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",1 to 5 Year Old,North
"2 BHK Flat in Berkheda, Bhopal",Essarjee The New Fort,₹28 Lac,"₹4,666 /sqft",Ready To Move,The property is situated in one of the prime locations of bhopal. The property has a bus stop in front and also has a college. (Vidyasagar institute of management vim).,"Carpet area: 600
(55.74 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 28 Lac
@ 4,666 per sq.ft. (Negotiable)","Essarjee The New Fort
Berkheda, Bhopal",1st   of 2 Floors,Main Road,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",10+ Year Old,
"3 BHK Flat in Jatkhedi, Bhopal",AP Park Avenue,₹40 Lac,"₹2,666 /sqft",Ready To Move,"This is an unused flat, distress sale. There i am ac , chimney and modular kitchen. 3 bedroom 2. Bathroom 3 balcony","Super Built up area 1502
(139.54 sq.m.)
Carpet area: 1500 sq.ft. (139.35 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 40 Lac+ Govt Charges & Tax
@ 2,666 per sq.ft. (Negotiable)","AP Park Avenue
Jatkhedi, Bhopal",1st   of 4 Floors,,,"['3 Fan', '4 Light', '1 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",[],1 to 5 Year Old,
"2 BHK Flat in Ayodhya Bypass , Bhopal",Jeet,₹23 Lac,"₹3,230 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in jeet homes, ayodhya bypass, bhopal. This unfurnished apartment is a 1-5 year old, priced approximately at rs. 3230 per sq. Ft. Or rs. 23 lakhs. It is a resale and a ready to move in apartment. The unit is located on the 5th floor and has a super built-Up area of 712. 0 sq. Ft. It has 1 bathroom(s) and 1 balcony(s). The ownership is freehold type. The apartment has 1 covered parking.","Super Built up area 712
(66.15 sq.m.)
Built Up area: 641 sq.ft. (59.55 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 23 Lac+ Govt Charges & Tax
@ 3,230 per sq.ft.","Jeet
Ayodhya Bypass , Bhopal",5th   of 8 Floors,Others,,[],"['Lift(s)', 'Maintenance Staff', 'Park', 'Visitor Parking', 'Security Personnel']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",1 to 5 Year Old,West
"2 BHK Flat in Kolar Road, Bhopal",Samriddhi Apartment,₹25 Lac,"₹3,125 /sqft",Ready To Move,Interested to sell residential apartment. Nice furnishing enhancing dcor. Placed at kolar road. 800 sq.Ft.(Builtup area) is the area of the property. Want to sell it for 'twenty five lakh rupees'. Building has 6 total floors and property is located on 1st floor. Its a new construction . It has spacious 2 bedrooms and 2 bathrooms. It is newly constructed.,"Built Up area: 800
(74.32 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 25 Lac
@ 3,125 per sq.ft.","Samriddhi Apartment
Kolar Road, Bhopal",1st   of 6 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",0 to 1 Year Old,
"2 BHK Flat in Raisen Road, Bhopal",Raunak Apartment,₹21 Lac,"₹5,399 /sqft",Ready To Move,Property is centrally located and surrounded by developed park and parking facility.,"Carpet area: 463
(43.01 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 21 Lac
@ 5,399 per sq.ft. (Negotiable)","Raunak Apartment
Raisen Road, Bhopal",1st   of 2 Floors,"Park/Garden,Main Road,Others",,"['1 Wardrobe', '1 Water Purifier', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",10+ Year Old,
"2 BHK Flat in Kolar Road, Bhopal",Sarvadharm Colony,₹32 Lac,"₹3,555 /sqft",Ready To Move,"This 2 bhk flat is located in sarvadharm colony, which houses some of the most spacious flats in kolar road, bhopal. This is a west-Facing property. Constructed on a carpet area of 900 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 1 balcony. The property is located on the top floor of a 1 floor tall building. An added advantage of this 10+ years old flat is that it is available for immediate possession as the project is already ready to move. The beautifully designed polished concrete flooring enhances the beauty of the flat. The society complex is in the close vicinity of close to market, close to highway, close to mall and close to hospital, making it an ideal home for a relaxed lifestyle. The society is well equipped with many modern amenities, including maintenance staff. The residential project is well equipped to meet all your water needs through access to borewell/tank supply.","Carpet area: 900
(83.61 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony with Pooja Room,Study Room","₹ 32 Lac+ Govt Charges & Tax
@ 3,555 per sq.ft. (All inclusive, Negotiable)","Sarvadharm Colony
Kolar Road, Bhopal",1st   of 1 Floors,Main Road,,"['4 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Stove', '4 Light', '1 TV', '1 Curtains', '1 Bed', '4 Wardrobe', '1 Sofa', '1 Washing Machine', 'No AC', 'No Chimney', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Water Purifier']",['Maintenance Staff'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",10+ Year Old,West
"2 BHK Flat in Misrod, Bhopal",Chinarr Dream City,₹22 Lac,"₹1,833 /sqft",Ready To Move,Residential apartment for sell.Located in misrod.It is a unfurnished property.The property has 2 bedrooms with 2 bathrooms .Available at an expected price of rs 2200000.Located on 4th floor out of the 7 the property comes with a good construction quality which ages 5-10 years old property,"Super Built up area 1200
(111.48 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 22 Lac
@ 1,833 per sq.ft.","Chinarr Dream City
Misrod, Bhopal",4th   of 7 Floors,,,[],"['Security / Fire Alarm', 'Lift(s)', 'Water Storage']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,
"3 BHK Flat in Airport Road, Bhopal",Queens Regency,₹57 Lac,"₹4,347 /sqft",Ready To Move,"This is a brand new flat with a modular kitchen, lift and parking in a peaceful and posh area. The building is fully maintained. The airport is just 10 mins away, lalghati junction is 5 mins away.All good restaurants, schools and hospitals are nearby.","Built Up area: 1150
(106.84 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 57 Lac
@ 4,347 per sq.ft. (All inclusive, Negotiable)","Queens Regency
Airport Road, Bhopal",4th   of 4 Floors,Main Road,,"['3 Fan', '5 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",1 to 5 Year Old,
"2 BHK Flat in Awadhpuri, Bhopal",Regal Town,₹27 Lac,"₹3,683 /sqft",Ready To Move,"Well maintained spacious corner 2bhk flat, proper light in all rooms , kitchen and balcony , proper ventilation in complete flat all fans and light fitting completed currently rental value is 9k-10k, want to sell plz no broker","Super Built up area 923
(85.75 sq.m.)
Carpet area: 733 sq.ft. (68.1 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 27 Lac+ Govt Charges & Tax
@ 3,683 per sq.ft. (All inclusive, Negotiable) View Price Details","Regal Town
Awadhpuri, Bhopal",2nd   of 6 Floors,"Park/Garden,Club,Main Road",,"['4 Fan', '1 Exhaust Fan', '3 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,East
"3 BHK Flat in Aashirwad Colony, Bhopal",golden valley heights,₹42 Lac,"₹3,500 /sqft",Ready To Move,All market r nearby .Walking distance..,"Carpet area: 1200
(111.48 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 42 Lac+ Govt Charges & Tax
@ 3,500 per sq.ft. (All inclusive, Negotiable)","golden valley heights
Aashirwad Colony, Bhopal",2nd   of 5 Floors,,,"['3 Bed', '1 Wardrobe', '1 Fridge', '1 Sofa', '1 Washing Machine', '1 Modular Kitchen', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Stove', 'No TV', 'No Water Purifier']",[],[],5 to 10 Year Old,
