pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Facing,Overlooking,Property Age,furnishing,features,ratings,Possession in
"1 BHK Flat in Industrial Area, Bhopal",appartment,₹8 Lac,"₹2,000 /sqft",Ready To Move,1 bedroom 1 hall kichen balcony road parking garden,"Carpet area: 400
(37.16 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony with Others","₹ 8 Lac+ Govt Charges & Tax
@ 2,000 per sq.ft. (All inclusive, Negotiable)","appartment
Industrial Area, Bhopal",2nd   of 3 Floors,North,"Park/Garden,Main Road",10+ Year Old,[],"['Security / Fire Alarm', 'Maintenance Staff', 'Water Storage', 'Park']",[],
"1 BHK Flat in Talaiya, Bhopal",Ma Apartment,₹60 Lac,"₹10,000 /sqft",Ready To Move,"This 1 bhk apartment is available for sale in ma apartment, one of the most prominent projects for flats in talaiya, bhopal. The flat is over 600 sq.Ft. Super built up area and comes with 1 bedroom(s), 1 bathroom and 1 balcony. The residential building has 5 floors in total and the flat for sale is located on the ground floor. As the project is already ready to move, so you can easily move into this 5-10 years old property.","Super Built up area 600
(55.74 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 60 Lac
@ 10,000 per sq.ft.","Ma Apartment
Talaiya, Bhopal",Ground of 5 Floors,,,5 to 10 Year Old,[],[],[],
"2 BHK Flat in rahul nagar mata mandir, Bhopal",rahul,₹40 Lac,"₹6,201 /sqft",Ready To Move,Very prime location of bhopal near by new market shahpura manit and also good rent,"Carpet area: 645
(59.92 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 40 Lac+ Govt Charges & Tax
@ 6,201 per sq.ft. View Price Details","rahul
rahul nagar mata mandir, Bhopal",6th   of 9 Floors,,"Park/Garden,Main Road",1 to 5 Year Old,[],"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park']",[],
"3 BHK Flat in Salaiya, Bhopal",Aakriti Greens,₹45 Lac,"₹3,157 /sqft",Ready To Move,"Ideal for those who want to stay with nature cool and pollution free environment. Aakriti greens offers spacious campus, adequate parking,lush green environment, siddhivinayak and hanuman temple. Very good for morning and evening walk and spiritual atmosphere. Those who wants peace of mind can chose this place. There are regular ganesh festivals,navaratri,bhajan kirtan and other cultural programmes suitable for all age groups. All leading school buses stops infront of aakriti gate. All amenities are nearby including super shop,vegetable vendors, medical stores etc. Maids etc are readily avlble. Aakriti green has got 2 big and 2 small gardens, children play area, open gym is coming up very soon and huge open space.","Built Up area: 1425
(132.39 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 45 Lac+ Govt Charges & Tax
@ 3,157 per sq.ft. View Price Details","Aakriti Greens
Salaiya, Bhopal",5th   of 6 Floors,South-West,Park/Garden,10+ Year Old,"['4 Fan', '1 Exhaust Fan', '6 Light', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Ayodhya Bypass , Bhopal",Agrawal Sagar Lakeview Homes,₹32.5 Lac,"₹3,080 /sqft",Ready To Move,Nice place and society to live in,"Super Built up area 1055
(98.01 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 32.5 Lac+ Govt Charges & Tax
@ 3,080 per sq.ft. (Negotiable) View Price Details","Agrawal Sagar Lakeview Homes
Ayodhya Bypass , Bhopal",Ground of 6 Floors,East,"Pool,Park/Garden",10+ Year Old,[],"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'High Ceiling Height', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Kolar Road, Bhopal",Bima Kunj,₹15 Lac,"₹3,409 /sqft",Ready To Move,Heres a more attractive version of your message:,"Carpet area: 440
(40.88 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 15 Lac
@ 3,409 per sq.ft. (Negotiable)","Bima Kunj
Kolar Road, Bhopal",3rd   of 3 Floors,,,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Peer Gate Area, Bhopal",husna apartment,₹16 Lac,"₹2,667 /sqft",Ready To Move,Residential apartment for sell.The property has 2 bedrooms with 2 bathrooms .It is a furnished property.Located in peer gate area.Available at an expected price of rs 1600000.Located on ground floor out of the 6 the property comes with a good construction quality which ages 1-5 years old property.2wheeler parking is available.,"Super Built up area 600
(55.74 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 16 Lac+ Govt Charges & Tax
@ 2,667 per sq.ft. (Negotiable)","husna apartment
Peer Gate Area, Bhopal",Ground of 6 Floors,,,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"1 BHK Flat in Ayodhya Bypass , Bhopal",Raj Minal Residency,₹25 Lac,"₹5,000 /sqft",Ready To Move,"We are the proud owners of this 1 bhk apartment available in raj minal residency, ayodhya bypass , bhopal. This it is a and the unit is located on 3rd floor and has a super built-Up area of 500 sq.Ft. . It has 1 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 500
(46.45 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 25 Lac
@ 5,000 per sq.ft.","Raj Minal Residency
Ayodhya Bypass , Bhopal",3rd   of 4 Floors,,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Gulmohar Colony, Bhopal",RSR Satyam Estate,₹2 Cr,"₹9,090 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in rsr satyam estate, gulmohar colony, bhopal. This it is a and the unit is located on ground floor and has a super built-Up area of 2200 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 2200
(204.39 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 2 Crore
@ 9,090 per sq.ft.","RSR Satyam Estate
Gulmohar Colony, Bhopal",Ground of 2 Floors,,,0 to 1 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"1 BHK Flat in Nehru Nagar , Bhopal",LIG Flats,₹15 Lac,"₹3,488 /sqft",Ready To Move,Very prime location nehru nagar only 3 km new market 5 km mp nagar to kilometre hotel taj,"Built Up area: 430
(39.95 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 15 Lac
@ 3,488 per sq.ft. (Negotiable)","LIG Flats
Nehru Nagar , Bhopal",1st   of 1 Floors,,,10+ Year Old,"['2 Fan', '2 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Badwai, Bhopal",Satya Prakash Nice Space,₹25 Lac,"₹3,834 /sqft",Ready To Move,"Colony have community hall, jim, pool, garden. Seperate parking space, gated colony with full time guards.","Carpet area: 652
(60.57 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 2 Balconies","₹ 25 Lac
@ 3,834 per sq.ft. (All inclusive, Negotiable)","Satya Prakash Nice Space
Badwai, Bhopal",2nd   of 6 Floors,South-East,"Pool,Park/Garden,Club",1 to 5 Year Old,"['1 Bed', '3 Fan', '1 Exhaust Fan', '3 Light', '1 Curtains', 'No AC', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Swimming Pool', 'Water Storage', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",[],
"2 BHK Flat in Rajharsh Colony, Bhopal",Soumya Evergreen,₹35 Lac,"₹3,500 /sqft",Ready To Move,Prime locatin property with all basic amenities for more details contact us,"Carpet area: 1000
(92.9 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac
@ 3,500 per sq.ft. (All inclusive, Negotiable)","Soumya Evergreen
Rajharsh Colony, Bhopal",2nd   of 5 Floors,,,5 to 10 Year Old,"['1 Wardrobe', '2 Fan', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Katara Hills, Bhopal",Agrawal Sagar Golden Palm,₹32 Lac,"₹2,666 /sqft",Ready To Move,"3 bhk, east facing, second floor, main road property, near by school, hospitals, market, bus stand & railway station.","Super Built up area 1200
(111.48 sq.m.)
Carpet area: 950 sq.ft. (88.26 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 32 Lac+ Govt Charges & Tax
@ 2,666 per sq.ft. (Negotiable)","Agrawal Sagar Golden Palm
Katara Hills, Bhopal",2nd   of 6 Floors,East,"Pool,Park/Garden,Club,Main Road",5 to 10 Year Old,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Kohefiza, Bhopal",Ivory-11,₹45 Lac,"₹5,000 /sqft",Ready To Move,Prime location flat for resale at koh-E-Fiza: 3 bhk (Front) 900 sq. Ft. Airy and full of natural light Very well maintained Convenience of 2nd floor Lift facility Dedicated 4 wheel parking space Secured area with cctv Ample supply of borewell water Peaceful and quite residential area.,"Carpet area: 900
(83.61 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 45 Lac
@ 5,000 per sq.ft. (Negotiable)","Ivory-11
Kohefiza, Bhopal",2nd   of 5 Floors,,,1 to 5 Year Old,"['2 Wardrobe', '2 Fan', '25 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Water Storage']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Katara Hills, Bhopal",Imperial Harmony,₹30 Lac,"₹2,222 /sqft",Ready To Move,Extra wide porch area with 3 bhk newly made flat with good market area near by all facilities are near by the campus area,"Built Up area: 1350
(125.42 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 30 Lac
@ 2,222 per sq.ft. (Negotiable)","Imperial Harmony
Katara Hills, Bhopal",4th   of 6 Floors,South-East,"Park/Garden,Main Road",5 to 10 Year Old,[],"['Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"1 BHK Flat in Ayodhya Bypass , Bhopal",Paras Heights,₹14 Lac,"₹3,111 /sqft",Ready To Move,Mujhe flate sell karna hi jisme sabhi subhidha uplbhd hi cavered campus or lift subhida light watter supply agr rent pe dena hi to 4500 rs miljayega or tnc or rera aprubove hi kisi bank se lone ho jayega or location me people mall or best price sase best location hi,"Carpet area: 450
(41.81 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony with Others","₹ 14 Lac
@ 3,111 per sq.ft. (Negotiable)","Paras Heights
Ayodhya Bypass , Bhopal",3rd   of 6 Floors,North-East,"Park/Garden,Main Road",1 to 5 Year Old    View Construction Status,[],"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Park', 'Visitor Parking', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Kolar Road, Bhopal",Samriddhi Apartment,₹35 Lac,"₹4,666 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in samriddhi apartment, kolar road, bhopal. This it is a and the unit is located on 1st floor and has a super built-Up area of 750 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 750
(69.68 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac
@ 4,666 per sq.ft.","Samriddhi Apartment
Kolar Road, Bhopal",1st   of 3 Floors,,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Awadhpuri, Bhopal",Girnar Hills,₹20 Lac,"₹2,191 /sqft",Ready To Move,3bhk flat at reasonable price.,"Super Built up area 890
(82.68 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 20 Lac+ Govt Charges & Tax
@ 2,191 per sq.ft. (Negotiable)","Girnar Hills
Awadhpuri, Bhopal",2nd   of 7 Floors,East,"Park/Garden,Main Road,Club",1 to 5 Year Old    View Construction Status,[],"['Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Katara Hills, Bhopal",Asnani Pebble Bay Phase 2,₹22 Lac,"₹3,142 /sqft",Ready To Move,"Sale 2bhk flat near ashima mall,hosangabadroad,bhopal.","Built Up area: 900
(83.61 sq.m.)
Carpet area: 700 sq.ft. (65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 22 Lac+ Govt Charges & Tax
@ 3,142 per sq.ft. (Negotiable)","Asnani Pebble Bay Phase 2
Katara Hills, Bhopal",1st   of 2 Floors,East,Main Road,1 to 5 Year Old,"['1 Bed', '1 Wardrobe', '25 Light', '1 TV', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Maintenance Staff', 'Water Storage']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Karond, Bhopal",Globus Coral Casa,₹35 Lac,"₹3,043 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in globus coral casa, karond, bhopal. This it is a and the unit is located on 1st floor and has a built up area of 1150 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Built Up area: 1150
(106.84 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac
@ 3,043 per sq.ft.","Globus Coral Casa
Karond, Bhopal",1st   of 7 Floors,,,0 to 1 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"13 BHK Flat in Danish Nagar, Bhopal",danish nagar d-1,₹3 Cr,"₹13,888 /sqft",Ready To Move,The total rent of the property is 64k currently excluding ground floor 25k rent fully furnished ground floor visit any time and near main road and ghandhi pr collage,"Super Built up area 6000
(557.42 sq.m.)
Built Up area: 3600 sq.ft. (334.45 sq.m.)
Carpet area: 2160 sq.ft. (200.67 sq.m.)  
sq.ft.","13 Bedrooms , 14 Bathrooms, 2 Balconies with Servant Room","₹ 3 Crore+ Govt Charges & Tax
@ 13,888 per sq.ft. (All inclusive, Negotiable)","danish nagar d-1
Danish Nagar, Bhopal",Ground of 3 Floors,,,0 to 1 Year Old,"['1 Wardrobe', '18 Fan', '25 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Kolar Road, Bhopal",Siddharth Tower,₹20 Lac,"₹3,333 /sqft",Ready To Move,Spacious design open green area with prime location dmart near 1 km,"Super Built up area 800
(74.32 sq.m.)
Carpet area: 600 sq.ft. (55.74 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 20 Lac
@ 3,333 per sq.ft. (Negotiable)","Siddharth Tower
Kolar Road, Bhopal",5th   of 5 Floors,West,Park/Garden,1 to 5 Year Old,[],"['Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'Park']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Ayodhya Bypass , Bhopal",Prestine The Homes,₹27.5 Lac,"₹2,291 /sqft",Ready To Move,This property is a 2bhk apartment with 2 bedrooms one with attached washroom (Western) 1 vehicle parking space(Both 2&4 wheeler) with a very friendly society and nice environment,"Super Built up area 1200
(111.48 sq.m.)
Carpet area: 800 sq.ft. (74.32 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 27.5 Lac
@ 2,291 per sq.ft. (Negotiable)","Prestine The Homes
Ayodhya Bypass , Bhopal",1st   of 1 Floors,North-East,,1 to 5 Year Old,"['2 Fan', '1 Geyser', '3 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Park', 'Security Personnel', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Sector B Indrapuri, Bhopal",LIG FLAT,₹30 Lac,"₹4,285 /sqft",Ready To Move,"Situated in sector b indrapuri, bhopal, lig flat is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in bhopal is your opportunity to be a part of this community. The flat is over 700 sq.Ft. Carpet area and comes with 2 bedroom(s), 2 bathrooms . The residential building has 3 floors in total and the flat for sale is located on the ground floor. This 10+ years old property is available for immediate possession as the project is ready to move. The flat consists of a big wash area at the back which is properly covered. It is a corner flat with secured entry. Open parking available.","Carpet area: 700
(65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 30 Lac
@ 4,285 per sq.ft. (Negotiable)","LIG FLAT
Sector B Indrapuri, Bhopal",Ground of 3 Floors,North,,10+ Year Old,"['3 Bed', '3 Fan', '8 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Visitor Parking']",[],
"2 BHK Flat in Ayodhya Nagar, Bhopal",Siddhartha Enclave,₹16.5 Lac,"₹2,640 /sqft",Ready To Move,"Situated in ayodhya nagar, bhopal, siddhartha enclave is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in bhopal is your opportunity to be a part of this community. This property faces the east direction. Constructed on a built up area of 625 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 1 balcony. This flat is situated on the 3rd floor of this 4 floors tall residential building. Being a ready to move project, you can expect immediate possession of this 10+ years old property. The beautifully designed polished concrete flooring enhances the beauty of the flat. Another plus point for this is that it is situated near close to school, close to hospital, close to market and close to highway. The society is well equipped with many modern amenities, including park and visitor parking. The housing society ensures a continuous supply of water to your flat from borewell/tank.","Built Up area: 625
(58.06 sq.m.)
Carpet area: 504 sq.ft. (46.82 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 16.5 Lac+ Govt Charges & Tax
@ 2,640 per sq.ft. (Negotiable)","Siddhartha Enclave
Ayodhya Nagar, Bhopal",3rd   of 4 Floors,East,"Park/Garden,Main Road",10+ Year Old,[],"['Feng Shui / Vaastu Compliant', 'Water Storage', 'Park', 'Visitor Parking', 'Natural Light', 'Airy Rooms']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Kalyan bhiwandi, Bhopal",tata amantra,₹95 Lac,"₹5,937 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in tata amantra, bypass road, bhopal. This it is a and the unit is located on 33rd floor and has a super built-Up area of 1600 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 1600
(148.64 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 95 Lac
@ 5,937 per sq.ft.","tata amantra
Kalyan bhiwandi, Bhopal",33rd   of 34 Floors,,,1 to 5 Year Old,[],[],[],
"3 BHK Flat in Hoshangabad Road, Bhopal",Nirupam Royal Palms,₹51.5 Lac,"₹6,437 /sqft",Ready To Move,"Great construction, excellent ambience with gym and swimming facilities, secured and safe gated society","Carpet area: 800
(74.32 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 51.5 Lac+ Govt Charges & Tax
@ 6,437 per sq.ft. (All inclusive, Negotiable)","Nirupam Royal Palms
Hoshangabad Road, Bhopal",4th   of 6 Floors,East,,5 to 10 Year Old,"['3 Fan', '1 Exhaust Fan', '3 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"4 BHK Flat in Ayodhya Bypass , Bhopal",Amaltas Westminster,₹55 Lac,"₹2,558 /sqft",Ready To Move,"We are the proud owners of this 4 bhk apartment available in amaltas westminster, ayodhya bypass , bhopal. This unfurnished apartment it is a and the unit is located on 8th floor and has a carpet area of 2150 sq.Ft. . It has 3 bathroom(s) and 3 balcony(s). The ownership is freehold type.","Carpet area: 2150
(199.74 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 55 Lac
@ 2,558 per sq.ft.","Amaltas Westminster
Ayodhya Bypass , Bhopal",8th   of 8 Floors,,,0 to 1 Year Old    View Construction Status,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Ibrahimpura, Bhopal",City Tower,₹25 Lac,"₹3,333 /sqft",Ready To Move,"Flat for sale in the heart of bhopal! Spacious and well-Maintained flat with: Pop ceiling Modular kitchen Lift & 4-Wheeler parking All modern amenities Nearby local market, fish market & daily-Need shops everything just a short walk away!","Built Up area: 750
(69.68 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac
@ 3,333 per sq.ft. View Price Details","City Tower
Ibrahimpura, Bhopal",1st   of 4 Floors,,Main Road,5 to 10 Year Old,[],[],[],
"2 BHK Flat in Mandideep, Bhopal",Singh Gaurav Heights,₹20 Lac,"₹3,333 /sqft",Ready To Move,2bhk spacious and well ventilated flat at prime location of mandideep,"Carpet area: 600
(55.74 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 20 Lac
@ 3,333 per sq.ft. (Negotiable)","Singh Gaurav Heights
Mandideep, Bhopal",3rd   of 4 Floors,,,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"4 BHK Flat in Airport Road, Bhopal",Airport City,₹60 Lac,"₹5,000 /sqft",Under Construction,"Ammenities Jewel shankra ,jewel premium, jewel ganesha","Super Built up area 1450
(134.71 sq.m.)
Carpet area: 1200 sq.ft. (111.48 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 1 Balcony with Pooja Room,Study Room,Others
View Floor Plan","₹ 60 Lac
@ 5,000 per sq.ft.","Airport City
Airport Road, Bhopal",Basement of 3 Floors,,,,[],"['Power Back-up', 'Intercom Facility', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",Within 3 months
"3 BHK Flat in Bawadia Kalan, Bhopal",RSR Opel Regency,₹55 Lac,"₹5,467 /sqft",Ready To Move,"Check out this 3 bhk apartment for sale in rsr opel regency, a popular residential project that houses in-Demand flats in bawadia kalan, bhopal. This property faces the north-East direction. Containing 3 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a carpet area of 1006 sq.Ft. This flat is situated on the 2nd floor of this 6 floors tall residential building. An added advantage of this 10+ years old flat is that it is available for immediate possession as the project is already ready to move. The granite flooring of this flat is beautifully designed and helps to give it a pleasing look. The society complex is in the close vicinity of close to market, close to school, close to hospital and close to mall, making it an ideal home for a relaxed lifestyle. Rsr opel regency is designed very well to provide modern facilities such as swimming pool, lift(s), security personnel, maintenance staff and club house / community center. The society provides continuous water supply from municipal corporation and borewell/tank.","Carpet area: 1006
(93.46 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 55 Lac+ Govt Charges & Tax
@ 5,467 per sq.ft.","RSR Opel Regency
Bawadia Kalan, Bhopal",2nd   of 6 Floors,North-East,,10+ Year Old,"['1 Wardrobe', '2 Geyser', '1 Washing Machine', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
