pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Facing,Property Age,furnishing,features,ratings,Overlooking,Possession in
"9 Bedroom House for sale in Rachna Nagar, Bhopal","Rachna Nagar, Bhopal",₹1.8 Cr,"₹3,830 /sqft",Ready To Move,"Looking to buy an independent house in bhopal? Do check out this 9 bhk house in rachna nagar, which is an ideal choice for a family. Containing 9 bedrooms, 7 bathrooms , this independent house is spread over a built up area of 4700 sq.Ft. This 0-1 year old property is available for immediate possession as the house is ready to move. It is a freehold property. By paying just 1.8 crore, you can become the proud owner of this independent house.","Built Up area: 4700
(436.64 sq.m.)  
sq.ft.","9 Bedrooms , 7 Bathrooms, No Balcony","₹ 1.8 Crore
@ 3,830 per sq.ft.","Rachna Nagar, Bhopal",3 Floors,,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,undefined
"2 Bedroom House for sale in Sector C Shahpura, Bhopal","Sector C Shahpura, Bhopal",₹35 Lac,"₹7,777 /sqft",Ready To Move,"A well maintained east and garden facing duplex for sale at the very prime area of sahpura near bansal hospital ,","Plot area 450
(41.81 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony with Pooja Room","₹ 35 Lac
@ 7,777 per sq.ft. (All inclusive) View Price Details","Sector C Shahpura, Bhopal",2 Floors,East,10+ Year Old,[],"['Private Garden / Terrace', 'False Ceiling Lighting', 'Park', 'Visitor Parking']",[],Park/Garden,
"5 Bedroom House for sale in B sector shahpura, Bhopal","B sector shahpura, Bhopal",₹11 Cr,"₹20,560 /sqft",Ready To Move,Vip address,"Plot area 5350
(497.03 sq.m.)
Built Up area: 4000 sq.ft. (371.61 sq.m.)  
sq.ft.","5 Bedrooms , 5 Bathrooms, 3+ Balconies with Pooja Room,Servant Room,Store Room,Study Room","₹ 11 Crore
@ 20,560 per sq.ft. (Negotiable)","B sector shahpura, Bhopal",2 Floors,East,10+ Year Old,"['5 Wardrobe', '2 Geyser', '4 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'High Ceiling Height', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Low Density Society']",[],Main Road,
"3 Bedroom House for sale in Samardha, Bhopal",Sage Milestone,₹84 Lac,"₹5,250 /sqft",Ready To Move,"Park facing , prime property on hoshangabad main road. Park, childrens play area, club house are some of the amenities. Sage shopping mall and upcoming proposed metro are adjacent to the property. The campus is well maintained with top notch security. Its on the main road and that adds more value to the project.","Plot area 850
(78.97 sq.m.)
Built Up area: 1800 sq.ft. (167.23 sq.m.)
Carpet area: 1600 sq.ft. (148.64 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 84 Lac+ Govt Charges & Tax
@ 5,250 per sq.ft. (Negotiable)","Sage Milestone
Samardha, Bhopal",2 Floors,North,0 to 1 Year Old,"['1 Bed', '1 Wardrobe', '3 Fan', '3 Geyser', '6 Light', '1 AC', '1 Curtains', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",[],Park/Garden,
"3 Bedroom House for sale in Karond, Bhopal",Globus Coral Casa,₹75 Lac,"₹6,944 /sqft",Ready To Move,Independent house at best location and in best campus.,"Plot area 1008
(93.65 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 75 Lac
@ 6,944 per sq.ft. (Negotiable)","Globus Coral Casa
Karond, Bhopal",2 Floors,West,5 to 10 Year Old,"['1 Bed', '2 Wardrobe', '3 Fan', '1 Exhaust Fan', '2 Geyser', '1 Modular Kitchen', '1 Curtains', 'No AC', 'No Chimney', 'No Dining Table', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 Bedroom House for sale in Awadhpuri, Bhopal",Vayu Royal Enclave 1,₹56 Lac,"₹7,000 /sqft",Ready To Move,3 bhk semi furnished duplex close campus vayu enclave avadhpuri bhopal,"Plot area 800
(74.32 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room,Others","₹ 56 Lac
@ 7,000 per sq.ft. (Negotiable) View Price Details","Vayu Royal Enclave 1
Awadhpuri, Bhopal",,North,1 to 5 Year Old,"['3 Wardrobe', '6 Fan', '1 Exhaust Fan', '6 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Park/Garden,
"3 Bedroom House for sale in Bawadia Kalan, Bhopal",Aakriti Eco City,₹1.25 Cr,"₹11,061 /sqft",Ready To Move,"Planning to buy an individual house in bhopal. Then you should definitely check out this 3 bhk house for sale in bawadia kalan, a well-Planned and well-Connected locality in bhopal. The house has over super built up area of 1130 sq.Ft. And comes with 3 bedrooms, 3 bathrooms and 2 balconies. There is 1 covered & 1 open parking available with this house. Being a ready to move house, you can expect immediate possession of this 5-10 years old property. The nature of ownership of this independent house is freehold. This independent house is available at an attractive price of 1.3 crore. Many of the modern amenities being offered, like maintenance staff, visitor parking and park, will provide a pleasant living experience for you. The house provides continuous water supply from municipal corporation and borewell/tank. This is a east-Facing property. The house comes well built with vitrified flooring options.","Plot area 1130
(104.98 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 1.25 Crore
@ 11,061 per sq.ft. (Negotiable) View Price Details","Aakriti Eco City
Bawadia Kalan, Bhopal",2 Floors,East,5 to 10 Year Old,"['3 Fan', '1 Exhaust Fan', '2 Geyser', '5 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"4 Bedroom House for sale in Chuna Bhatti, Bhopal","Chuna Bhatti, Bhopal",₹2.5 Cr,"₹11,363 /sqft",Ready To Move,Best duplex in chuna bhatti bhopal location,"Plot area 2200
(204.39 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Pooja Room,Store Room,Study Room,Servant Room","₹ 2.5 Crore
@ 11,363 per sq.ft. View Price Details","Chuna Bhatti, Bhopal",,,1 to 5 Year Old,"['4 Fan', '1 Fridge', '1 Dining Table', '1 Washing Machine', '1 Microwave', '3 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Exhaust Fan', 'No Geyser', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Waste Disposal', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Pool,Others,Park/Garden,Club,Main Road",
"3 Bedroom House for sale in Jatkhedi, Bhopal",ABDL Aashima Anupama City,₹71 Lac,"₹9,659 /sqft",Ready To Move,"Planning to buy an individual house in bhopal. Then you should definitely check out this 3 bhk house for sale in jatkhedi, a well-Planned and well-Connected locality in bhopal. This house occupies a super built up area of 735 sq.Ft. And contains 3 bedrooms, 3 bathrooms and 2 balconies. This 3 bhk house comes attached with 1 covered and 1 open parking for your vehicle(s). As the property is already ready to move, so you can easily move into this 1-5 years old house. This house is owned under freehold contract. By paying just 71 lac, you can become the proud owner of this independent house. Many of the modern amenities being offered, like park, maintenance staff and visitor parking, will provide a pleasant living experience for you. The house provides a continuous supply of water for its residents. This is a east-Facing property. The house comes well built with marble flooring options.","Plot area 735
(68.28 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 71 Lac
@ 9,659 per sq.ft. (Negotiable) View Price Details","ABDL Aashima Anupama City
Jatkhedi, Bhopal",2 Floors,East,1 to 5 Year Old    View Construction Status,[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal']",[],Park/Garden,
"4 Bedroom House for sale in Hoshangabad Road, Bhopal",Globus Coral Cottages,₹1.2 Cr,"₹9,090 /sqft",Ready To Move,Near school c21 mall hospitals and market,"Plot area 1320
(122.63 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 1.2 Crore+ Govt Charges & Tax
@ 9,090 per sq.ft. (All inclusive) View Price Details","Globus Coral Cottages
Hoshangabad Road, Bhopal",2 Floors,East,1 to 5 Year Old,"['2 Wardrobe', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Park', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Main Road",
"4 Bedroom House for sale in Gulmohar Colony, Bhopal","Gulmohar Colony, Bhopal",₹1.37 Cr,"₹8,562 /sqft",Ready To Move,Duplex for sale at prime location of bawadiya kalan near dana pani bridge and gulmohar. This duplex is in a covered campus with jain mandir nearby and is best suited for residential purposes.,"Plot area 1600
(148.64 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room,Study Room","₹ 1.37 Crore
@ 8,562 per sq.ft. (All inclusive) View Price Details","Gulmohar Colony, Bhopal",2 Floors,,1 to 5 Year Old,"['1 Bed', '1 Wardrobe', '1 Geyser', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Park/Garden,
"2 Bedroom House for sale in Khajuri Kalan , Bhopal","Khajuri Kalan , Bhopal",₹25 Lac,"₹4,166 /sqft",Ready To Move,"1 hall, 2 bedrooms, kitchen lat bath.","Plot area 600
(55.74 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, No Balcony","₹ 25 Lac
@ 4,166 per sq.ft. (All inclusive, Negotiable)","Khajuri Kalan , Bhopal",1 Floors,,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"6 Bedroom House for sale in Ayodhya Bypass , Bhopal","Ayodhya Bypass , Bhopal",₹3.2 Cr,"₹8,000 /sqft",Ready To Move,"Do you wish to buy an independent house in ayodhya bypass , bhopal. This 6 bhk house looks like an ideal choice for somebody looking for peace of mind. The house has over built up area of 4000 sq.Ft. And comes with 6 bedrooms, 5 bathrooms . This is a ready to move house, which is 0-1 year old. The ownership right of this property is freehold. The property is available for sale at a competitive price of 3.2 crore.","Built Up area: 4000
(371.61 sq.m.)
Carpet area: 2400 sq.ft. (222.97 sq.m.)  
sq.ft.","6 Bedrooms , 5 Bathrooms, No Balcony","₹ 3.2 Crore
@ 8,000 per sq.ft.","Ayodhya Bypass , Bhopal",1 Floors,,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,undefined
"3 Bedroom House for sale in BDA Colony, Bhopal","BDA Colony, Bhopal",₹35 Lac,"₹7,000 /sqft",Ready To Move,House for sale perfect family home in a prime location!,"Plot area 500
(46.45 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 35 Lac+ Govt Charges & Tax
@ 7,000 per sq.ft. (All inclusive, Negotiable)","BDA Colony, Bhopal",2 Floors,South-East,1 to 5 Year Old,"['3 Wardrobe', '1 TV', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Washing Machine', 'No Water Purifier']",['Water Storage'],[],,
"4 Bedroom House for sale in Bawadia Kalan, Bhopal",Fortune Glory Extension 2,₹1.3 Cr,"₹8,888 /sqft",Ready To Move,"Duplex for sale at prime location of bawadiya kalan near aura mall and tilak nagar. It is located in a covered campus with all modern amenities and 4 gardens,hospital and banks are nearby. For more details contact komal.","Plot area 1300
(120.77 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Pooja Room,Others","₹ 1.3 Crore
@ 8,888 per sq.ft. (All inclusive) View Price Details","Fortune Glory Extension 2
Bawadia Kalan, Bhopal",2 Floors,,5 to 10 Year Old,"['1 Wardrobe', '1 Sofa', '1 Geyser', '1 Washing Machine', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Water Purifier']","['Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"4 Bedroom House for sale in Salaiya, Bhopal","Salaiya, Bhopal",₹80 Lac,"₹8,264 /sqft",Ready To Move,Newly constructed 4bhk duplex for sale at prime location of bawadiya kalan near sagar public school and flamingo campus. It is a semi furnished duplex with a garden nearby and is very close to main road. For more details contact komal,"Plot area 968
(89.93 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 2 Balconies with Study Room,Servant Room","₹ 80 Lac
@ 8,264 per sq.ft. (All inclusive)","Salaiya, Bhopal",2 Floors,East,0 to 1 Year Old,"['1 Wardrobe', '1 Bed', '1 TV', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Waste Disposal', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Park/Garden,
"2 Bedroom House for sale in Ratibad, Bhopal","Ratibad, Bhopal",₹16 Lac,"₹2,123 /sqft",Ready To Move,This house is separate and near road,"Plot area 730
(67.82 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 16 Lac
@ 2,123 per sq.ft. (All inclusive, Negotiable)","Ratibad, Bhopal",1 Floors,,0 to 1 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"4 Bedroom House for sale in Adarsh Colony, Bhopal","Adarsh Colony, Bhopal",₹73.95 Lac,"₹7,395 /sqft",Ready To Move,Corner plot maine road near by airport covered campus,"Plot area 1000
(92.9 sq.m.)
Built Up area: 1700 sq.ft. (157.94 sq.m.)  
sq.ft.","4 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 73.95 Lac+ Govt Charges & Tax
@ 7,395 per sq.ft. (All inclusive, Negotiable)","Adarsh Colony, Bhopal",2 Floors,East,5 to 10 Year Old,"['1 Fan', '1 Exhaust Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Park', 'Visitor Parking']",[],,
"3 Bedroom House for sale in Kolar Road, Bhopal",Ultimate English Villa,₹63 Lac,"₹7,875 /sqft",Ready To Move,"East facing, park facing, corner, society is on the main 6 lane road, club house, gated society.","Plot area 800
(74.32 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies with Pooja Room,Study Room","₹ 63 Lac
@ 7,875 per sq.ft. (All inclusive)","Ultimate English Villa
Kolar Road, Bhopal",2 Floors,East,5 to 10 Year Old,"['5 Fan', '1 Exhaust Fan', '10 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Pool,Club,Main Road,Park/Garden,Others",
"2 Bedroom House for sale in Bypass Road, Bhopal","Bypass Road, Bhopal",₹22 Lac,"₹2,328 /sqft",Ready To Move,"We have a house/villa available for sale in bypass road, meerut. Available at price of rs 22 lacs. It has plot area of 944.841 sq ft. It has 2 bhk, 2 bathroom, 1 balcony.It is a freehold property","Plot area 944.85
(87.78 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 22 Lac
@ 2,328 per sq.ft.","Bypass Road, Bhopal",1 Floors,,0 to 1 Year Old,[],[],[],Park/Garden,
"4 Bedroom House for sale in Awadhpuri, Bhopal","Awadhpuri, Bhopal",₹2.6 Cr,"₹3,250 /sqft",Ready To Move,"This 4 bhk house for sale in awadhpuri, a well planned locality in bhopal, is ideal for a family that is looking for complete peace of mind. This house occupies a super built up area of 8000 sq.Ft. And contains 4 bedrooms, 4 bathrooms and 3 balconies. This 4 bhk house comes attached with 6 covered and 2 open parking for your vehicle(s). Another added advantage of this 1-5 years old house is that it is available for immediate possession. The type of ownership of this property is freehold. The property is available for sale at a competitive price of 2.6 crore. Many of the modern amenities being offered, like swimming pool, will provide a pleasant living experience for you. The house provides continuous water supply from borewell/tank. This is a west-Facing property. The house comes well built with marble flooring options.","Plot area 8000
(743.22 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3 Balconies with Others,Servant Room,Pooja Room,Study Room","₹ 2.6 Crore
@ 3,250 per sq.ft. (Negotiable) View Price Details","Awadhpuri, Bhopal",2 Floors,West,1 to 5 Year Old,[],"['Swimming Pool', 'Separate entry for servant room', 'Piped-gas']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Pool,Club,Main Road",
"4 Bedroom House for sale in E 7 Arera colony, Bhopal","E 7 Arera colony, Bhopal",₹2 Cr,"₹11,111 /sqft",Ready To Move,Best villa in arera colony bhopal,"Plot area 1800
(167.23 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room,Store Room,Study Room,Servant Room","₹ 2 Crore
@ 11,111 per sq.ft. View Price Details","E 7 Arera colony, Bhopal",2 Floors,West,5 to 10 Year Old,"['5 Fan', '3 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",[],"Pool,Others,Park/Garden,Club,Main Road",
"4 Bedroom House for sale in E 7 Arera colony, Bhopal","E 7 Arera colony, Bhopal",₹3.5 Cr,"₹14,510 /sqft",Ready To Move,Prime location near to 11 nos market can be used as semicommercial or commercial. Good for restaurant hotel hospital clinic,"Plot area 2412
(224.08 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3 Balconies with Pooja Room,Study Room,Servant Room","₹ 3.5 Crore+ Govt Charges & Tax
@ 14,510 per sq.ft. (Negotiable) View Price Details","E 7 Arera colony, Bhopal",2 Floors,North,10+ Year Old,[],"['Water Storage', 'Visitor Parking', 'Waste Disposal']",[],Main Road,
"4 Bedroom House for sale in Shakti Nagar, Bhopal","Shakti Nagar, Bhopal",₹3.75 Cr,"₹9,375 /sqft",Ready To Move,"Wishing to settle down in an individual house with your family? This well-Built and spacious 4 bhk house for sale in shakti nagar, bhopal seems to be an ideal choice for a peaceful abode for a family. Constructed on a super built up area of 4000 sq.Ft., this house comprises 4 bedrooms, 4 bathrooms and 3 balconies. The houses comes with dedicated 1 covered and 1 open parking space(s) where you can easily park your vehicle(s). This 10+ years old property is available for immediate possession as the house is ready to move. It is a leasehold property. This spacious house can be all yours at an attractive price of 3.75 crore. You enjoy a 24*7 water supply in your house. This independent house is facing the east direction. The beautifully designed marble flooring enhances the beauty of this independent house.","Plot area 4000
(371.61 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3 Balconies with Servant Room","₹ 3.75 Crore
@ 9,375 per sq.ft. (Negotiable) View Price Details","Shakti Nagar, Bhopal",2 Floors,East,10+ Year Old,[],[],[],"Park/Garden,Main Road",
"3 Bedroom House for sale in Awadhpuri, Bhopal",Draupadi Shivlok Phase 5,₹60 Lac,"₹6,024 /sqft",Ready To Move,"Do you wish to buy an independent house in awadhpuri, bhopal. This 3 bhk house looks like an ideal choice for somebody looking for peace of mind. This house occupies a super built up area of 996 sq.Ft. And contains 3 bedrooms, 3 bathrooms and 3 balconies. The owner of the house also gets 1 covered and 1 open parking slot(s) to park their car safely. This 1-5 years old property is available for immediate possession as the house is ready to move. It is a freehold property. This independent house is available at an attractive price of 60 lac. Borewell/tank provides a regular supply of water to this residential house. The residential house is north-West-Facing. The floor of this independent house is beautifully designed using marble flooring, giving it an alluring look.","Plot area 996
(92.53 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 60 Lac
@ 6,024 per sq.ft. (Negotiable) View Price Details","Draupadi Shivlok Phase 5
Awadhpuri, Bhopal",2 Floors,North-West,1 to 5 Year Old,"['1 Water Purifier', '1 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Geyser', '1 Stove', '1 Light', '1 Modular Kitchen', '1 TV', '1 Chimney', '1 Curtains', '1 AC', '1 Wardrobe', '1 Bed', '1 Sofa', '1 Washing Machine', '1 Microwave']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Club,Main Road,Park/Garden",
"3 Bedroom House for sale in Awadhpuri, Bhopal","Awadhpuri, Bhopal",₹55 Lac,"₹6,875 /sqft",Ready To Move,"This 3 bhk house for sale in awadhpuri, a well planned locality in bhopal, is ideal for a family that is looking for complete peace of mind. Containing 3 bedrooms, 3 bathrooms and 1 balcony, this independent house is spread over a super built up area of 800 sq.Ft. The owner of the house also gets 1 covered and 1 open parking slot(s) to park their car safely. As the property is already ready to move, so you can easily move into this 5-10 years old house. This house is owned under freehold contract. The property is available for sale at a competitive price of 55 lac. Municipal corporation and borewell/tank provides a regular supply of water to this residential house. The residential house is east-Facing. The floor of this independent house is beautifully designed using marble flooring, giving it an alluring look.","Plot area 800
(74.32 sq.m.)
Built Up area: 1400 sq.ft. (130.06 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 55 Lac
@ 6,875 per sq.ft. View Price Details","Awadhpuri, Bhopal",2 Floors,East,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 Bedroom House for sale in Awadhpuri, Bhopal","Awadhpuri, Bhopal",₹55 Lac,"₹5,500 /sqft",Ready To Move,"Do you wish to buy an independent house in awadhpuri, bhopal. This 2 bhk house looks like an ideal choice for somebody looking for peace of mind. The house has over super built up area of 1000 sq.Ft. And comes with 2 bedrooms, 2 bathrooms . The owner of the house also gets 1 covered and 1 open parking slot(s) to park their car safely. Being a ready to move house, you can expect immediate possession of this 10+ years old property. The nature of ownership of this independent house is freehold. This independent house is available at an attractive price of 55 lac. The house provides continuous water supply from municipal corporation. This is a north-East-Facing property. The house comes well built with marble flooring options.","Plot area 1000
(92.9 sq.m.)
Built Up area: 800 sq.ft. (74.32 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 55 Lac
@ 5,500 per sq.ft. (Negotiable) View Price Details","Awadhpuri, Bhopal",1 Floors,North-East,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"4 Bedroom House for sale in Shahpura, Bhopal",C sector,₹47 Lac,"₹5,641 /sqft",Ready To Move,"This house have been built on 2plots and hence it has 4 portion, 2 on ground floor 2 on 1st floor.","Plot area 780
(72.46 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 47 Lac+ Govt Charges & Tax
@ 5,641 per sq.ft.","C sector
Shahpura, Bhopal",2 Floors,,10+ Year Old,"['1 Water Purifier', '5 Fan', '1 Exhaust Fan', '1 Geyser', '1 Stove', '5 Light', '1 Modular Kitchen', '1 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Private Garden / Terrace', 'Water Storage', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"4 Bedroom House for sale in Mendua, Bhopal",Sid Saffron Valley,₹60 Lac,"₹4,000 /sqft",Ready To Move,"Looking for buyer to purchase our house/villa available for sale in bhojpur road, bhopal. Available at price of rs 60 lacs. It has plot area of 1500 sq ft. It has 4 bhk, 4 bathroom, 2 balcony.It is a freehold property","Plot area 1500
(139.35 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 60 Lac
@ 4,000 per sq.ft.","Sid Saffron Valley
Mendua, Bhopal",2 Floors,,1 to 5 Year Old,[],[],[],,
