pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Property Age,furnishing,features,ratings,Facing,Overlooking,Possession in
"2 BHK Flat in Kolar Road, Bhopal",Sarvadharm Colony,₹32 Lac,"₹3,555 /sqft",Ready To Move,"This 2 bhk flat is located in sarvadharm colony, which houses some of the most spacious flats in kolar road, bhopal. This is a west-Facing property. Constructed on a carpet area of 900 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 1 balcony. The property is located on the top floor of a 1 floor tall building. An added advantage of this 10+ years old flat is that it is available for immediate possession as the project is already ready to move. The beautifully designed polished concrete flooring enhances the beauty of the flat. The society complex is in the close vicinity of close to market, close to highway, close to mall and close to hospital, making it an ideal home for a relaxed lifestyle. The society is well equipped with many modern amenities, including maintenance staff. The residential project is well equipped to meet all your water needs through access to borewell/tank supply.","Carpet area: 900
(83.61 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony with Pooja Room,Study Room","₹ 32 Lac+ Govt Charges & Tax
@ 3,555 per sq.ft. (All inclusive, Negotiable)","Sarvadharm Colony
Kolar Road, Bhopal",1st   of 1 Floors,10+ Year Old,"['4 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Stove', '4 Light', '1 TV', '1 Curtains', '1 Bed', '4 Wardrobe', '1 Sofa', '1 Washing Machine', 'No AC', 'No Chimney', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Water Purifier']",['Maintenance Staff'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,Main Road,
"2 BHK Flat in Misrod, Bhopal",Fortune Soumya Heritage,₹25 Lac,"₹3,846 /sqft",Ready To Move,Semi furnished modular kitchen,"Carpet area: 650
(60.39 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 25 Lac
@ 3,846 per sq.ft. (Negotiable)","Fortune Soumya Heritage
Misrod, Bhopal",3rd   of 6 Floors,5 to 10 Year Old    View Construction Status,"['1 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"2 BHK Flat in Misrod, Bhopal",Chinarr Dream City,₹22 Lac,"₹1,833 /sqft",Ready To Move,Residential apartment for sell.Located in misrod.It is a unfurnished property.The property has 2 bedrooms with 2 bathrooms .Available at an expected price of rs 2200000.Located on 4th floor out of the 7 the property comes with a good construction quality which ages 5-10 years old property,"Super Built up area 1200
(111.48 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 22 Lac
@ 1,833 per sq.ft.","Chinarr Dream City
Misrod, Bhopal",4th   of 7 Floors,5 to 10 Year Old,[],"['Security / Fire Alarm', 'Lift(s)', 'Water Storage']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"3 BHK Flat in Katara Hills, Bhopal",Agrawal Sagar Golden Palm,₹35 Lac,"₹2,592 /sqft",Ready To Move,"Well maintained flat with modular kitchen,furnished bedroom and temple area","Super Built up area 1350
(125.42 sq.m.)
Carpet area: 900 sq.ft. (83.61 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac+ Govt Charges & Tax
@ 2,592 per sq.ft.","Agrawal Sagar Golden Palm
Katara Hills, Bhopal",5th   of 8 Floors,5 to 10 Year Old,"['1 Bed', '1 Water Purifier', '5 Fan', '1 Exhaust Fan', '7 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,"Park/Garden,Pool,Club,Main Road",
"2 BHK Flat in Katara Hills, Bhopal",Asnani Spring Valley Dew,₹22 Lac,"₹2,650 /sqft",Ready To Move,"This 2 bhk flat is located in asnani spring valley dew, which houses some of the most spacious flats in katara hills, bhopal. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a super built up area of 830 sq.Ft. The property is located on the 1st floor of a 7 floors tall building. As the project is already ready to move, so you can easily move into this 10+ years old property. Asnani spring valley dew is designed very well to provide modern facilities such as fitness centre / gym, park, club house / community center, cctv surveillance and lift(s).","Super Built up area 830
(77.11 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 22 Lac+ Govt Charges & Tax
@ 2,650 per sq.ft. (Negotiable)","Asnani Spring Valley Dew
Katara Hills, Bhopal",1st   of 7 Floors,10+ Year Old    View Construction Status,[],"['Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,Main Road,
"2 BHK Flat in Katara Hills, Bhopal",Fortune Soumya Atlantis,₹22 Lac,"₹2,355 /sqft",Ready To Move,This is very beautiful campus with all amenities in katara hills bhopal,"Super Built up area 934
(86.77 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 22 Lac
@ 2,355 per sq.ft. (All inclusive, Negotiable)","Fortune Soumya Atlantis
Katara Hills, Bhopal",2nd   of 6 Floors,5 to 10 Year Old    View Construction Status,"['3 Fan', '2 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,"Pool,Club,Park/Garden,Main Road",
"2 BHK Flat in Chobdarpura, Bhopal",GL Mid City Complex,₹32 Lac,"₹2,978 /sqft",Ready To Move,"2bhk furnished flat in the heart of the city, ( Close to chowk bazar, boat club, kamla park, vip road, shyamla hills, new market)","Super Built up area 940
(87.33 sq.m.)
Built Up area: 850 sq.ft. (78.97 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 32 Lac+ Govt Charges & Tax
@ 2,978 per sq.ft. (Negotiable) View Price Details","GL Mid City Complex
Chobdarpura, Bhopal",2nd   of 4 Floors,5 to 10 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff']",[],North,,
"3 BHK Flat in Chandan Nagar, Bhopal",Parshvdham Apartments,₹32 Lac,"₹2,539 /sqft",Ready To Move,"3 bhk flat+one drawing room extra Spacious corner and ventilated flat Available on 4th floor in covered campus Suitable for big family/joint family Excellent condition with semi modular kitchen Lift Car parking Parks available Hindu Jain temples inside the campus Nearby to People's Bmhrc hospital And nishatpura Bhopal railway station Sbi approved Only genuine buyer may contact. C-404,balaji multi , parshv dham near old indian oil depot,bhanpur bhopal mp Naresh kumar suman(Owner)","Super Built up area 1260
(117.06 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 32 Lac
@ 2,539 per sq.ft. (All inclusive, Negotiable)","Parshvdham Apartments
Chandan Nagar, Bhopal",4th   of 6 Floors,5 to 10 Year Old,"['7 Fan', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",[],West,"Park/Garden,Club",
"3 BHK Flat in Empire Hights, Bhopal",Empire Hights idgah Hills,₹35 Lac,"₹4,915 /sqft",Ready To Move,"This beautiful 3 bhk flat in empire hights, bhopal is situated in empire hights idgah hills, one of the popular residential society in bhopal. Constructed on a carpet area of 712 sq.Ft., the flat comprises 3 bedroom(s), 2 bathrooms and 1 balcony. This flat lies on the 1st level of a 6 storey building. As the project is already ready to move, so you can easily move into this 5-10 years old property.","Carpet area: 712
(66.15 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac
@ 4,915 per sq.ft. (Negotiable)","Empire Hights idgah Hills
Empire Hights, Bhopal",1st   of 6 Floors,5 to 10 Year Old,[],[],[],,,
"2 BHK Flat in Kolar Road, Bhopal",Aadhhaar Symphony,₹35 Lac,"₹3,271 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in aadhhaar symphony, kolar road, bhopal. This it is a and the unit is located on 7th floor and has a super built-Up area of 1070 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 1070
(99.41 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac
@ 3,271 per sq.ft.","Aadhhaar Symphony
Kolar Road, Bhopal",7th   of 8 Floors,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"2 BHK Flat in Kolar Road, Bhopal",Aadhhaar Symphony,₹35 Lac,"₹3,271 /sqft",Ready To Move,Recently constructed high-Rise building with road view from 7th floor corner unit located at heart of bhopal kolar road.,"Super Built up area 1070
(99.41 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies
View Floor Plan","₹ 35 Lac
@ 3,271 per sq.ft. (All inclusive)","Aadhhaar Symphony
Kolar Road, Bhopal",7th   of 12 Floors,1 to 5 Year Old,"['2 Wardrobe', '2 Fan', '1 Exhaust Fan', '1 Geyser', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"2 BHK Flat in Hoshangabad Road, Bhopal",Fortune Kasturi,₹32 Lac,"₹4,000 /sqft",Ready To Move,Well maintained flat. Ventilation in all rooms. Spacious washroom,"Carpet area: 800
(74.32 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 32 Lac
@ 4,000 per sq.ft. (Negotiable)","Fortune Kasturi
Hoshangabad Road, Bhopal",4th   of 6 Floors,1 to 5 Year Old    View Construction Status,[],"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,"Park/Garden,Pool,Main Road",
"2 BHK Flat in Kolar Road, Bhopal",Sarvadharm Colony,₹17 Lac,"₹2,931 /sqft",Ready To Move,"All the rooms are well maintained and furnished with wardrobe. People are really nice there, good to raise kids. Cctv cameras 24*7, water supply 24*7. Parking space for 2 and 4 vehicles.","Carpet area: 580
(53.88 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 17 Lac
@ 2,931 per sq.ft. (All inclusive, Negotiable)","Sarvadharm Colony
Kolar Road, Bhopal",2nd   of 3 Floors,10+ Year Old,"['2 Wardrobe', '4 Light', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Water Storage', 'No open drainage around']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,,
"2 BHK Flat in Arera Colony, Bhopal",Mirchandani Shalimar Enclave,₹35 Lac,"₹4,375 /sqft",Ready To Move,You own the terrace its private and also can install a temprory shed,"Carpet area: 800
(74.32 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 35 Lac
@ 4,375 per sq.ft. (All inclusive)","Mirchandani Shalimar Enclave
Arera Colony, Bhopal",3rd   of 3 Floors,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"2 BHK Flat in Awadhpuri, Bhopal",Regal Town,₹27 Lac,"₹3,683 /sqft",Ready To Move,"Well maintained spacious corner 2bhk flat, proper light in all rooms , kitchen and balcony , proper ventilation in complete flat all fans and light fitting completed currently rental value is 9k-10k, want to sell plz no broker","Super Built up area 923
(85.75 sq.m.)
Carpet area: 733 sq.ft. (68.1 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 27 Lac+ Govt Charges & Tax
@ 3,683 per sq.ft. (All inclusive, Negotiable) View Price Details","Regal Town
Awadhpuri, Bhopal",2nd   of 6 Floors,5 to 10 Year Old,"['4 Fan', '1 Exhaust Fan', '3 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Park/Garden,Club,Main Road",
"2 BHK Flat in Jatkhedi, Bhopal",Swastik Grand,₹36 Lac,"₹2,500 /sqft",Ready To Move,"This lovely 2 bhk apartment/flat in jatkhedi is available for sale in one of bhopal's most popular projects, swastik grand. The flat is over 1440 sq.Ft. Built up area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. This flat is situated on the 6th floor of this 7 floors tall residential building. Being a ready to move project, you can expect immediate possession of this 0-1 year old property.","Built Up area: 1440
(133.78 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 36 Lac
@ 2,500 per sq.ft.","Swastik Grand
Jatkhedi, Bhopal",6th   of 7 Floors,,[],[],[],,,undefined
"3 BHK Flat in Kolar Road, Bhopal",Ultimate Campus,₹55 Lac,"₹3,928 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in ultimate campus, kolar road, bhopal. This it is a and the unit is located on 6th floor and has a carpet area of 1400 sq.Ft. . It has 10 bathroom(s). The ownership is freehold type.","Carpet area: 1400
(130.06 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, No Balcony","₹ 55 Lac
@ 3,928 per sq.ft.","Ultimate Campus
Kolar Road, Bhopal",6th   of 6 Floors,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"3 BHK Flat in Rajharsh Colony, Bhopal",Navaakar Parke Serene,₹35 Lac,"₹3,333 /sqft",Ready To Move,Its near to sage international school. Market is very near walk in distance,"Carpet area: 1050
(97.55 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac
@ 3,333 per sq.ft. (Negotiable)","Navaakar Parke Serene
Rajharsh Colony, Bhopal",1st   of 6 Floors,5 to 10 Year Old,"['4 Fan', '1 Exhaust Fan', '1 Dining Table', '1 Geyser', '2 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '2 Bed', '3 Wardrobe', '1 Sofa', 'No Light', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",['Swimming Pool'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"2 BHK Flat in Hoshangabad Road, Bhopal",Nirupam Royal Palms,₹22.5 Lac,"₹2,588 /sqft",Ready To Move,"Situated in hoshangabad road, bhopal, nirupam royal palms is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in bhopal is your opportunity to be a part of this community. The flat occupies a super built up area of 850 sq.Ft. That consists of 2 bedrooms, 1 bathroom and 1 balcony. The flat has a total of 6 floors and this property is situated on 4th floor. This 5-10 years old property is available for immediate possession as the project is ready to move. Many of the modern amenities being offered, like swimming pool, fitness centre / gym, club house / community center, park, shopping centre and lift(s), will provide a pleasant living experience for you.","Super Built up area 850
(78.97 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 22.5 Lac+ Govt Charges & Tax
@ 2,588 per sq.ft. (Negotiable)","Nirupam Royal Palms
Hoshangabad Road, Bhopal",4th   of 6 Floors,5 to 10 Year Old,"['3 Fan', '6 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,,
"2 BHK Flat in Awadhpuri, Bhopal",N/A,₹22 Lac,"₹2,444 /sqft",Ready To Move,"Check out this 2 bhk apartment for sale in n/a, a popular residential project that houses in-Demand flats in awadhpuri, bhopal. Constructed on a built up area of 900 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms . The property is located on the ground floor of a 1 floor tall building. As the project is already ready to move, so you can easily move into this 0-1 year old property.","Built Up area: 900
(83.61 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 22 Lac
@ 2,444 per sq.ft.","N/A
Awadhpuri, Bhopal",Ground of 1 Floors,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,undefined
"2 BHK Flat in Katara Hills, Bhopal",Asnani Spring Valley Dew,₹36.75 Lac,"₹4,900 /sqft",Ready To Move,Ready to move in flat available for sale,"Super Built up area 1050
(97.55 sq.m.)
Carpet area: 750 sq.ft. (69.68 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 36.75 Lac
@ 4,900 per sq.ft. (All inclusive)","Asnani Spring Valley Dew
Katara Hills, Bhopal",4th   of 6 Floors,5 to 10 Year Old    View Construction Status,"['1 Wardrobe', '3 Fan', '4 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,"Park/Garden,Club",
"2 BHK Flat in Bhanpur, Bhopal",Parshav Apartment,₹22.5 Lac,"₹3,214 /sqft",Ready To Move,"Welcome to your dream home in the beautiful and safe locality of bhanpur, bhopal.","Carpet area: 700
(65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 22.5 Lac
@ 3,214 per sq.ft. (Negotiable)","Parshav Apartment
Bhanpur, Bhopal",5th   of 6 Floors,5 to 10 Year Old,[],"['Security / Fire Alarm', 'Lift(s)', 'No open drainage around', 'Park', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,Park/Garden,
"3 BHK Flat in Ayodhya Bypass , Bhopal",Akshara City,₹32 Lac,"₹2,461 /sqft",Ready To Move,"On 6th floor of akshara city, nishatpura on ayodhya bypas road, bhanpura. Nearby people's mall, dmart, colleges. Includes terrace, all 3 bedrooms have balconies, hall, kitchen, 2 washrooms.","Super Built up area 1300
(120.77 sq.m.)
Carpet area: 1200 sq.ft. (111.48 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies with Store Room","₹ 32 Lac+ Govt Charges & Tax
@ 2,461 per sq.ft. (Negotiable)","Akshara City
Ayodhya Bypass , Bhopal",6th   of 6 Floors,1 to 5 Year Old,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,Park/Garden,
"3 BHK Flat in Ayodhya Bypass , Bhopal",Paras Heights,₹30.5 Lac,"₹2,839 /sqft",Ready To Move,"This lovely 3 bhk apartment/flat in ayodhya bypass is available for sale in one of bhopal's most popular projects, paras heights. Containing 3 bedroom(s), 3 bathrooms and 2 balconies, this flat is spread over a carpet area of 1074 sq.Ft. This flat lies on the 6th level of a 7 storey building. An added advantage of this 5-10 years old flat is that it is available for immediate possession as the project is already ready to move. The society is well equipped with many modern amenities, including park and lift(s).","Carpet area: 1074
(99.78 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Study Room","₹ 30.5 Lac+ Govt Charges & Tax
@ 2,839 per sq.ft. (All inclusive, Negotiable)","Paras Heights
Ayodhya Bypass , Bhopal",6th   of 7 Floors,5 to 10 Year Old    View Construction Status,"['2 Bed', '2 Wardrobe', '1 Water Purifier', '5 Fan', '2 Geyser', '18 Light', '1 TV', '1 Modular Kitchen', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Washing Machine']","['Power Back-up', 'Lift(s)', 'Park', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"3 BHK Flat in Gehun Kheda, Bhopal",Amra Estate,₹25 Lac,"₹2,500 /sqft",Ready To Move,"Covered campus, adequate water supply, lift facility, center of the colony, shopping complex school hospital and all other essential amenities available within 500 meters reach.","Carpet area: 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac
@ 2,500 per sq.ft. (Negotiable)","Amra Estate
Gehun Kheda, Bhopal",4th   of 4 Floors,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,"Park/Garden,Main Road",
"3 BHK Flat in Bagmugaliya, Bhopal",Agrawal Sagar Eden Garden,₹53 Lac,"₹4,015 /sqft",Ready To Move,"East facing 3bhk newly painted semi furnished flat with semi-Private staircase for entry and easiest access in the entire society. Vastu compliant, right in front of the society club house and main gate for even easier entry and exit. Newly done up kitchen, fresh electrical appliances in the entire apartment with fresh paint done 1 month back.","Carpet area: 1320
(122.63 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies
View Floor Plan","₹ 53 Lac
@ 4,015 per sq.ft. (Negotiable)","Agrawal Sagar Eden Garden
Bagmugaliya, Bhopal",1st   of 9 Floors,1 to 5 Year Old,"['5 Fan', '1 Exhaust Fan', '1 Stove', '8 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Pool,Park/Garden,Club,Main Road",
"4 BHK Flat in Chuna Bhatti, Bhopal",shanti enclave,₹38 Lac,"₹2,235 /sqft",Ready To Move,"At a half kilometer distance from chuna bhatti square. Hospitals, shopping center and railway stations in very close proximity.","Carpet area: 1700
(157.94 sq.m.)  
sq.ft.","4 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 38 Lac+ Govt Charges & Tax
@ 2,235 per sq.ft. View Price Details","shanti enclave
Chuna Bhatti, Bhopal",3rd   of 3 Floors,10+ Year Old,"['6 Light', '1 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Water Storage']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,Others,
"3 BHK Flat in Kolar Road, Bhopal",Danish Hills View,₹50 Lac,"₹4,212 /sqft",Ready To Move,Residential apartment This is your chance to a 3 bhk apartment / flat for sale in danish hills view kolar road bhopal . Where luxury comes with affordability.,"Carpet area: 1187
(110.28 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony
View Floor Plan","₹ 50 Lac+ Govt Charges & Tax
@ 4,212 per sq.ft.","Danish Hills View
Kolar Road, Bhopal",2nd   of 6 Floors,5 to 10 Year Old,"['4 Fan', '1 Exhaust Fan', '1 Geyser', '7 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,Main Road,
