pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Overlooking,Property Age,furnishing,features,ratings,Facing,Possession in
"1 BHK Flat in Khajuri Kalan , Bhopal",Draupadi Shivlok Heights,₹10 Lac,"₹2,857 /sqft",Ready To Move,"We are the proud owners of this 1 bhk apartment available in draupadi shivlok heights, khajuri kalan , bhopal. This it is a and the unit is located on 1st floor and has a super built-Up area of 350 sq.Ft. . It has 1 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 350
(32.52 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 10 Lac
@ 2,857 per sq.ft.","Draupadi Shivlok Heights
Khajuri Kalan , Bhopal",1st   of 4 Floors,,5 to 10 Year Old    View Construction Status,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Kolar Road, Bhopal",Bima Kunj,₹20 Lac,"₹2,666 /sqft",Ready To Move,3bhk appartment near bima kunj,"Carpet area: 750
(69.68 sq.m.)  
sq.ft.","3 Bedrooms , 1 Bathroom, No Balcony","₹ 20 Lac
@ 2,666 per sq.ft. (Negotiable)","Bima Kunj
Kolar Road, Bhopal",2nd   of 4 Floors,Main Road,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"2 BHK Flat in Ayodhya Bypass , Bhopal",Girnar Valley,₹26 Lac,"₹3,714 /sqft",Ready To Move,"Looking for a 2 bhk property for sale in bhopal? Buy this 2 bhk flat in girnar valley that is situated in ayodhya bypass , bhopal. The flat is facing the north direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a carpet area of 700 sq.Ft. This flat lies on the 3rd level of a 7 storey building. An added advantage of this 5-10 years old flat is that it is available for immediate possession as the project is already ready to move. The floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. Another plus point for this is that it is situated near close to hospital and close to mall. Girnar valley is designed very well to provide modern facilities such as maintenance staff and lift(s). The society provides continuous water supply from borewell/tank.","Carpet area: 700
(65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 26 Lac
@ 3,714 per sq.ft. (Negotiable)","Girnar Valley
Ayodhya Bypass , Bhopal",3rd   of 7 Floors,,5 to 10 Year Old,"['1 Wardrobe', '5 Fan', '1 Fridge', '1 Sofa', '8 Light', '1 TV', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,
"3 BHK Flat in 12 No Stop Arera Colony, Bhopal",12no. bus stop multi,₹65 Lac,"₹6,500 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in indus no 1 apartment, bawadia kalan, bhopal. This unfurnished apartment it is a and the unit is located on 1st floor and has a carpet area of 1000 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Carpet area: 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 65 Lac
@ 6,500 per sq.ft.","12no. bus stop multi
12 No Stop Arera Colony, Bhopal",1st   of 1 Floors,,0 to 1 Year Old,[],[],[],,
"2 BHK Flat in Hoshangabad Road, Bhopal",AAkar avenue,₹23 Lac,"₹2,300 /sqft",Ready To Move,Residential apartment for sell.The property comes with a good construction quality which ages 5-10 years old propertylocated in hoshangabad road.It is a semifurnished property.The property has 2 bedrooms with 2 bathrooms .Available at an expected price of rs 2300000.Located on 2nd floor out of the 4,"Super Built up area 1000
(92.9 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 23 Lac
@ 2,300 per sq.ft.","AAkar avenue
Hoshangabad Road, Bhopal",2nd   of 4 Floors,,5 to 10 Year Old,"['2 Wardrobe', '2 Fan', '2 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Bawadia Kalan, Bhopal",Baba Better Homes,₹22 Lac,"₹2,933 /sqft",Ready To Move,2 bhk semi furnished flat close campus babadiya kala bhopal near aura mall lift parking cctv camera secretary,"Super Built up area 750
(69.68 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony with Others","₹ 22 Lac+ Govt Charges & Tax
@ 2,933 per sq.ft. (Negotiable) View Price Details","Baba Better Homes
Bawadia Kalan, Bhopal",3rd   of 5 Floors,,1 to 5 Year Old    View Construction Status,"['1 Wardrobe', '3 Fan', '7 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Water Storage', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,
"3 BHK Flat in Mahabali Nagar, Bhopal",Agrawal Sagar Green Hills,₹70 Lac,"₹5,185 /sqft",Ready To Move,"Agrawal sagar green hills is one of the most popular destination for buying apartments/ flats in mahabali nagar, bhopal. You too can be a part of this society by purchasing this 3 bhk flat here. Containing 3 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a carpet area of 1350 sq.Ft. This flat lies on the 3rd level of a 6 storey building. This is a ready to move project and the property is 1-5 years old. Many of the modern amenities being offered, like fitness centre / gym, club house / community center, park and lift(s), will provide a pleasant living experience for you.","Carpet area: 1350
(125.42 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 70 Lac
@ 5,185 per sq.ft. (All inclusive, Negotiable)","Agrawal Sagar Green Hills
Mahabali Nagar, Bhopal",3rd   of 6 Floors,,1 to 5 Year Old,"['1 Water Purifier', '5 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '1 Stove', '10 Light', '2 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Bed', '2 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Power Back-up', 'Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",[],,
"5 BHK Flat in Arera Colony, Bhopal",IBD Kings Park,₹75 Lac,"₹3,000 /sqft",Ready To Move,"Located in the popular residential address of arera colony, bhopal, ibd kings park is one of the most preferred destination for apartments in bhopal. This 5 bhk flat is your ticket to be a part of this community. This is a east-Facing property. The flat is over 2500 sq.Ft. Carpet area and comes with 5 bedroom(s), 4 bathrooms and 3 balconies. The flat has a total of 6 floors and this property is situated on 5th floor. This is a ready to move project and the property is 0-1 year old. Ibd kings park is designed very well to provide modern facilities such as swimming pool, fitness centre / gym, park, lift(s), maintenance staff and visitor parking. The society provides continuous water supply from municipal corporation and borewell/tank.","Carpet area: 2500
(232.26 sq.m.)  
sq.ft.","5 Bedrooms , 4 Bathrooms, 3 Balconies","₹ 75 Lac
@ 3,000 per sq.ft. (All inclusive) View Price Details","IBD Kings Park
Arera Colony, Bhopal",5th   of 6 Floors,"Park/Garden,Main Road",0 to 1 Year Old,[],"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"3 BHK Flat in Arera Colony, Bhopal",Mahendra Township,₹27.25 Lac,"₹2,270 /sqft",Ready To Move,"This beautiful 3 bhk flat in arera colony, bhopal is situated in mahendra township, one of the popular residential society in bhopal. This property faces the west direction. The flat is over 1200 sq.Ft. Super built up area and comes with 3 bedroom(s), 2 bathrooms and 1 balcony. The residential building has 3 floors in total and the flat for sale is located on the top floor. This is a ready to move project and the property is 1-5 years old. The ceramic flooring of this flat is beautifully designed and helps to give it a pleasing look. The society complex is in the close vicinity of close to metro station, close to school, close to market and close to hospital, making it an ideal home for a relaxed lifestyle. All the modern amenities such as maintenance staff, visitor parking and park will make life easier for you. The housing society ensures a continuous supply of water to your flat from municipal corporation and borewell/tank.","Super Built up area 1200
(111.48 sq.m.)
Carpet area: 800 sq.ft. (74.32 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 27.25 Lac
@ 2,270 per sq.ft. (All inclusive) View Price Details","Mahendra Township
Arera Colony, Bhopal",3rd   of 3 Floors,"Park/Garden,Main Road",1 to 5 Year Old,[],"['Maintenance Staff', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,
"4 BHK Flat in Arera Colony, Bhopal",IBD Kings Park,₹65 Lac,"₹3,466 /sqft",Ready To Move,"Located in the popular residential address of arera colony, bhopal, ibd kings park is one of the most preferred destination for apartments in bhopal. This 4 bhk flat is your ticket to be a part of this community. This residential flat is east-Facing direction. The flat is over 1875 sq.Ft. Super built up area and comes with 4 bedroom(s), 3 bathrooms and 3 balconies. This flat is situated on the 2nd floor of this 6 floors tall residential building. Being a ready to move project, you can expect immediate possession of this 0-1 year old property. The floor of this flat is beautifully designed using ceramic flooring, giving the flat an alluring look. Proximity to landmarks like close to metro station, close to school, close to market and close to hospital makes this an ideal property for families. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, fitness centre / gym, park, maintenance staff, visitor parking and lift(s). The project provides access to clean water through municipal corporation and borewell/tank supply.","Super Built up area 1875
(174.19 sq.m.)
Carpet area: 1300 sq.ft. (120.77 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 65 Lac
@ 3,466 per sq.ft. (All inclusive) View Price Details","IBD Kings Park
Arera Colony, Bhopal",2nd   of 6 Floors,"Park/Garden,Club,Main Road",0 to 1 Year Old,[],"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"2 BHK Flat in Katara Hills, Bhopal",Signature 360,₹21 Lac,"₹3,134 /sqft",Ready To Move,"2 bhk 1st floor flat is ready for sale in signature 360 colony, katara hills, bhopal. Society have all amenities like wide road, club house, mandir, street light, gym and park . If anyone intrested please call or text me.","Super Built up area 940
(87.33 sq.m.)
Built Up area: 750 sq.ft. (69.68 sq.m.)
Carpet area: 670 sq.ft. (62.25 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 21 Lac+ Govt Charges & Tax
@ 3,134 per sq.ft. (All inclusive, Negotiable) View Price Details","Signature 360
Katara Hills, Bhopal",1st   of 6 Floors,"Park/Garden,Club,Main Road",1 to 5 Year Old,[],"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",North-East,
"3 BHK Flat in New Central Jail, Bhopal",Harshit Lifestyle,₹33.99 Lac,"₹3,468 /sqft",Ready To Move,Luxurious 3 bhk apartment with all the modern amenities,"Built Up area: 1200
(111.48 sq.m.)
Carpet area: 980 sq.ft. (91.04 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 33.99 Lac+ Govt Charges & Tax
@ 3,468 per sq.ft. View Price Details","Harshit Lifestyle
, Bhopal",5th   of 6 Floors,"Park/Garden,Club,Main Road",0 to 1 Year Old    View Construction Status,[],"['Lift(s)', 'No open drainage around', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Internet/wi-fi connectivity', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",[],East,
"2 BHK Flat in Misrod, Bhopal",Fortune Soumya Heritage,₹16 Lac,"₹2,461 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in fortune soumya heritage, misrod, bhopal. This it is a and the unit is located on 5th floor and has a super built-Up area of 650 sq.Ft. . It has 1 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 650
(60.39 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 16 Lac
@ 2,461 per sq.ft.","Fortune Soumya Heritage
Misrod, Bhopal",5th   of 6 Floors,,1 to 5 Year Old    View Construction Status,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Kolar Road, Bhopal",Sarvadharm Colony,₹55 Lac,"₹6,875 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in sarvadharm colony, kolar road, bhopal. This it is a and the unit is located on ground floor and has a built up area of 800 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Built Up area: 800
(74.32 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 55 Lac
@ 6,875 per sq.ft.","Sarvadharm Colony
Kolar Road, Bhopal",Ground of 1 Floors,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Ayodhya Bypass , Bhopal",Amaltas Westminster,₹40 Lac,"₹4,000 /sqft",Ready To Move,Good property and good location,"Carpet area: 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 40 Lac
@ 4,000 per sq.ft. (Negotiable)","Amaltas Westminster
Ayodhya Bypass , Bhopal",4th   of 8 Floors,"Pool,Park/Garden,Club,Main Road",0 to 1 Year Old    View Construction Status,[],"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Ayodhya Bypass , Bhopal",Sage Golden Spring,₹57 Lac,"₹3,762 /sqft",Ready To Move,"This lovely 3 bhk apartment/flat in ayodhya bypass is available for sale in one of bhopal's most popular projects, sage golden spring. The flat is east-Facing. The flat occupies a super built up area of 1515 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 3 balconies. This flat is situated on the top floor of this 7 floors tall residential building. As the project is already ready to move, so you can easily move into this 1-5 years old property. Many of the modern amenities being offered, like swimming pool, fitness centre / gym, club house / community center, park and lift(s), will provide a pleasant living experience for you.","Super Built up area 1515
(140.75 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 57 Lac
@ 3,762 per sq.ft. (Negotiable) View Price Details","Sage Golden Spring
Ayodhya Bypass , Bhopal",7th   of 7 Floors,,1 to 5 Year Old,[],"['Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"1 BHK Flat in Katara Hills, Bhopal",BDA Gharonda Barrai,₹10 Lac,"₹2,000 /sqft",Ready To Move,1 bhk flat 1 balcony 1 hall 1kitchen attached to hall 1 bathroom,"Carpet area: 500
(46.45 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 10 Lac
@ 2,000 per sq.ft. (Negotiable)","BDA Gharonda Barrai
Katara Hills, Bhopal",3rd   of 4 Floors,Club,5 to 10 Year Old,[],"['Security / Fire Alarm', 'Maintenance Staff']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Mahawadiya, Bhopal",IBD Hallmark Citii,₹25 Lac,"₹3,125 /sqft",Ready To Move,3 side corner side and park view in front of kitchen balcony,"Carpet area: 800
(74.32 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 25 Lac+ Govt Charges & Tax
@ 3,125 per sq.ft. (All inclusive, Negotiable)","IBD Hallmark Citii
Mahawadiya, Bhopal",2nd   of 4 Floors,"Park/Garden,Main Road,Others",5 to 10 Year Old,"['5 Fan', '1 Exhaust Fan', '2 Geyser', '6 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Park', 'Shopping Centre']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"4 BHK Flat in Shahpura, Bhopal",N/A,₹21 Lac,"₹3,000 /sqft",Ready To Move,"This 4 bhk flat is located in n/a, which houses some of the most spacious flats in shahpura, bhopal. This property faces the south-East direction. The flat is over 700 sq.Ft. Built up area and comes with 4 bedroom(s), 3 bathrooms . This flat is situated on the ground floor of this 1 floor tall residential building. This is a ready to move project and the property is 1-5 years old.","Built Up area: 700
(65.03 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, No Balcony","₹ 21 Lac
@ 3,000 per sq.ft.","N/A
Shahpura, Bhopal",Ground of 1 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",South-East,undefined
"3 BHK Flat in Hoshangabad Road, Bhopal",Coral Woods,₹55 Lac,"₹3,811 /sqft",Ready To Move,Spacious 3bhk flat for sale in prime location bhopal,"Carpet area: 1443
(134.06 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony with Study Room","₹ 55 Lac+ Govt Charges & Tax
@ 3,811 per sq.ft. (Negotiable)","Coral Woods
Hoshangabad Road, Bhopal",1st   of 5 Floors,"Park/Garden,Main Road",1 to 5 Year Old,"['1 Bed', '1 Fan', '1 Light', '1 Curtains', 'No AC', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Water Storage']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Kolar Road, Bhopal",Danish Hills View,₹40 Lac,"₹4,938 /sqft",Under Construction,2 bhk spacious flat available for sale at kolar road bhopal prime location covered campus river &dam view dual lift all amenities,"Carpet area: 810
(75.25 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony
View Floor Plan","₹ 40 Lac+ Govt Charges & Tax
@ 4,938 per sq.ft. (Negotiable)","Danish Hills View
Kolar Road, Bhopal",4th   of 6 Floors,Park/Garden,,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,Within 6 months
"1 BHK Flat in K-Sector Ayodhya Nagar, Bhopal",Geet mohini flats,₹5.8 Lac,"₹2,989 /sqft",Ready To Move,Fully furnished,"Built Up area: 246
(22.85 sq.m.)
Carpet area: 194 sq.ft. (18.02 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, No Balcony","₹ 5.8 Lac
@ 2,989 per sq.ft.","Geet mohini flats
K-Sector Ayodhya Nagar, Bhopal",Ground of 2 Floors,,5 to 10 Year Old,[],[],[],South,
"1 BHK Flat in K-Sector Ayodhya Nagar, Bhopal",geet mohini flats,₹6.1 Lac,"₹2,479 /sqft",Ready To Move,Carpet area is approx but build area is precise,"Built Up area: 246
(22.85 sq.m.)
Carpet area: 200 sq.ft. (18.58 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, No Balcony","₹ 6.1 Lac
@ 2,479 per sq.ft. (Negotiable)","geet mohini flats
K-Sector Ayodhya Nagar, Bhopal",Ground of 2 Floors,,5 to 10 Year Old,[],[],[],,
"3 BHK Flat in Bypass Road, Bhopal",ananda dhara apartments,₹24 Lac,"₹2,696 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in ananda dhara apartments, bypass road, bhopal. This it is a and the unit is located on 5th floor and has a super built-Up area of 890 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 890
(82.68 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 24 Lac
@ 2,696 per sq.ft.","ananda dhara apartments
Bypass Road, Bhopal",5th   of 6 Floors,,1 to 5 Year Old,[],[],[],,
"4 BHK Flat in Kolar Road, Bhopal",Agrawal Sagar Green Hills,₹75 Lac,"₹4,132 /sqft",Ready To Move,"This property is situated near top of the hilly area as named as sagar green hills from where you can view the beauty of nature and feel fresh always. There are 4 bedrooms with 1 large master bedroom, 3 washrooms in which 2 western toilets and 1 indian toilet with modular kitchen set. Flat is fully furnished with all the amenities including (Furnitures, dinning set, sofa set etc. There are 2 balconies from where you can see the view of dam water and enjoy the beauties of nature. The sagar green hills society is well maintained with facilities like club house, swimming pool, gym, and covered with 4 beautiful gardens.","Super Built up area 1815
(168.62 sq.m.)
Carpet area: 1343 sq.ft. (124.77 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 75 Lac
@ 4,132 per sq.ft. (Negotiable)","Agrawal Sagar Green Hills
Kolar Road, Bhopal",Ground of 6 Floors,"Park/Garden,Club,Main Road",1 to 5 Year Old,"['3 Bed', '3 Wardrobe', '3 Fan', '1 Sofa', '1 Dining Table', '15 Light', '1 AC', '1 Modular Kitchen', '1 Curtains', 'No Chimney', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Private Garden / Terrace', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"2 BHK Flat in Parthsarthy Enclave, Bhopal",Landmark The Prospera,₹23 Lac,"₹3,066 /sqft",Ready To Move,"Ground floor, independent type spacious house with additional utility room for hassle free storage or flexible use and a separate porch on commercial road.","Carpet area: 750
(69.68 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 23 Lac
@ 3,066 per sq.ft.","Landmark The Prospera
Parthsarthy Enclave, Bhopal",Ground of 3 Floors,,10+ Year Old,[],"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",[],,
"2 BHK Flat in Misrod, Bhopal",Natraj Society,₹22 Lac,"₹3,142 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in natraj society, misrod, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 700 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 700
(65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 22 Lac
@ 3,142 per sq.ft.","Natraj Society
Misrod, Bhopal",2nd   of 3 Floors,,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Fatehgarh, Bhopal",silver sand heights,₹27 Lac,"₹4,909 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in silver sand heights, fatehgarh, bhopal. This it is a and the unit is located on 3rd floor and has a super built-Up area of 550 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 550
(51.1 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 27 Lac
@ 4,909 per sq.ft.","silver sand heights
Fatehgarh, Bhopal",3rd   of 3 Floors,,5 to 10 Year Old,[],[],[],,
"2 BHK Flat in Katara Hills, Bhopal",Agrawal Sagar Golden Palm,₹26 Lac,"₹2,600 /sqft",Ready To Move,2 bhk flat in a covered campus with 2 lifts with power back up and good ventilation and secured campus,"Built Up area: 1000
(92.9 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 26 Lac+ Govt Charges & Tax
@ 2,600 per sq.ft. (Negotiable)","Agrawal Sagar Golden Palm
Katara Hills, Bhopal",2nd   of 7 Floors,,5 to 10 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,
"3 BHK Flat in Hoshangabad Road, Bhopal",Raksha Eden Park,₹45 Lac,"₹2,812 /sqft",Ready To Move,"Situated in hoshangabad road, bhopal, raksha eden park is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in bhopal is your opportunity to be a part of this community. The flat is facing the east direction. Constructed on a super built up area of 1600 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 2 balconies. The property is located on the 4th floor of a 6 floors tall building. An added advantage of this 5-10 years old flat is that it is available for immediate possession as the project is already ready to move. The well built vitrified flooring enhances the aesthetic appeal of this flat. Proximity to landmarks like close to school, close to hospital and close to market makes this an ideal property for families. Many of the modern amenities being offered, like fitness centre / gym, club house / community center, park and lift(s), will provide a pleasant living experience for you. The residents of this project enjoy a 24*7 access to clean water.","Super Built up area 1600
(148.64 sq.m.)
Built Up area: 1110 sq.ft. (103.12 sq.m.)
Carpet area: 1000 sq.ft. (92.9 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies
View Floor Plan","₹ 45 Lac
@ 2,812 per sq.ft. View Price Details","Raksha Eden Park
Hoshangabad Road, Bhopal",4th   of 6 Floors,Main Road,5 to 10 Year Old,"['2 Wardrobe', '5 Fan', '1 Exhaust Fan', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"2 BHK Flat in Katara Hills, Bhopal",Agrawal Sagar Golden Palm,₹20 Lac,"₹2,000 /sqft",Ready To Move,"Well maintained society, good location","Carpet area: 1000
(92.9 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 20 Lac
@ 2,000 per sq.ft. (All inclusive)","Agrawal Sagar Golden Palm
Katara Hills, Bhopal",5th   of 5 Floors,"Park/Garden,Main Road,Club",10+ Year Old,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
