pname,society,price,price_per_sqft,total_area,area_sqm,area_type,possesion,description,Dimensions,Price,Address,Facing,No. of Open Sides,Overlooking,Possession,Boundary wall,Gated Society,Width of facing road,Authority approved,Floors Allowed For Construction,Corner Property
"Residential land / Plot in Phase 2, Misrod, Bhopal","Phase 2, Misrod, Bhopal",₹50 Lac,"₹5,720 /sqft",874 sqft,(81 sqm),Plot Area,Ready To Move,"Residential plot for sale shiva royal park phase-3, salaiya, bhopal Build your dream home in the well-Planned and peaceful township of shiva royal park phase-3, located in the fast-Developing locality of salaiya. Location: Shiva royal park phase-3, salaiya, bhopal Type: Residential plot Approvals: Clear title with proper documentation Status: Ready for registry & construction Location advantage...","Plot area 874
(81.2 sq.m.)  
sq.ft.","₹ 50 Lac
@ 5,720 per sq.ft. (Negotiable) View Price Details",", Bhopal",East,1.0,"Park/Garden,Main Road",Immediate,,Yes,,,,
"Residential land / Plot in Awadhpuri, Bhopal","BIJLI OFFICE, AWADHPURI",₹70.5 Lac,"₹4,700 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,"In awadhpuri , prime location plot size 30x50","Plot area 1500
(139.35 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 70.5 Lac+ Govt Charges & Tax
@ 4,700 per sq.ft. (Negotiable)","BIJLI OFFICE, AWADHPURI
Awadhpuri, Bhopal",East,1.0,Main Road,,,Yes,,Yes,,
"Residential land / Plot in B sector shahpura, Bhopal","B sector shahpura, Bhopal",₹1.7 Cr,"₹11,333 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,"Check out this plot for sale in b sector shahpura, one of the best locations in bhopal. It spans over spectacular 1500 sq.Ft. Super built up area. To build the residence, possession is expected immediately. The property is owned under freehold contract. The plot is available at a price of 1.7 crore. The owner is open for negotiation. This plot is facing the west direction.","Plot area 1500
(139.35 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 1.7 Crore
@ 11,333 per sq.ft. (Negotiable) View Price Details","B sector shahpura, Bhopal",West,1.0,"Park/Garden,Main Road,Others",Immediate,,,,Yes,,
"Residential land / Plot in Sarvadharam C Sector, Bhopal","Sarvadharam C Sector, Bhopal",₹77 Lac,"₹7,700 /sqft","1,000 sqft",(93 sqm),Plot Area,Ready To Move,1000 square feet plot size north facing j.K. Park colony near jk hospital,"Plot area 1000
(92.9 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 20.00 ft.(6.10 mt.)  
sq.ft.","₹ 77 Lac
@ 7,700 per sq.ft. View Price Details","Sarvadharam C Sector, Bhopal",North,1.0,,Immediate,Yes,,,,2 Floors,
"Residential land / Plot in Awadhpuri, Bhopal",awadhpuri phase-2,₹65 Lac,"₹5,183 /sqft","1,254 sqft",(117 sqm),Plot Area,Ready To Move,"Awadhpuri is an ideal location for buying residential plots in bhopal. This plot in awadhpuri is a great buy for you. It spreads over 1254 sq.Ft. Super built up area. Ownership of this property provides you entitlement to construct upto 3 floors. To build the residence, possession is expected immediately. Currently the nature of ownership of the property is freehold. The expected price for the ...","Plot area 1254
(116.5 sq.m.)
l x b : 99.00 ft.(30.17 mt.) x 38.00 ft.(11.58 mt.)  
sq.ft.","₹ 65 Lac+ Govt Charges & Tax
@ 5,183 per sq.ft. (Negotiable) View Price Details","awadhpuri phase-2
Awadhpuri, Bhopal",North-East,2.0,"Park/Garden,Main Road",,,,,Yes,,Yes
"Residential land / Plot in Gulabi Nagar, Bhopal","Gulabi Nagar, Bhopal",₹1.51 Cr,"₹10,500 /sqft","1,435 sqft",(133 sqm),Plot Area,Under Construction,"80 feet main road , 200 sqft land extra","Plot area 1435
(133.32 sq.m.)  
sq.ft.","₹ 1.51 Crore
@ 10,500 per sq.ft. View Price Details","Gulabi Nagar, Bhopal",North-East,2.0,,Within 6 months,No,,,,,Yes
"Residential land / Plot in Hoshangabad Road, Bhopal",Aashima Royal Garden,₹1.51 Cr,"₹10,500 /sqft","1,435 sqft",(133 sqm),Plot Area,Under Construction,"Situated 80 feet main road, ashima bagmugalia connect , 200 square feet land extra provide krenge","Plot area 1435
(133.32 sq.m.)  
sq.ft.","₹ 1.51 Crore
@ 10,500 per sq.ft. View Price Details","Aashima Royal Garden
Hoshangabad Road, Bhopal",North-East,2.0,,Within 6 months,No,,,,,Yes
"Residential land / Plot in Salaiya, Bhopal",BDA Sardar Vallab Bhai Patel Apsi Karar Yojna,₹1.43 Cr,"₹6,153 /sqft","2,324 sqft",(216 sqm),Plot Area,Ready To Move,Urgent large 2324 sqft plot for sale at prime location of salaiya in bda colony. This plot is just behind main road and is best for residential and investment purpose. For more details contact komal.,"Plot area 2324
(215.91 sq.m.)  
sq.ft.","₹ 1.43 Crore
@ 6,153 per sq.ft. (All inclusive) View Price Details","BDA Sardar Vallab Bhai Patel Apsi Karar Yojna
Salaiya, Bhopal",East,1.0,Main Road,Immediate,,,,Yes,,
"Residential land / Plot in Rohit Nagar, Bhopal","Rohit Nagar, Bhopal",₹1.32 Cr,"₹5,500 /sqft","2,400 sqft",(223 sqm),Plot Area,Ready To Move,"For sale 2400sqft plot prime location rohit nagar 1, close to main road, best for rental income, and resident","Plot area 2400
(222.97 sq.m.)
l x b : 60.00 ft.(18.29 mt.) x 40.00 ft.(12.19 mt.)  
sq.ft.","₹ 1.32 Crore+ Govt Charges & Tax
@ 5,500 per sq.ft. (Negotiable) View Price Details","Rohit Nagar, Bhopal",South,1.0,Others,Immediate,,,,,2 Floors,
"Residential land / Plot in Sukhi Sewania, Bhopal",SUKHI SEWANIA SQUARE,₹8.51 Lac,₹851 /sqft,"1,000 sqft",(93 sqm),Plot Area,Under Construction,"Plots, singlex and duplexs are available in satyam city , just 5 minutes away from sukhisewania square","Plot area 1000
(92.9 sq.m.)
l x b : 40.00 ft.(12.19 mt.) x 25.00 ft.(7.62 mt.)  
sq.ft.","₹ 8.51 Lac
@ 851 per sq.ft.","SUKHI SEWANIA SQUARE
Sukhi Sewania, Bhopal",East,2.0,Park/Garden,Within 6 months,,,,,2 Floors,
"Residential land / Plot in Kolar Road, Bhopal","Kolar Road, Bhopal",₹1.3 Cr,"₹6,200 /sqft","2,100 sqft",(195 sqm),Plot Area,Ready To Move,"This 2100 sq.Ft plot is beautifully located in kolar road, bhopal and is reasonably priced at rs 1.30.Cr. The plot consists of municipal water water supply and is enclosed with a no boundary boundary wall. Its main entrance facing is towards west facing and it has 1 open side(s) and the width of the road facing the property is 30 feet","Plot area 2100
(195.1 sq.m.)
l x b : 60.00 ft.(18.29 mt.) x 35.00 ft.(10.67 mt.)  
sq.ft.","₹ 1.3 Crore+ Govt Charges & Tax
@ 6,200 per sq.ft. (Negotiable) View Price Details","Kolar Road, Bhopal",West,1.0,"Pool,Others,Park/Garden,Club,Main Road",,,Yes,,Yes,,
"Residential land / Plot in Jahangirabad, Bhopal",Extol institute jahangirabad Bhopal,₹22.5 Cr,"₹15,000 /sqft","15,000 sqft","(1,394 sqm)",Plot Area,Ready To Move,For sale 15000 sq-Ft commercial plot bhopal top most location extol institute of technology near d mart jahangirabad bhopal,"Plot area 15000
(1393.55 sq.m.)
l x b : 150.00 ft.(45.72 mt.) x 100.00 ft.(30.48 mt.)  
sq.ft.","₹ 22.5 Crore+ Govt Charges & Tax
@ 15,000 per sq.ft. View Price Details","Extol institute jahangirabad Bhopal
Jahangirabad, Bhopal",West,1.0,Main Road,Immediate,,,,Yes,,
"Residential land / Plot in B sector shahpura, Bhopal","B sector shahpura, Bhopal",₹3.5 Cr,"₹13,779 /sqft","2,540 sqft",(236 sqm),Plot Area,Ready To Move,Plot for sale 2540 sqr fit east south corner shahpura b sector,"Plot area 2540
(235.97 sq.m.)
l x b : 60.00 ft.(18.29 mt.) x 42.00 ft.(12.80 mt.)  
sq.ft.","₹ 3.5 Crore
@ 13,779 per sq.ft. View Price Details","B sector shahpura, Bhopal",,2.0,,Immediate,No,,,,3 Floors,
"Residential land / Plot in Katara, Bhopal","Katara, Bhopal",₹1.6 Cr,"₹15,238 /sqft","1,050 sqft",(98 sqm),Plot Area,Ready To Move,Plot for sale 1050 sqr fit katara main road commercial use near fortune atlantic,"Plot area 1050
(97.55 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 21.00 ft.(6.40 mt.)  
sq.ft.","₹ 1.6 Crore
@ 15,238 per sq.ft. View Price Details","Katara, Bhopal",,1.0,,Immediate,No,,,,3 Floors,
"Residential land / Plot in Salaiya, Bhopal",BDA Sardar Vallab Bhai Patel Apsi Karar Yojna,₹1.23 Cr,"₹6,507 /sqft","1,890 sqft",(176 sqm),Plot Area,Ready To Move,Bda phase 1 near sagar public 1890sqft north and south facing,"Plot area 1890
(175.59 sq.m.)
l x b : 52.50 ft.(16.00 mt.) x 36.00 ft.(10.97 mt.)  
sq.ft.","₹ 1.23 Crore
@ 6,507 per sq.ft. View Price Details","BDA Sardar Vallab Bhai Patel Apsi Karar Yojna
Salaiya, Bhopal",,2.0,,Immediate    View Construction Status,No,,,,2 Floors,
"Residential land / Plot in Shri Rameshwaram, Bhopal","Shri Rameshwaram, Bhopal",₹89 Lac,"₹5,933 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,It's a 1500 sq.Ft south facing garden facing semi commercial plot for sale in bagmugaliya near zorba hotel hoshangabad road,"Plot area 1500
(139.35 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 89 Lac
@ 5,933 per sq.ft. (Negotiable) View Price Details","Shri Rameshwaram, Bhopal",South,1.0,Park/Garden,Immediate,,,,,3 Floors,
"Residential land / Plot in Sikandrabad, Bhopal","Sikandrabad, Bhopal",₹12 Cr,₹344 /sqft,"3,48,480 sqft","(32,375 sqm)",Plot Area,Ready To Move,"8 acres agricultural land for sale sikandrabad, ratibad, bhopal A rare opportunity to own a large, fertile 8-Acre agricultural land located in the serene surroundings of sikandrabad, ratibad bhopal. Ideal for farming, farmhouse development, or agro-Based projects, this land offers excellent potential for both personal and commercial use. Key features: Total area: 8 acres Clear title and single ...","Plot area 8
(32374.88 sq.m.)  
acres","₹ 12 Crore
@ 1,50,00,000 per acres View Price Details","Sikandrabad, Bhopal",,2.0,Main Road,Immediate,,,,Yes,1 Floors,
"Residential land / Plot in B sector shahpura, Bhopal","B sector shahpura, Bhopal",₹2.55 Cr,"₹10,625 /sqft","2,400 sqft",(223 sqm),Plot Area,Ready To Move,"Shahpura b sector, near bansal hospital & lifeline hospital","Plot area 2400
(222.97 sq.m.)
l x b : 60.00 ft.(18.29 mt.) x 40.00 ft.(12.19 mt.)  
sq.ft.","₹ 2.55 Crore
@ 10,625 per sq.ft. View Price Details","B sector shahpura, Bhopal",West,1.0,Park/Garden,Immediate,,,,Yes,,
"Residential land / Plot in pipaliya gajju mandideep, Bhopal","pipaliya gajju mandideep, Bhopal",₹7 Cr,₹321 /sqft,"2,17,800 sqft","(20,234 sqm)",Plot Area,Ready To Move,Good land for project use in mandideep residential area,"Plot area 5
(20234.3 sq.m.)  
acres","₹ 7 Crore+ Govt Charges & Tax
@ 1,40,00,000 per acres (Negotiable) View Price Details","pipaliya gajju mandideep, Bhopal",East,1.0,,Immediate,Yes,,60.0 Feet,,,
"Residential land / Plot in Bhadbhada, Bhopal","Bhadbhada, Bhopal",₹2.25 Cr,"₹2,250 /sqft","10,000 sqft",(929 sqm),Plot Area,Ready To Move,A well developed farmhouse near central park suraj nagar,"Plot area 10000
(929.03 sq.m.)
l x b : 120.00 ft.(36.57 mt.) x 80.00 ft.(24.38 mt.)  
sq.ft.","₹ 2.25 Crore+ Govt Charges & Tax
@ 2,250 per sq.ft. (Negotiable) View Price Details","Bhadbhada, Bhopal",North,2.0,,Immediate,Yes,,25.0 Feet,,,
"Residential land / Plot in Awadhpuri, Bhopal","ANUPAM NAGAR, AWADHPURI",₹67.5 Lac,"₹4,500 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,"30x50 plots are available in awadhpuri, anupam nagar, south facing","Plot area 1500
(139.35 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 67.5 Lac
@ 4,500 per sq.ft.","ANUPAM NAGAR, AWADHPURI
Awadhpuri, Bhopal",South,1.0,,Immediate,,Yes,,,3 Floors,
"Residential land / Plot in Kolar Road, Bhopal",Bima Kunj,₹1.37 Cr,"₹6,500 /sqft","2,100 sqft",(195 sqm),Plot Area,Ready To Move,Plot for sale 2100 sqft danish kunj annexe 6 lane kolar road croma showroom ki prime location,"Plot area 2100
(195.1 sq.m.)
l x b : 60.00 ft.(18.29 mt.) x 35.00 ft.(10.67 mt.)  
sq.ft.","₹ 1.36 Crore
@ 6,500 per sq.ft. (Negotiable)","Bima Kunj
Kolar Road, Bhopal",South,1.0,,Immediate,No,,25.0 Feet,,,
"Residential land / Plot in 12 No Stop Arera Colony, Bhopal","12 No Stop Arera Colony, Bhopal",₹5.2 Cr,"₹20,000 /sqft","2,600 sqft",(242 sqm),Plot Area,Ready To Move,2600 sq.Ft commercial main road facing available for sale at 12 no. E-8 arera colony bhopal,"Plot area 2600
(241.55 sq.m.)
l x b : 20.00 ft.(6.10 mt.) x 13.00 ft.(3.96 mt.)  
sq.ft.","₹ 5.2 Crore
@ 20,000 per sq.ft. View Price Details","12 No Stop Arera Colony, Bhopal",West,1.0,Main Road,Immediate,,Yes,,,,
"Residential land / Plot in Sarvdharm, Bhopal","Sarvdharm, Bhopal",₹60 Lac,"₹6,000 /sqft","1,000 sqft",(93 sqm),Plot Area,Ready To Move,1000 sq.Ft (20x50) west racing plot available for sale at banjari opposit dk-1 kolar road bhopal,"Plot area 1000
(92.9 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 20.00 ft.(6.10 mt.)  
sq.ft.","₹ 60 Lac
@ 6,000 per sq.ft. View Price Details","Sarvdharm, Bhopal",West,1.0,Main Road,,,Yes,,Yes,,
"Residential land / Plot in Kolar Road, Bhopal",Danish Hills View,₹3.78 Cr,"₹7,000 /sqft","5,400 sqft",(502 sqm),Plot Area,Ready To Move,Kolar road,"Plot area 5400
(501.68 sq.m.)
l x b : 95.00 ft.(28.95 mt.) x 57.00 ft.(17.37 mt.)  
sq.ft.","₹ 3.78 Crore
@ 7,000 per sq.ft. (Negotiable)","Danish Hills View
Kolar Road, Bhopal",South-East,1.0,"Pool,Park/Garden,Club,Main Road,Others",Immediate,,,,,,Yes
"Residential land / Plot in Kolar Road, Bhopal",Bima Kunj,₹2.99 Cr,"₹6,500 /sqft","4,600 sqft",(427 sqm),Plot Area,Ready To Move,Kolar road,"Plot area 4600
(427.35 sq.m.)
l x b : 80.00 ft.(24.38 mt.) x 57.00 ft.(17.37 mt.)  
sq.ft.","₹ 2.99 Crore
@ 6,500 per sq.ft. (Negotiable)","Bima Kunj
Kolar Road, Bhopal",North,1.0,"Pool,Park/Garden,Club,Main Road,Others",,,Yes,,Yes,,
"Residential land / Plot in Kolar Road, Bhopal","Kolar Road, Bhopal",₹1.15 Cr,"₹5,500 /sqft","2,100 sqft",(195 sqm),Plot Area,Under Construction,It is a newly plot which is in kolar road,"Plot area 2100
(195.1 sq.m.)  
sq.ft.","₹ 1.16 Crore
@ 5,500 per sq.ft.","Kolar Road, Bhopal",East,1.0,"Club,Park/Garden,Pool,Main Road,Others",Within 3 months,,,,,2 Floors,
"Residential land / Plot in Tilak Nagar, Bawadiya Kalan, Bhopal","Tilak Nagar, Bawadiya Kalan, Bhopal",₹1.68 Cr,"₹8,000 /sqft","2,100 sqft",(195 sqm),Plot Area,Ready To Move,"Prime location society very pous area , east facing plot just behind of main bawadiya kalan road. Very near to 18th avenue premium project and jain temple nearby","Plot area 2100
(195.1 sq.m.)
l x b : 60.00 ft.(18.29 mt.) x 35.00 ft.(10.67 mt.)  
sq.ft.","₹ 1.68 Crore+ Govt Charges & Tax
@ 8,000 per sq.ft. (Negotiable) View Price Details",", Bhopal",East,1.0,"Park/Garden,Main Road",Immediate,,,,,3 Floors,
"Residential land / Plot in Awadhpuri, Bhopal",infront of regal town awadhpuri,₹4.15 Cr,"₹2,305 /sqft","18,000 sqft","(1,672 sqm)",Plot Area,Ready To Move,Looking for a plot in a prime location of bhopal? This plot in awadhpuri is the best deal for you. This 18000 sq.Ft. Super built up area plot is your opportunity to build a exceptional residence. Up to 6 floors can be easily built on this land. The property is enclosed by boundary wall. Possession of land can be secured immediately. The property belongs to owner through freehold ownership. This...,"Plot area 18000
(1672.25 sq.m.)  
sq.ft.","₹ 4.15 Crore+ Govt Charges & Tax
@ 2,305 per sq.ft. (Negotiable) View Price Details","infront of regal town awadhpuri
Awadhpuri, Bhopal",North-East,3.0,Main Road,,,,,Yes,,Yes
"Residential land / Plot in Danish Nagar, Bhopal","Danish Nagar, Bhopal",₹1.3 Cr,"₹6,000 /sqft","2,160 sqft",(201 sqm),Plot Area,Ready To Move,Best plot in danish nagar hoshangabad road bhopal,"Plot area 2160
(200.67 sq.m.)  
sq.ft.","₹ 1.3 Crore
@ 6,000 per sq.ft. View Price Details","Danish Nagar, Bhopal",East,1.0,"Pool,Others,Park/Garden,Club,Main Road",Immediate,No,,,,,
"Residential land / Plot in Kolar Road, Bhopal",Danish Hills View,₹1.26 Cr,"₹5,714 /sqft","2,100 sqft",(195 sqm),Plot Area,Ready To Move,"East facing residential plot for sale in danish hills view, kolar road bhopal 2100 sq.Ft on 40 ft wide road Discover the perfect investment opportunity with this premium 2100 sq.Ft. East-Facing residential plot located in the highly sought-After danish hills view, bhopal. Situated on a 40-Feet wide road, this plot offers excellent connectivity, ample sunlight, and a peaceful neighborhood making...","Plot area 2100
(195.1 sq.m.)
l x b : 60.00 ft.(18.29 mt.) x 35.00 ft.(10.67 mt.)  
sq.ft.","₹ 1.26 Crore+ Govt Charges & Tax
@ 5,714 per sq.ft. (Negotiable) View Price Details","Danish Hills View
Kolar Road, Bhopal",East,1.0,"Park/Garden,Club,Pool,Main Road,Others",,,Yes,,Yes,,
"Residential land / Plot in E 4 Arera Colony, Bhopal","E 4 Arera Colony, Bhopal",₹4.5 Cr,"₹18,000 /sqft","2,500 sqft",(232 sqm),Plot Area,Ready To Move,"Residential plot for sale Location: E-4, arera colony (Near 10 number market) Prime corner plot west & south facing Dismantle house Plot size: 2,500 sq.Ft Approval: Tncp approved colony Loan facility: Available","Plot area 2500
(232.26 sq.m.)  
sq.ft.","₹ 4.5 Crore+ Govt Charges & Tax
@ 18,000 per sq.ft. (Negotiable)","E 4 Arera Colony, Bhopal",West,2.0,,Immediate,,,,,3 Floors,Yes
"Residential land / Plot in Salaiya, Bhopal",Aakriti Ecocity,₹1.51 Cr,"₹7,000 /sqft","2,160 sqft",(201 sqm),Plot Area,Ready To Move,"Residential plot for sale Location: Bda salaiya phase 1 (Near aakriti eco city & sagar public school) Facing: East & park facing Plot size: 2,160 sq.Ft Approval: Tncp approved colony Loan facility: Available","Plot area 2160
(200.67 sq.m.)  
sq.ft.","₹ 1.51 Crore+ Govt Charges & Tax
@ 7,000 per sq.ft.","Aakriti Ecocity
Salaiya, Bhopal",East,1.0,Park/Garden,Immediate,,,,,3 Floors,
"Residential land / Plot in Salaiya, Bhopal",Aakriti Ecocity,₹1.32 Cr,"₹6,000 /sqft","2,200 sqft",(204 sqm),Plot Area,Ready To Move,"Residential plot for sale Location: Bda salaiya phase 1 (Near aakriti eco city & sagar public school) Facing: West & park facing Plot size: 2,200 sq.Ft Approval: Tncp approved colony Loan facility: Available","Plot area 2200
(204.39 sq.m.)  
sq.ft.","₹ 1.32 Crore+ Govt Charges & Tax
@ 6,000 per sq.ft.","Aakriti Ecocity
Salaiya, Bhopal",West,1.0,Park/Garden,Immediate,,,,,3 Floors,
"Residential land / Plot in Salaiya, Bhopal",BDA Sardar Vallab Bhai Patel Apsi Karar Yojna,₹79.86 Lac,"₹5,500 /sqft","1,452 sqft",(135 sqm),Plot Area,Ready To Move,"Residential plot for sale Bda salaiya phase 2 Facing: East Plot size: 1,452 sq.Ft Approval: Tncp approved colony Loan facility: Available","Plot area 1452
(134.9 sq.m.)  
sq.ft.","₹ 79.86 Lac+ Govt Charges & Tax
@ 5,500 per sq.ft. (Negotiable)","BDA Sardar Vallab Bhai Patel Apsi Karar Yojna
Salaiya, Bhopal",East,1.0,Park/Garden,Immediate    View Construction Status,,,,,2 Floors,
"Residential land / Plot in Good Shepherd Colony, Bhopal","Good Shepherd Colony, Bhopal",₹1.26 Cr,"₹6,000 /sqft","2,100 sqft",(195 sqm),Plot Area,Ready To Move,"Residential plot for sale Good shepherd colony, kolar road Facing: North Plot size area: 2,100 sq.Ft Loan facility: Available","Plot area 2100
(195.1 sq.m.)  
sq.ft.","₹ 1.26 Crore+ Govt Charges & Tax
@ 6,000 per sq.ft. (Negotiable)","Good Shepherd Colony, Bhopal",North,1.0,Park/Garden,Immediate,,,,,1 Floors,
"Residential land / Plot in Jatkhedi, Bhopal","Jatkhedi, Bhopal",₹4.5 Cr,"₹4,416 /sqft","10,190 sqft",(947 sqm),Plot Area,Ready To Move,For selling property available: Plot area 10190 square feet . Environmen and genius parson contact me. Rp property,"Plot area 10190
(946.68 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 25.00 ft.(7.62 mt.)  
sq.ft.","₹ 4.5 Crore
@ 4,416 per sq.ft. View Price Details","Jatkhedi, Bhopal",North-East,2.0,"Main Road,Others",,,Yes,,,,Yes
"Residential land / Plot in Salaiya, Bhopal",Tribhuvan colony salaiya,₹75.5 Lac,"₹5,200 /sqft","1,452 sqft",(135 sqm),Plot Area,Ready To Move,1452 sqft west facing plot available for sale covered campus in tribhuvan colony salaiya,"Plot area 1452
(134.9 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 29.00 ft.(8.84 mt.)  
sq.ft.","₹ 75.5 Lac
@ 5,200 per sq.ft. View Price Details","Tribhuvan colony salaiya
Salaiya, Bhopal",West,1.0,"Park/Garden,Main Road",Immediate,,,,,3 Floors,
"Residential land / Plot in Bawadia Kalan, Bhopal","Bawadia Kalan, Bhopal",₹1.18 Cr,"₹6,500 /sqft","1,686 sqft",(157 sqm),Plot Area,Ready To Move,1686 sqft east facing plot available abhivyakti nagar covered campus bawadiya kalan bhopal,"Plot area 1686
(156.63 sq.m.)
l x b : 53.00 ft.(16.15 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 1.18 Crore
@ 6,500 per sq.ft. View Price Details","Bawadia Kalan, Bhopal",West,2.0,"Park/Garden,Main Road",Immediate,,,,,3 Floors,
"Residential land / Plot in Rapadiya, Bhopal","Rapadiya, Bhopal",₹24 Lac,"₹3,000 /sqft",800 sqft,(74 sqm),Plot Area,Under Construction,"New project launch Prime location bhopal ke fastest growing zone me Residential plots with future-Ready infrastructure Best opportunity for investors & buyers High appreciation value secure your future today Green & peaceful environment, wide roads & modern planning Visit once decide forever Limited plots book your site visit now!","Plot area 800
(74.32 sq.m.)
l x b : 40.00 ft.(12.19 mt.) x 28.00 ft.(8.53 mt.)  
sq.ft.","₹ 24 Lac+ Govt Charges & Tax
@ 3,000 per sq.ft. (Negotiable)","Rapadiya, Bhopal",East,1.0,"Others,Park/Garden,Main Road,Club,Pool",,,Yes,,Yes,,
"Residential land / Plot in Hinotiya Alam, Bhopal","Hinotiya Alam, Bhopal",₹50 Lac,"₹5,411 /sqft",924 sqft,(86 sqm),Plot Area,Ready To Move,"Prime location hinotiya alam, kolar road, bhopal Residential plot for sale Plot size: 924 sq.Ft. 80 feet main road se laga hua Excellent connectivity & high appreciation value Best for residential + investment purpose","Plot area 924
(85.84 sq.m.)
l x b : 42.00 ft.(12.80 mt.) x 22.00 ft.(6.71 mt.)  
sq.ft.","₹ 50 Lac+ Govt Charges & Tax
@ 5,411 per sq.ft. (Negotiable) View Price Details","Hinotiya Alam, Bhopal",West,1.0,"Main Road,Park/Garden,Others",,,Yes,,Yes,,
"Residential land / Plot in Hoshangabad Road, Bhopal","Hoshangabad Road, Bhopal",₹63.6 Lac,"₹6,000 /sqft","1,060 sqft",(98 sqm),Plot Area,Ready To Move,Plot for sale,"Plot area 1060
(98.48 sq.m.)  
sq.ft.","₹ 63.6 Lac
@ 6,000 per sq.ft. (Negotiable) View Price Details","Hoshangabad Road, Bhopal",East,1.0,,Immediate,No,,25.0 Feet,,,
"Residential land / Plot in Salaiya, Bhopal",BDA Sardar Vallab Bhai Patel Apsi Karar Yojna,₹2.05 Cr,"₹13,666 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,"Looking for a plot in a prime location of bhopal? This plot in salaiya is the best deal for you. It's a 1500 sq.Ft. Super built up area property. Ownership of this property provides you entitlement to construct upto 4 floors. To build the residence, possession is expected immediately. The owner of the property has freehold entitlement over the land. The asking price is only 2.05 crore. Negotiab...","Plot area 1500
(139.35 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 2.05 Crore
@ 13,666 per sq.ft. (Negotiable) View Price Details","BDA Sardar Vallab Bhai Patel Apsi Karar Yojna
Salaiya, Bhopal",East,1.0,,Immediate    View Construction Status,No,,,,4 Floors,
"Residential land / Plot in Salaiya, Bhopal",BDA Sardar Vallab Bhai Patel Apsi Karar Yojna,₹70 Lac,"₹5,833 /sqft","1,200 sqft",(111 sqm),Plot Area,Ready To Move,For sale - Plot,"Plot area 1200
(111.48 sq.m.)
l x b : 40.00 ft.(12.19 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 70 Lac
@ 5,833 per sq.ft. (Negotiable) View Price Details","BDA Sardar Vallab Bhai Patel Apsi Karar Yojna
Salaiya, Bhopal",West,1.0,"Main Road,Park/Garden",Immediate    View Construction Status,,,,,2 Floors,
"Residential land / Plot in Kolar Road, Bhopal",Danish Hills View,₹1.51 Cr,"₹7,190 /sqft","2,100 sqft",(195 sqm),Plot Area,Ready To Move,For sale premium plot at danish hills view,"Plot area 2100
(195.1 sq.m.)
l x b : 60.00 ft.(18.29 mt.) x 35.00 ft.(10.67 mt.)  
sq.ft.","₹ 1.51 Crore
@ 7,190 per sq.ft. (Negotiable) View Price Details","Danish Hills View
Kolar Road, Bhopal",North,1.0,"Park/Garden,Club,Pool,Main Road",Immediate,,Yes,,,,
"Residential land / Plot in Hoshangabad Road, Bhopal","Hoshangabad Road, Bhopal",₹5.5 Cr,"₹5,500 /sqft","10,000 sqft",(929 sqm),Plot Area,Ready To Move,"Check out this plot in hoshangabad road, bhopal, an ideal destination to build your dream residence. It's a 10000 sq.Ft. Super built up area property. Construction on this property can be easily done upto 3 floors. Immediately, possession of property can be transferred. The property belongs to owner through freehold ownership. This residential plot is all yours for 5.5 crore. Open for negotiati...","Plot area 10000
(929.03 sq.m.)  
sq.ft.","₹ 5.5 Crore
@ 5,500 per sq.ft. (Negotiable) View Price Details","Hoshangabad Road, Bhopal",East,1.0,Main Road,Immediate,,,,,3 Floors,
"Residential land / Plot in Bagli, Bhopal","Bagli, Bhopal",₹90 Lac,"₹6,000 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,Looking for a plot in a prime location of bhopal? This plot in bagli is the best deal for you. It's a 1500 sq.Ft. Super built up area property. This property allows you to construct upto 2 floors. Expected possession of property immediately. The type of ownership is freehold. The price of this massive plot is just 90 lac. Further negotiations can be done. This residential plot is east-Facing di...,"Plot area 1500
(139.35 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 90 Lac
@ 6,000 per sq.ft. (Negotiable) View Price Details","Bagli, Bhopal",East,1.0,Main Road,Immediate,,,,,2 Floors,
