pname,society,price_outer,price_per_sqft,possesion,description,Area,Total Floors,Facing,Property Age,furnishing,features,Overlooking,bedrooms,bathrooms,balconies,additional_room,area
"3 Bedroom House for sale in Kolar, Bhopal",kolar,25.0,5555,Ready To Move,End of colony 24 hour water available,"Plot area 450
(41.81 sq.m.)  
sq.ft.",1,West,1 to 5 Year Old,,['Private Garden / Terrace'],,3,3,0,Not Available,450.05
"8 Bedroom House for sale in Sonagiri, Bhopal",sonagiri,130.0,6500,Ready To Move,Near to market Corner property best for investment/ hostel Near to school Near to colleges Near to hospital Near to upcoming metro station Near to railway station Near to bus stop Near to upcoming fourlane highway,"Plot area 2000
(185.81 sq.m.)  
sq.ft.",2,West,10+ Year Old,,"['Private Garden / Terrace', 'Water Storage', 'Visitor Parking']",Park/Garden,8,4,2,Not Available,2000.0
"9 Bedroom House for sale in Laharpur, Bhopal",laharpur,200.0,7500,Ready To Move,"East facing house, all facility in house 24 hours water available.","Plot area 2400
(222.97 sq.m.)
Built Up area: 5000 sq.ft. (464.52 sq.m.)  
sq.ft.",2,North,5 to 10 Year Old,"['1 Fan', '1 Light', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Rain Water Harvesting']",,9,9,3," servant room,study room,pooja room,others",2666.67
"4 Bedroom House for sale in TT Nagar, Bhopal",green meados,225.0,16071,Ready To Move,"Location: Rose villa , green meadows, arera hills, bhopal (M.P.)","Plot area 1400
(130.06 sq.m.)
Built Up area: 2080 sq.ft. (193.24 sq.m.)  
sq.ft.",3,South,5 to 10 Year Old,,"['Maintenance Staff', 'Visitor Parking', 'Waste Disposal']",Park/Garden,4,3,2,Not Available,1400.04
"4 Bedroom House for sale in Sector B Indrapuri, Bhopal",sector b indrapuri,325.0,13000,Ready To Move,Corner property Opp park & water tank Near to market,"Plot area 2500
(232.26 sq.m.)
Carpet area: 2500 sq.ft. (232.26 sq.m.)  
sq.ft.",1,North-West,10+ Year Old,,"['Private Garden / Terrace', 'Water Storage']",Park/Garden,4,2,2,Not Available,2500.0
"3 Bedroom House for sale in Awadhpuri, Bhopal",shri balaji galaxy city,75.0,9375,Under Construction,"Welcome to nanak niwas 3 ,a primium residencial enclave where we thoughtful design meets model living , luxurious amenities like club house, swimming pool, commercial complex, landscape gardens,kids play area etc .","Plot area 800
(74.32 sq.m.)
Built Up area: 1420 sq.ft. (131.92 sq.m.)  
sq.ft.",1,NA,,,,,3,3,1,Not Available,800.0
"8 Bedroom House for sale in Sector C Indrapuri, Bhopal",sector c indrapuri,450.0,16304,Ready To Move,Details of property 1 . Size 46x60= 2760sq feet.Corner plot..181 c indrapuri... 2 . Commercial cum residential 3 . Ground floor- Five shops for own use or rental purpose .The shops can give a rental income of around rs. 50k per month. 4 . First floor- Fully constructed for self stay and separate portion for renting to family or college students. Presently vaccant. But can give a rental income of around 20 k per month in present condition. 5 . Ideal for hostel and other commercial purpose. 6 . Demand 4.5 crore,"Plot area 2760
(256.41 sq.m.)  
sq.ft.",2,NA,10+ Year Old,,,,8,5,3,Not Available,2760.06
"3 Bedroom House for sale in Awadhpuri, Bhopal",shri balaji galaxy city,75.0,9375,Under Construction,"Welcome to nanak niwas 3 ,a primium residencial enclave where we thoughtful design meets model living","Plot area 800
(74.32 sq.m.)
Built Up area: 1420 sq.ft. (131.92 sq.m.)
Carpet area: 660 sq.ft. (61.32 sq.m.)  
sq.ft.",1,East,,,"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Bank Attached Property', 'Visitor Parking', 'Security Personnel', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']","Pool,Park/Garden,Club,Main Road,Others",3,3,1,Not Available,800.0
"6 Bedroom House for sale in Karariya Sajidabad, Bhopal",karariya sajidabad,80.0,2962,Ready To Move,House is well vastu complied north east ishan cone facing house a positive feel which attract carrer and growth a house is in corner .,"Plot area 2700
(250.84 sq.m.)  
sq.ft.",3,NA,5 to 10 Year Old,,,,6,5,2,Not Available,2700.88
"10 Bedroom House for sale in Old Subhash Nagar Colony, Bhopal",old subhash nagar colony,160.0,5333,Ready To Move,"Own a rare 3-Story villa in the heart of the city complete with a private garden, parking, and serene park & temple views. With hospitals, malls, markets, and the metro just minutes away, this home offers the perfect balance of comfort, convenience, and lifestyle. Dont miss the chance to make it yours!","Plot area 3000
(278.71 sq.m.)  
sq.ft.",3,NA,10+ Year Old,,"['Private Garden / Terrace', 'False Ceiling Lighting', 'No open drainage around', 'Park']",,10,6,3," pooja room,study room,store room",3000.19
"5 Bedroom House for sale in Kadambini, Bhopal",kadambini,125.0,13888,Ready To Move,"Our property is newly constructed (Just 1.5 years old) and is now available for sale. The property comes fully furnished with beds, ac, tv, and other essential fittings, so you can move in without any additional setup.","Plot area 900
(83.61 sq.m.)  
sq.ft.",3,East,1 to 5 Year Old,"['1 Water Purifier', '10 Fan', '1 Fridge', '1 Exhaust Fan', '1 Geyser', '1 Stove', '40 Light', '2 AC', '1 TV', '1 Modular Kitchen', '2 Bed', '3 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No Chimney', 'No Curtains', 'No Dining Table']",['Maintenance Staff'],Others,5,4,2,Not Available,900.06
"3 Bedroom House for sale in Morga, Bhopal",morga,29.11,3234,Under Construction,"Experience the perfect blend of comfort, elegance, and modern living with this beautifully designed 3 bhk independent villa located in a well-Organised and secure society. The villa offers spacious bedrooms, a contemporary living area, modular kitchen, and thoughtfully designed interiors that ensure maximum natural light and ventilation. Nestled in a gated community with 24x7 security, landscaped gardens, wide internal roads, and ample parking, this villa provides both privacy and a sense of belonging. Residents enjoy access to premium amenities like a clubhouse, childrens play area, jogging tracks, and recreational spaces making it ideal for families. Whether youre looking for a peaceful lifestyle or a vibrant community experience, this villa offers the best of both worlds.","Plot area 900
(83.61 sq.m.)  
sq.ft.",2,NA,,,"['High Ceiling Height', 'Maintenance Staff', 'Park', 'Visitor Parking', 'Club house / Community Center']",,3,3,2,Not Available,900.12
"3 Bedroom House for sale in Sankhedi, Bhopal",priyadarshini pristine,55.0,6547,Ready To Move,"Priyadarshini constructions is a leading organization in the field of providing quality housing to its customers. The group has pioneered the concept of group housing in bhopal, with projects providing complete housing solutions, having advanced security systems, various recreational activities and with a touch of class and elegance. Priyadarshini constructions with a professional staff of strong, experienced, skilled and detail - Oriented team, they are willing and able to perform duties in a respectable and professional manner. They have worked hard to maintain their commitment to customer service and satisfaction. Over the years priyadarshini constructions has developed a distinguished reputation for quality craftsmanship and service. Strict work ethics, experience and commitment have made them one of the most trusted name in central india.","Plot area 840
(78.04 sq.m.)
Built Up area: 1398 sq.ft. (129.88 sq.m.)  
sq.ft.",1,West,5 to 10 Year Old,"['1 Water Purifier', '5 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '3 Geyser', '1 Stove', '5 Light', '3 AC', '2 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No Bed']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']","Main Road,Club,Park/Garden,Pool",3,3,2," study room,pooja room,store room,servant room",840.08
"4 Bedroom House for sale in Kotra Sultanabad, Bhopal",lig 105 kotra sultana bad,120.0,10434,Ready To Move,On road commarsial house and resident larg open ground in front house lagre parking space for car or truck bus Plz . Thanku,"Plot area 1150
(106.84 sq.m.)
Built Up area: 2400 sq.ft. (222.97 sq.m.)
Carpet area: 2000 sq.ft. (185.81 sq.m.)  
sq.ft.",2,South-West,10+ Year Old,"['4 Wardrobe', '1 Water Purifier', '12 Fan', '1 Exhaust Fan', '1 Stove', '30 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Private Garden / Terrace', 'Water purifier', 'High Ceiling Height', 'Water Storage', 'Park', 'Visitor Parking', 'Natural Light']",Main Road,4,2,2," pooja room,study room,store room",1150.09
"3 Bedroom House for sale in Katara Hills, Bhopal",ramayan south avenue,95.0,9047,Ready To Move,"East facing 3 bhk individual corner house with furnished kitchen, store room, living room, 3 bathrooms, covered washing area, 2 parking spaces( 1 closed & 1 open).4 iron gates . 1 geyser, 4 exhaust fans, 6 fans , lights, curtain holders, door camera.It has covered shed in both front and back, and iron grills at back wash area for security and comfort.","Plot area 1050
(97.55 sq.m.)
Built Up area: 1750 sq.ft. (162.58 sq.m.)  
sq.ft.",2,East,1 to 5 Year Old,"['6 Fan', '1 Exhaust Fan', '1 Geyser', '8 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Club house / Community Center']","Park/Garden,Main Road",3,3,1, pooja room,1050.07
"2 Bedroom House for sale in Mungalia Kot, Bhopal",bhavishya metro city sector a,23.0,2738,Ready To Move,"Urgently sell of constructed unfurnished home for sale offering a newly built, spacious home in a sought-After locality. Enjoy modern architecture, excellent layout, and lasting construction.Please note: Only cash offers are accepted. Payment must be made in full by cash at the time of sale.","Plot area 840
(78.04 sq.m.)  
sq.ft.",,North,0 to 1 Year Old,,"['Park', 'Visitor Parking', 'Waste Disposal']",Park/Garden,2,2,1,Not Available,840.03
"1 Bedroom House for sale in Khejrabaramad, Bhopal",shri aadinath parisar,25.0,3676,Ready To Move,Ready to move,"Plot area 700
(65.03 sq.m.)
Carpet area: 680 sq.ft. (63.17 sq.m.)  
sq.ft.",1,NA,0 to 1 Year Old,,,,1,2,0,Not Available,680.09
"4 Bedroom House for sale in Indus Towne, Bhopal",ishaan grand estate,70.0,5600,Ready To Move,"Residential duplex for sale Ishaan grand estate, hoshangabad road Facing: West Plot size: 1,250 sq.Ft Super built-Up area: 1,650 sq.Ft Loan facility: Available","Plot area 1250
(116.13 sq.m.)
Built Up area: 1650 sq.ft. (153.29 sq.m.)
Carpet area: 1250 sq.ft. (116.13 sq.m.)  
sq.ft.",2,West,5 to 10 Year Old,,"['Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal']",Park/Garden,4,4,2,Not Available,1250.0
"6 Bedroom House for sale in Chhatrapati Nagar, Bhopal",chhatrapati nagar,82.0,10250,Ready To Move,Bhavani dham phase 1 se laga hua hai samne mandir hai bahut acchi location me hai Side me park hai,"Plot area 800
(74.32 sq.m.)
Built Up area: 2000 sq.ft. (185.81 sq.m.)  
sq.ft.",3,South-East,5 to 10 Year Old,"['7 Fan', '2 Geyser', '13 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage']",Main Road,6,4,3, pooja room,800.0
"3 Bedroom House for sale in Viswakarma Nagar, Bhopal",viswakarma nagar,55.0,5164,Ready To Move,"Centrally located.3km away railway station, bus stand, hotels, hospital and shopping complexes etc. Corner apartment with open space for temporary use if required.","Plot area 1065
(98.94 sq.m.)  
sq.ft.",1,East,10+ Year Old,,"['Water Storage', 'Waste Disposal']",,3,2,1, pooja room,1065.07
"4 Bedroom House for sale in Aishbagh, Bhopal",aishbagh,55.0,12222,Ready To Move,"Spacious highly ventilated , designed by vastu and having parking spaces for two 4 wheeler......Open space infront of your house","Plot area 450
(41.81 sq.m.)  
sq.ft.",4,West,10+ Year Old,"['2 Bed', '3 Wardrobe', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage', 'Visitor Parking']",Park/Garden,4,4,1,Not Available,450.01
"2 Bedroom House for sale in Semra, Bhopal",anupam kasturi,40.0,7619,Ready To Move,"Bhopal jn around 2 km, airport 12km","Plot area 525
(48.77 sq.m.)  
sq.ft.",3,NA,1 to 5 Year Old    View Construction Status,,"['Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking']",,2,1,1,Not Available,525.0
"3 Bedroom House for sale in Bagli, Bhopal",jd kasturi vihar,110.00000000000001,10628,Ready To Move,"I want to sell 3 bhk fully furnished corner east facing duplex at kasturi vihar bagli bhopal Plot area 1060 sq ft build up area 1900 sq ft Selling price 11000000/- Slightly negotiable. Self borewell, solar 5kw. Only genuine buyer can contact me.","Plot area 1035
(96.15 sq.m.)
Built Up area: 1600 sq.ft. (148.64 sq.m.)  
sq.ft.",2,East,1 to 5 Year Old,"['4 Bed', '3 Wardrobe', '5 Fan', '1 Sofa', '4 Geyser', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Light', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Visitor Parking']",Main Road,3,4,1, pooja room,1035.0
"5 Bedroom House for sale in Hoshangabad Road, Bhopal",krishna homes rhythm park,58.0,6157,Ready To Move,Independent corner villa for sale volonynis in main bhojpur road propsed 6 lane .Rooms are spacious and good construction good for investment and rental income,"Plot area 942
(87.51 sq.m.)  
sq.ft.",3,NA,1 to 5 Year Old,"['7 Fan', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Park']",,5,5,2,Not Available,942.02
"2 Bedroom House for sale in Mahabali Nagar, Bhopal",mahabali nagar,42.0,8076,Ready To Move,"Beautiful house, spacious room, balcony, well maintained society","Plot area 520
(48.31 sq.m.)  
sq.ft.",2,East,10+ Year Old,,,,2,3,1,Not Available,520.06
"7 Bedroom House for sale in Ibrahimpura, Bhopal",city tower,120.0,19047,Ready To Move,Nadeem press ki gali nadeem road near giri sari house in frount of riya suit commercial house,"Plot area 630
(58.53 sq.m.)
Built Up area: 2500 sq.ft. (232.26 sq.m.)  
sq.ft.",4,North,10+ Year Old,,"['Water Storage', 'Waste Disposal']",,7,4,2,Not Available,630.02
"3 Bedroom House for sale in Sneh Nagar, Bhopal",sneh nagar,100.0,9671,Ready To Move,"Best construction in the area. Colony is very safe and secure. 600 m from hosangabad mall. Near by amenities- Ashimamall,shree ram colony,vrindhaban dhabha.","Plot area 1034
(96.06 sq.m.)  
sq.ft.",2,NA,5 to 10 Year Old,,,,3,3,1,Not Available,1034.02
"4 Bedroom House for sale in Amrawad Khurd, Bhopal",amrawad khurd,125.0,8928,Ready To Move,Spacious house Duplex for sale Plot 1400 sq ft (28 by 50) West facing 4 bedroom 2 lobby 1 shed room 3 bathroom 2 small stores,"Plot area 1400
(130.06 sq.m.)
Built Up area: 2400 sq.ft. (222.97 sq.m.)  
sq.ft.",2,West,5 to 10 Year Old,"['4 Bed', '2 Wardrobe', '6 Fan', '1 Sofa', '1 Exhaust Fan', '3 Geyser', '9 Light', '2 AC', '2 TV', '1 Curtains', 'No Chimney', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Park', 'Visitor Parking']","Park/Garden,Main Road",4,3,2, study room,1400.09
"10 Bedroom House for sale in Indra Nagar, Bhopal",indra nagar,40.0,3999,Ready To Move,"Planning to buy an individual house in bhopal. Then you should definitely check out this 10 bhk house for sale in indra nagar, a well-Planned and well-Connected locality in bhopal. Containing 10 bedrooms, 4 bathrooms and 2 balconies, this independent house is spread over a super built up area of 1000 sq.Ft. Being a ready to move house, you can expect immediate possession of this 10+ years old property. The nature of ownership of this independent house is freehold. The price of this spacious independent house is 40 lac.","Plot area 1000
(92.9 sq.m.)
Built Up area: 1800 sq.ft. (167.23 sq.m.)  
sq.ft.",3,East,10+ Year Old,,"['Water Storage', 'Separate entry for servant room']",,10,4,2," store room,servant room",1000.25
"4 Bedroom House for sale in Neelbad, Bhopal",neelbad,50.0,5000,Ready To Move,"This 4 bhk house for sale in neelbad, a well planned locality in bhopal, is ideal for a family that is looking for complete peace of mind. Owing to its key locations, several landmarks like close to school, close to hospital, close to market and close to highway are easily accessible. Containing 4 bedrooms, 5 bathrooms and 1 balcony, this independent house is spread over a super built up area of 1000 sq.Ft. The houses comes with dedicated 1 covered and 1 open parking space(s) where you can easily park your vehicle(s). This 5-10 years old property is available for immediate possession as the house is ready to move. It is a freehold property. The property is available for sale at a competitive price of 50 lac. The independent house provides access to clean water through municipal corporation and borewell/tank supply. This independent house is facing the east direction. The beautifully designed marble flooring enhances the beauty of this independent house.","Plot area 1000
(92.9 sq.m.)  
sq.ft.",2,East,5 to 10 Year Old,"['1 Fan', '1 Exhaust Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",['Water Storage'],Main Road,4,5,1, pooja room,1000.0
"6 Bedroom House for sale in Idgah Hills, Bhopal",sunrise colony,250.0,10416,Ready To Move,"East facing,fully furnished,2 car parking space, 6 bedrooms with bathrooms attached,vastu compliant,living room ,dining room.","Plot area 2400
(222.97 sq.m.)
Built Up area: 5200 sq.ft. (483.1 sq.m.)  
sq.ft.",2,East,10+ Year Old,"['1 Water Purifier', '4 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '3 Geyser', '1 Stove', '4 AC', '1 TV', '1 Chimney', '1 Curtains', '4 Bed', '4 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No Modular Kitchen', 'No Light']","['Feng Shui / Vaastu Compliant', 'Water Storage', 'Visitor Parking']",,6,6,1, pooja room,2400.15
"10 Bedroom House for sale in Karond Chouraha, Bhopal",karond chouraha,200.0,5405,Ready To Move,"This property is very close to bhopal first metro station karond 300metres only. A house has been built on 2,800 square feet, and 900 square feet of the plot is still vacant. For water supply, a borewell has been installed in the building. The property also includes 3 shops and a temple within the premises. The building has an east-Facing gate. Unlike typical properties, this space has been thoughtfully designed to create an environment that feels both welcoming and distinctive. Every corner reflects a sense of individuality, with architectural details, natural lighting, and carefully chosen finishes that highlight its personality.","Plot area 3700
(343.74 sq.m.)  
sq.ft.",3,East,1 to 5 Year Old,,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Visitor Parking']",Main Road,10,8,3,Not Available,3700.28
"5 Bedroom House for sale in Karond Chouraha, Bhopal",karond chouraha,105.0,3088,Ready To Move,"I am looking for buyer to purchase house/villa available for sale in karond chouraha, bhopal. Available at price of rs 1 crores. It has built up area of 3400 sqft. It has 5 bhk, 10 bathroom, 4 balcony.It is a freehold property","Built Up area: 3400
(315.87 sq.m.)  
sq.ft.",4,NA,0 to 1 Year Old,,,,5,10,3,Not Available,3400.26
6 Bedroom House for sale in 26 janakpuri ayodhya by pass bhopal,26 janakpuri ayodhya by pass,90.0,9000,Ready To Move,1000 sqft house for sale 3 floor Ready to move all facility are available here hospital school dmart best location in bhopal,"Plot area 1000
(92.9 sq.m.)  
sq.ft.",3,East,10+ Year Old,,,,6,4,1,Not Available,1000.0
"1 Bedroom House for sale in Indus Towne, Bhopal",ishaan grand estate,49.0,4454,Under Construction,Under construction house for sale in as is condition in covered campus colony near fun city adjacent to hoshangabad road,"Plot area 1100
(102.19 sq.m.)
Carpet area: 1100 sq.ft. (102.19 sq.m.)  
sq.ft.",1,East,,,['Park'],,1,1,0,Not Available,1100.13
"5 Bedroom House for sale in Rasla Khedi, Bhopal",mansa builders vaidyanath city,70.0,5834,Ready To Move,"Interested to sell independent house/villa.Placed at rasla khedi.It has spacious 5 bedrooms and 5 bathrooms. .2400.00 sq.Ft.(Builtup area) , 1200.00 sq.Ft.(Plot area) is the area of the propertywant to sell it for rs 7000000.It is a 1-5 years old property construction","Plot area 1200
(111.48 sq.m.)
Built Up area: 2400 sq.ft. (222.97 sq.m.)
Carpet area: 1200 sq.ft. (111.48 sq.m.)  
sq.ft.",2,NA,1 to 5 Year Old,,,Others,5,5,3, others,1199.86
"5 Bedroom House for sale in Ayodhya Bypass , Bhopal",ayodhya bypass,325.0,21666,Ready To Move,"A stunning fully-Interior triplex home with modern luxuryfeaturing private theatre, gym, spacious parking, serene surroundings, and elegant design across 3 levels for the ultimate living experience.","Plot area 1500
(139.35 sq.m.)
Built Up area: 4500 sq.ft. (418.06 sq.m.)  
sq.ft.",3,North-East,10+ Year Old,"['1 Water Purifier', '10 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Geyser', '1 Stove', '70 Light', '5 AC', '5 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '4 Bed', '7 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal']",Park/Garden,5,5,3," pooja room,servant room,others",1500.05
"2 Bedroom House for sale in Kolar Road, Bhopal",bima kunj,56.5,8692,Ready To Move,"In front of bima kunj, kolar road bhopal ganpati enclave colony. 650sf plot area 2 bedroom beutiful house.","Plot area 650
(60.39 sq.m.)  
sq.ft.",1,East,10+ Year Old,,,,2,1,0,Not Available,650.02
"10 Bedroom House for sale in Sanjeev Nagar, Bhopal",sanjeev nagar,130.0,8666,Ready To Move,Residential house with 30 thousand monthly rent,"Plot area 1500
(139.35 sq.m.)  
sq.ft.",2,West,5 to 10 Year Old,,['Water Storage'],,10,8,2, pooja room,1500.12
"5 Bedroom House for sale in Neelbad, Bhopal",neelbad,60.0,5000,Ready To Move,Home for sale neelbad road bhawna parisar barkhedi kala bhopal,"Plot area 1200
(111.48 sq.m.)
Built Up area: 2400 sq.ft. (222.97 sq.m.)  
sq.ft.",2,East,1 to 5 Year Old,"['1 Fan', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,5,5,3,Not Available,1200.0
"3 Bedroom House for sale in Nariyalkheda, Bhopal",nariyalkheda,35.0,5833,Ready To Move,Water borewell available+ narmada available,"Plot area 600
(55.74 sq.m.)
Built Up area: 1500 sq.ft. (139.35 sq.m.)  
sq.ft.",3,South,1 to 5 Year Old,,,,3,2,1,Not Available,600.03
"5 Bedroom House for sale in Kolar Road, Bhopal",kolar road,89.0,9417,Ready To Move,This location is a best prime location,"Plot area 945
(87.79 sq.m.)  
sq.ft.",3,East,1 to 5 Year Old,"['5 Fan', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","Park/Garden,Main Road,Club",5,4,2," pooja room,servant room,study room",945.1
"4 Bedroom House for sale in Anand Nagar, Bhopal",,60.0,10000,Ready To Move,All facilities are nearby because of main road,"Plot area 600
(55.74 sq.m.)
Built Up area: 600 sq.ft. (55.74 sq.m.)  
sq.ft.",2,NA,5 to 10 Year Old,,,Main Road,4,2,1,Not Available,600.0
"8 Bedroom House for sale in Afkar colony, Bhopal",afkar colony,75.0,9375,Ready To Move,"8-Room house for sale, 2 floors, 3 bathrooms. Earn 20,000/month rent. Ideal for families or investors. Contact for details!","Plot area 800
(74.32 sq.m.)  
sq.ft.",2,East,10+ Year Old,"['7 Wardrobe', '3 Fan', '1 Exhaust Fan', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage']",,8,6,2,Not Available,800.0
"5 Bedroom House for sale in Aradhana Nagar, Bhopal",aradhana nagar,225.0,15000,Ready To Move,"Check out this 5 bhk house for sale in near shardha hospital aradhana nagar bhopal, a popular residential locality that contains many of the in-Demand properties in bhopal. This residential house is located close to close to school, close to hospital, close to market and close to railway station. The house has over super built up area of 1500 sq.Ft. And comes with 5 bedrooms, 4 bathrooms and 2 balconies. There is 1 covered & 3 open parking available with this house. This is a ready to move house, which is 10+ years old. The ownership right of this property is freehold. By paying just 2.25 crore, you can become the proud owner of this independent house. The independent house provides access to clean water through municipal corporation and borewell/tank supply. This independent house is facing the east direction. The beautifully designed granite flooring enhances the beauty of this independent house.","Plot area 1500
(139.35 sq.m.)  
sq.ft.",2,East,10+ Year Old,"['1 Water Purifier', '4 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '3 Geyser', '10 Light', '1 TV', '1 Modular Kitchen', '1 Curtains', '3 Bed', '3 Wardrobe', '1 Sofa', '1 Microwave', 'No AC', 'No Chimney', 'No Stove', 'No Washing Machine']",,,5,4,2," pooja room,study room,others",1500.0
"4 Bedroom House for sale in Salaiya, Bhopal",salaiya,125.0,10416,Ready To Move,Interested to sell independent house/villa.Placed at salaiya.Nice semifurnished enhancing decorit has spacious 4 bedrooms and 3 bathrooms. .Want to sell it for rs 12500000.It is a 1-5 years old property construction,"Plot area 1200
(111.48 sq.m.)  
sq.ft.",2,NA,1 to 5 Year Old,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,,4,3,2,Not Available,1200.08
"4 Bedroom House for sale in Huzur, Bhopal",aks land mark sector a,150.0,6250,Ready To Move,"Looking for buyer to purchase our house/villa available for sale in sector a, bhopal. Available at price of rs 15000000. It has carpet area of 2400 sqft. It has 4 bhk, 4 bathroom, 0 balcony.It is a freehold property","Carpet area: 2400
(222.97 sq.m.)  
sq.ft.",1,NA,1 to 5 Year Old,,,,4,4,0,Not Available,2400.0
