society,colony,property_type,price,price_per_sqft,Total Floors,Facing,bedrooms,bathrooms,balconies,mainarea,study room,servant room,store room,pooja room,others,view floor plan,furnishing_type,luxury_score,Overlooking_Categories
shakun samriddhi,gehu kheda,Flat,30.0,3750,1.0,,2,2,2,800.0,0,0,0,0,0,0,1,0,Road Facing Homes
priyadarshini the athenaeum,bawadia kalan,House,1243.06,17758,4.0,East,6,7,3,7000.0,0,0,0,0,0,0,1,23,Road Facing Homes
lala lajpat rai society,arera colony,Flat,43.99,3384,2.0,,3,2,3,1300.0,0,0,0,0,0,0,1,0,Road Facing Homes
ratnagiri,piplani,Flat,10.5,2100,2.0,East,1,1,1,500.0,0,0,0,1,0,0,1,3,Road Facing Homes
danish nagar,bagmugaliya,House,204.0,6800,2.0,North-East,4,4,3,3000.0,1,0,0,1,1,0,1,19,Green View Homes
chuna bhatti,chuna bhatti,House,199.98,9000,2.0,East,4,3,0,2222.0,0,0,0,0,0,0,0,10,Road Facing Homes
karond,karond,House,94.99,3958,1.0,South,6,5,1,2400.0,0,0,0,0,0,0,1,4,Green View Homes
citi vistaar,gehu kheda,House,45.0,7500,2.0,West,3,2,2,600.0,0,0,0,0,0,0,0,46,Green View Homes
krishna homes rhythm park,hoshangabad road,House,58.0,6157,3.0,,5,5,2,942.0,0,0,0,0,0,0,1,7,Road Facing Homes
agrawal sagar lakeview homes,ayodhya bypass,Flat,69.99,3749,3.0,,3,3,3,1867.0,0,0,0,0,0,0,0,109,Amenity Facing Homes
mahendra plaza,bawadia kalan,Flat,42.99,3208,3.0,,3,2,0,1340.0,0,0,0,0,0,0,1,0,Road Facing Homes
samriddhi apartment,kolar road,Flat,15.0,2727,1.0,,2,1,0,550.0,0,0,0,0,0,0,1,13,Road Facing Homes
sri mitra spring valley,bagmugaliya,Flat,51.25,3428,2.0,,4,3,0,1495.0,0,0,0,0,0,0,1,0,Road Facing Homes
keelandev apartments,central bhopal,Flat,193.98,9237,5.0,East,4,4,3,2100.0,1,1,0,1,1,0,0,22,Premium Scenic Homes
fortune kasturi,hoshangabad road,Flat,20.0,4444,5.0,West,1,2,2,450.0,0,0,0,1,0,0,1,52,Amenity Facing Homes
samardha,mandideep,House,27.0,4500,3.0,,4,4,2,600.0,0,0,0,1,1,0,1,23,Amenity Facing Homes
nirupam royal palms,hoshangabad road,Flat,39.99,2711,5.0,North-East,3,2,2,1475.0,1,0,0,1,0,0,2,51,Amenity Facing Homes
laharpur,bagmuliya,House,259.99,10833,2.0,East,4,4,2,2400.0,0,0,0,0,0,0,1,8,Road Facing Homes
manohar colony,neelbad,House,55.0,4583,2.0,North-East,3,2,1,1200.0,0,0,0,0,0,0,1,8,Road Facing Homes
vivek apartment,arera colony,Flat,30.0,3750,2.0,North,2,2,2,800.0,0,0,0,0,0,0,0,34,Green View Homes
bda swami vivekanand parisar,katara hills,Flat,13.5,3000,1.0,,1,1,0,450.0,0,0,0,0,0,0,1,13,Green View Homes
coral woods,hoshangabad road,Flat,54.99,3811,1.0,,3,3,1,1443.0,1,0,0,0,0,0,1,7,Green View Homes
agrawal sagar pearl,hoshangabad road,House,300.0,12000,3.0,East,4,4,2,2500.0,0,0,0,0,0,0,0,34,Premium Scenic Homes
aura mall,shahpura,Flat,31.76,352941,0.0,South,2,2,0,9.0,0,0,0,0,0,0,1,0,Road Facing Homes
agrawal sagar lakeview homes,ayodhya bypass,Flat,45.0,3214,5.0,East,3,3,3,1400.0,0,0,0,1,0,0,1,67,Amenity Facing Homes
sage suncity,katara hills,House,366.65,16666,2.0,East,4,3,2,2200.0,0,0,1,1,0,0,1,71,Green View Homes
navaakar parke serene,gehu kheda,Flat,25.0,3125,4.0,,2,2,0,800.0,0,0,0,0,0,0,1,8,Road Facing Homes
shreeji tower,ashoka garden,Flat,41.71,7448,3.0,South-East,2,2,1,560.0,0,0,0,0,0,0,1,21,Road Facing Homes
surabhi nikunj surabhi mohini homes,awadhpuri,Flat,34.99,4117,3.0,East,2,2,2,850.0,0,0,0,0,0,0,0,22,Road Facing Homes
lakhumal nikhil nestles,hoshangabad road,Flat,55.0,4077,6.0,East,3,3,3,1349.0,0,0,0,0,0,0,0,64,Amenity Facing Homes
lakshya serene wood,kolar road,House,40.0,3968,2.0,West,3,3,1,1008.0,0,0,0,0,0,0,1,10,Road Facing Homes
gl mid city complex,bhopal,Flat,25.31,2978,2.0,North,2,2,1,850.0,0,0,0,0,0,0,1,12,Road Facing Homes
kolar road,kolar road,House,65.0,7222,2.0,,3,2,1,900.0,0,0,0,0,0,0,1,13,Road Facing Homes
harshit lifestyle,gandhinagar,Flat,41.62,3468,5.0,East,3,3,2,1200.0,0,0,0,0,0,0,1,79,Amenity Facing Homes
awadhpuri,awadhpuri,House,96.25,6875,2.0,East,3,3,1,1400.0,0,0,0,0,0,0,1,4,Amenity Facing Homes
,piplani,House,60.0,10000,2.0,,4,2,1,600.0,0,0,0,0,0,0,1,0,Road Facing Homes
amaltas phase 2,chuna bhatti,House,1457.25,16750,,,6,6,3,8700.0,1,1,1,1,0,0,2,80,Amenity Facing Homes
pabble bay pahse 5,katara hills,House,336.49,9347,3.0,East,5,5,2,3600.0,0,1,0,1,0,0,1,14,Amenity Facing Homes
aakriti aqua city,hoshangabad road,Flat,30.0,2269,1.0,,3,3,3,1322.0,0,0,0,0,0,0,1,58,Green View Homes
sector c shahpura,shahpura,House,35.0,7777,2.0,East,2,2,1,450.0,0,0,0,1,0,0,1,24,Green View Homes
sbd cosmos city,chuna bhatti,Flat,20.0,2167,1.0,,2,2,3,923.0,0,0,0,0,0,0,1,0,Road Facing Homes
ashirwad apartment,shahpura,Flat,17.0,2720,2.0,,2,2,1,625.0,1,0,0,0,0,0,1,0,Road Facing Homes
sarc pacific blue,hoshangabad road,Flat,47.99,4266,2.0,,3,2,2,1125.0,0,0,0,0,0,0,0,41,Amenity Facing Homes
ultimate campus,kolar road,Flat,34.99,2333,4.0,East,3,2,2,1500.0,0,0,0,0,0,0,1,71,Green View Homes
windsor palms,kolar road,House,76.0,6333,1.0,West,3,3,1,1200.0,0,0,0,0,0,0,1,43,Green View Homes
surya plaza,karond,Flat,35.0,3500,1.0,,3,2,1,1000.0,0,0,0,0,0,0,1,0,Road Facing Homes
saket nagar,habib ganj,House,261.0,17400,3.0,South-West,4,3,3,1500.0,1,0,0,1,0,0,2,12,Road Facing Homes
congress nagar,bhopal,House,71.99,3428,2.0,,5,4,1,2100.0,0,0,0,0,0,0,1,0,Road Facing Homes
maharishi patanjali parisar,gandhinagar,House,12.5,2777,1.0,,1,1,0,450.0,0,0,0,0,0,0,1,44,Green View Homes
dream luxuria,hoshangabad road,Flat,140.58,5833,8.0,North-East,4,4,3,2410.0,1,0,0,1,1,0,1,27,Amenity Facing Homes
girnar valley,ayodhya bypass,Flat,26.0,3714,3.0,North,2,2,1,700.0,0,0,0,0,0,0,0,18,Road Facing Homes
a and a regalia heights,shahjahanabad,Flat,50.0,5000,1.0,North,3,2,3,1000.0,0,0,0,0,0,0,1,28,Green View Homes
century apartment songri,piplani,Flat,14.5,223,3.0,,1,1,1,6500.0,0,0,0,0,0,0,1,0,Road Facing Homes
krishna tower,katara hills,Flat,25.0,3333,3.0,North-East,2,1,1,750.0,0,0,0,0,0,0,2,14,Road Facing Homes
fast track heavens life,katara hills,House,129.83,6833,2.0,South-West,3,3,1,1900.0,0,0,0,0,0,0,1,47,Green View Homes
chinarr sapphire,bawadia kalan,Flat,39.99,3076,4.0,,2,2,1,1300.0,0,0,0,0,0,0,1,17,Road Facing Homes
mahendra square,bawadia kalan,Flat,42.8,7133,1.0,,2,2,2,600.0,0,0,0,1,0,0,2,103,Green View Homes
raja bhoj airport area,gandhinagar,House,75.0,7614,2.0,East,4,4,2,985.0,0,0,0,0,0,0,1,4,Green View Homes
airport road,gandhinagar,House,135.0,10800,2.0,North,3,2,2,1250.0,0,0,0,0,0,0,1,38,Road Facing Homes
amaltas prospera,bagmugaliya,Flat,40.0,4000,2.0,East,3,2,1,1000.0,0,0,0,0,0,0,1,28,Green View Homes
satya apartment,govindpura,Flat,30.0,2857,2.0,,3,2,2,1050.0,0,0,0,1,0,0,1,0,Premium Scenic Homes
mangalam apartment,aishbagh,Flat,23.0,3833,1.0,,2,2,1,600.0,0,0,0,1,0,0,0,0,Road Facing Homes
mirchandani shalimar enclave,arera colony,Flat,40.0,5479,3.0,,3,2,2,730.0,0,0,0,0,0,0,1,10,Road Facing Homes
silver sand heights,peer gate area,Flat,26.99,4153,3.0,,2,2,1,650.0,0,0,0,0,0,0,1,0,Road Facing Homes
ghora nakkas,bhopal,House,18.0,1000,2.0,,10,4,2,1800.0,0,0,0,0,0,0,1,0,Road Facing Homes
e 7 arera colony,arera colony,House,294.98,12291,1.0,East,3,3,1,2400.0,0,0,0,0,0,0,1,4,Road Facing Homes
habib ganj,habib ganj,House,540.0,15000,3.0,,7,6,3,3600.0,0,1,0,0,0,0,1,0,Road Facing Homes
gmr golden palm,hoshangabad road,Flat,37.99,2814,2.0,,3,3,2,1350.0,0,0,0,0,0,0,1,55,Green View Homes
raja bhoj international airport,gandhinagar,House,114.31,6532,2.0,East,4,2,1,1750.0,0,0,0,0,0,0,1,3,Green View Homes
dlf gardencity phase ii,bypass road,House,28.99,3790,1.0,,1,1,1,765.0,0,0,0,0,0,0,1,0,Road Facing Homes
paras heights,ayodhya bypass,Flat,35.0,4545,6.0,,2,2,2,770.0,0,0,0,0,0,0,0,13,Green View Homes
danish nagar,bagmugaliya,House,138.0,11500,2.0,South,3,3,2,1200.0,0,0,0,0,0,0,1,19,Road Facing Homes
rohit nagar,bawadia kalan,House,1428.54,23809,3.0,South,4,3,0,6000.0,0,0,0,0,0,0,1,37,Road Facing Homes
ayodhya bypass,ayodhya bypass,House,215.0,10000,3.0,,5,5,3,2150.0,1,1,0,1,1,0,1,15,Green View Homes
arwaliya,bhopal,House,40.0,3333,1.0,South-West,3,2,1,1200.0,0,0,0,0,0,0,0,8,Road Facing Homes
jassi new gurnam nagar,bypass road,House,75.0,6510,3.0,,3,2,2,1152.0,0,0,0,0,0,0,1,0,Road Facing Homes
sai visal,kolar road,Flat,17.47,2687,2.0,South-East,2,2,1,650.0,0,0,0,1,1,0,1,31,Premium Scenic Homes
platinum park,central bhopal,Flat,64.99,4814,7.0,East,2,2,3,1350.0,0,0,0,0,0,1,0,66,Amenity Facing Homes
kalpana nagar,piplani,House,150.0,7500,2.0,South-East,4,4,2,2000.0,0,0,0,1,0,0,1,19,Road Facing Homes
vk comfort lush green,gandhinagar,House,90.0,10000,,East,3,3,1,900.0,0,0,0,0,0,0,1,26,Road Facing Homes
drishti city,kolar road,Flat,25.78,2865,1.0,,2,2,2,900.0,0,0,0,0,0,0,0,57,Amenity Facing Homes
gulmohar colony,bawadia kalan,House,136.99,8562,2.0,,4,3,2,1600.0,1,0,0,1,0,0,1,11,Green View Homes
amaltas westminster,ayodhya bypass,Flat,55.0,2558,8.0,,4,3,3,2150.0,0,0,0,0,0,0,1,38,Amenity Facing Homes
bda sardar vallab bhai patel apsi karar yojna,salaiya,House,227.26,11363,2.0,North,3,3,2,2000.0,0,0,0,0,0,0,1,9,Road Facing Homes
globus coral cottages,hoshangabad road,House,240.0,10000,2.0,East,4,4,2,2400.0,0,0,0,0,0,0,0,79,Green View Homes
basant vihar colony,habib ganj,House,48.0,2400,3.0,North,6,2,2,2000.0,0,0,0,0,0,0,1,7,Green View Homes
housing board colony,shahjahanabad,House,559.98,13526,1.0,East,5,5,2,4140.0,0,1,1,1,0,0,1,35,Green View Homes
new minal residency,ayodhya nagar,House,98.24,5458,2.0,West,4,3,1,1800.0,0,0,0,1,0,0,0,3,Green View Homes
paras city,arera colony,House,15.0,2500,1.0,,2,1,0,600.0,0,0,0,0,0,0,1,0,Road Facing Homes
asnani pebble bay phase 2,katara hills,House,59.99,4285,2.0,,3,3,1,1400.0,0,0,0,0,0,0,1,9,Green View Homes
lila atulyam,salaiya,Flat,25.92,2564,5.0,East,2,2,1,1011.0,0,0,0,0,0,0,1,53,Amenity Facing Homes
kamal krishna plaza apartments,shahjahanabad,Flat,74.99,4687,2.0,,3,2,3,1600.0,0,0,0,0,0,0,1,0,Road Facing Homes
ibd hallmark citii,chuna bhatti,Flat,16.1,1498,3.0,,3,2,0,1075.0,0,0,0,0,0,0,1,12,Road Facing Homes
signature 360,katara hills,Flat,27.06,2460,1.0,West,3,2,2,1100.0,0,0,0,0,0,0,1,45,Amenity Facing Homes
macker regalia,misrod,House,49.0,6125,2.0,East,3,3,1,800.0,0,0,0,0,0,0,1,0,Amenity Facing Homes
bright colony idgah hills,shahjahanabad,House,120.0,8000,2.0,East,5,4,2,1500.0,0,0,0,0,1,0,0,0,Road Facing Homes
parshv galaxy,shahpura,Flat,124.98,6578,6.0,East,4,4,2,1900.0,0,0,0,0,0,0,1,35,Amenity Facing Homes
suraj nagar,bhopal,House,250.0,10000,3.0,,5,4,3,2500.0,0,0,0,0,0,0,1,0,Road Facing Homes
teela jamalpura,shahjahanabad,House,30.0,6666,2.0,East,2,2,2,450.0,0,0,0,0,0,0,1,31,Green View Homes
archana balaji towers,patel nagar,Flat,42.75,2850,0.0,East,4,4,3,1500.0,0,0,0,0,0,0,1,11,Road Facing Homes
madina trade center,peer gate area,Flat,15.0,2500,1.0,,2,1,0,600.0,0,0,0,0,0,0,1,0,Road Facing Homes
ibd hallmark citii,mahawadiya,Flat,16.74,2133,3.0,,2,2,1,785.0,0,0,0,0,0,0,1,49,Road Facing Homes
khajuri kalan,khajuri kalan,House,77.99,7878,2.0,,3,3,2,990.0,0,0,0,0,0,0,1,3,Road Facing Homes
mayur homes,bhopal,House,14.99,1785,1.0,,1,1,0,840.0,0,0,0,0,0,0,1,14,Green View Homes
ibd hallmark citii,mahawadiya,Flat,22.0,2820,3.0,,3,2,3,780.0,0,0,0,0,0,0,1,49,Road Facing Homes
century enclave,hoshangabad road,House,100.0,5000,2.0,West,3,3,1,2000.0,0,0,0,0,0,0,1,22,Road Facing Homes
idgah hills,shahjahanabad,House,336.0,12000,3.0,,6,5,2,2800.0,1,0,0,0,0,0,0,22,Green View Homes
ultimate english villa,kolar road,House,68.0,8500,2.0,East,3,3,3,800.0,1,0,0,1,0,0,1,34,Amenity Facing Homes
govind garden,govindpura,House,129.99,8666,2.0,East,4,3,3,1500.0,1,0,1,1,0,0,1,0,Road Facing Homes
kajibaag,misrod,House,300.0,12000,1.0,,4,3,1,2500.0,0,0,0,0,0,0,1,0,Road Facing Homes
arera colony,arera colony,House,630.0,18000,2.0,West,4,3,2,3500.0,1,0,0,1,1,0,1,12,Green View Homes
sai dev apartment,arera colony,Flat,45.0,4500,0.0,,3,2,2,1000.0,0,0,0,0,0,0,1,0,Road Facing Homes
globus coral woods,misrod,Flat,52.04,3717,3.0,North,3,3,2,1400.0,1,1,0,1,1,0,0,173,Premium Scenic Homes
gandhinagar,gandhinagar,House,249.98,7812,2.0,,5,5,2,3200.0,1,0,1,1,0,0,1,51,Amenity Facing Homes
lig flats,central bhopal,Flat,25.0,5000,0.0,,2,2,0,500.0,0,0,0,0,0,0,1,0,Road Facing Homes
ibd hallmark citii,mahawadiya,Flat,29.32,2346,0.0,,3,2,3,1250.0,0,0,0,0,0,0,1,9,Road Facing Homes
chinarr 7th mile,outside bhopal,House,19.89,2531,1.0,East,2,1,1,786.0,0,0,0,0,1,0,1,16,Green View Homes
priyadarshini anisthan,bawadia kalan,Flat,70.0,5600,5.0,,2,3,2,1250.0,0,0,0,1,0,0,1,25,Green View Homes
hinotiya alam,salaiya,House,85.99,7166,1.0,East,3,3,2,1200.0,0,0,0,0,0,0,1,36,Green View Homes
aishbagh,aishbagh,House,55.0,12222,4.0,West,4,4,1,450.0,0,0,0,0,0,0,1,20,Green View Homes
sterling globe grand,hoshangabad road,Flat,40.0,2985,5.0,East,3,2,2,1340.0,1,0,0,0,0,0,0,42,Amenity Facing Homes
ruchi lifescapes,hoshangabad road,House,385.91,7530,2.0,East,7,7,3,5125.0,0,0,0,0,0,0,1,55,Amenity Facing Homes
macker silver estate vertica,katara hills,Flat,19.99,2724,6.0,,2,2,1,734.0,0,0,0,0,0,0,0,49,Amenity Facing Homes
jd kasturi vihar,misrod,House,29.0,5664,0.0,,1,1,0,512.0,0,0,0,0,0,0,1,7,Road Facing Homes
amaltas ambreen homes,katara hills,Flat,32.0,3200,4.0,East,3,2,1,1000.0,0,0,0,0,0,0,1,33,Amenity Facing Homes
globus coral cottages,hoshangabad road,House,191.66,8333,,West,4,4,2,2300.0,1,1,1,1,0,0,1,63,Amenity Facing Homes
ramayan south avenue,katara hills,House,158.32,9047,2.0,East,3,3,1,1750.0,0,0,0,1,0,0,0,70,Green View Homes
aliganj,bhopal,Flat,23.0,4181,1.0,West,2,2,1,550.0,0,0,0,0,0,0,1,29,Road Facing Homes
rasipuram road,bhopal,House,64.99,9027,2.0,West,3,2,1,720.0,0,0,0,0,0,0,1,4,Green View Homes
trilanga,shahpura,House,140.0,7000,2.0,East,4,4,1,2000.0,0,0,0,0,0,0,1,9,Road Facing Homes
swadesh red square,misrod,House,206.0,10300,2.0,East,4,4,2,2000.0,1,0,0,0,1,0,1,16,Green View Homes
kalptaru galaxy square,bawadia kalan,Flat,35.0,4375,2.0,North,2,2,1,800.0,0,0,0,0,0,0,1,25,Amenity Facing Homes
people world,karond,House,95.0,9500,2.0,East,4,4,2,1000.0,0,0,0,0,0,0,1,20,Road Facing Homes
shri shankar residency,gehu kheda,Flat,32.0,5633,1.0,West,2,2,2,568.0,0,0,0,1,0,0,1,0,Road Facing Homes
signature 360,katara hills,Flat,21.47,2380,6.0,,3,2,2,902.0,0,0,0,0,0,1,1,25,Amenity Facing Homes
neelbad,neelbad,House,57.99,7435,2.0,West,2,2,1,780.0,0,0,0,0,0,0,1,42,Road Facing Homes
ayodhya bypass,ayodhya bypass,House,150.0,12000,2.0,,4,4,2,1250.0,1,0,0,0,0,0,1,15,Green View Homes
vijay stambh,central bhopal,Flat,141.0,10057,8.0,,3,3,2,1402.0,0,0,0,0,0,0,1,48,Green View Homes
sarla paradise,awadhpuri,House,52.0,4828,1.0,West,2,2,0,1077.0,0,0,0,0,0,0,1,7,Road Facing Homes
baba apartments e7 arera colony,arera colony,Flat,41.33,3333,2.0,,3,2,3,1240.0,0,0,0,0,0,0,1,16,Road Facing Homes
aishbagh,aishbagh,House,55.0,12222,3.0,,5,4,1,450.0,0,0,0,0,0,0,1,20,Green View Homes
kunjan nagar phase 1,bagmugaliya,House,74.99,7894,,East,3,2,1,950.0,0,0,0,0,0,0,1,3,Road Facing Homes
jdn kasturi smart city,misrod,House,80.0,8000,2.0,North,5,3,2,1000.0,1,1,0,0,0,0,1,9,Road Facing Homes
sagar estate,ayodhya bypass,Flat,32.0,4000,3.0,,2,2,1,800.0,0,0,0,0,0,0,1,30,Road Facing Homes
bda swami vivekanand parisar,katara hills,House,79.99,8255,2.0,,3,3,0,969.0,0,0,0,0,0,0,1,13,Green View Homes
bypass road,bypass road,House,19.99,1481,1.0,,1,1,1,1350.0,0,0,0,0,0,0,1,0,Green View Homes
rusia nagar,bhopal,House,69.99,5617,2.0,,3,3,2,1246.0,1,0,0,1,0,0,1,7,Road Facing Homes
mahendra greenwoods,misrod,House,279.97,6666,2.0,,5,4,3,4200.0,1,1,0,1,1,0,1,17,Road Facing Homes
ibd hallmark citii,mahawadiya,Flat,21.99,2046,2.0,East,3,2,3,1075.0,0,0,0,0,0,0,1,25,Amenity Facing Homes
samardha,mandideep,House,40.0,5000,1.0,North,3,2,0,800.0,0,0,0,0,0,0,1,4,Green View Homes
unitech unihomes 2,gehu kheda,Flat,36.99,2587,5.0,,3,3,2,1430.0,0,0,0,0,0,0,1,0,Road Facing Homes
aakriti aqua city,hoshangabad road,House,36.11,4583,1.0,,3,3,1,788.0,0,0,0,0,0,0,1,10,Green View Homes
neelbad,neelbad,House,49.99,3267,2.0,,2,2,1,1530.0,0,0,0,0,0,0,1,42,Road Facing Homes
emerald park city,habib ganj,House,479.99,13333,2.0,East,6,4,3,3600.0,0,0,0,1,0,0,1,32,Road Facing Homes
aakriti garden phase 4,central bhopal,House,170.0,17000,2.0,North,5,4,1,1000.0,0,0,0,0,0,0,2,36,Green View Homes
globus greens,lalgathi,House,375.0,15000,2.0,West,4,3,1,2500.0,0,0,0,1,0,0,2,19,Amenity Facing Homes
tilak society,lalgathi,Flat,25.0,3333,0.0,South-West,2,2,1,750.0,0,0,0,0,0,0,1,13,Road Facing Homes
keelandev tower,central bhopal,Flat,249.98,11627,2.0,West,3,4,2,2150.0,0,1,0,0,0,0,0,35,Premium Scenic Homes
multi qureshi apartment,aishbagh,Flat,18.5,2424,1.0,,3,2,1,763.0,0,0,0,0,0,0,2,0,Road Facing Homes
meenakshi north avenue,ayodhya bypass,House,154.99,6078,3.0,West,5,4,1,2550.0,0,0,0,0,0,0,1,0,Road Facing Homes
nariyalkheda,karond,House,34.99,4666,2.0,,4,3,2,750.0,0,0,0,0,0,0,1,0,Road Facing Homes
bairagarh chichali,gehu kheda,House,40.0,3636,2.0,North,3,3,1,1100.0,1,0,0,1,0,0,1,14,Green View Homes
agrawal sagar golden palm,katara hills,Flat,29.99,2142,6.0,,3,2,3,1400.0,0,0,0,0,0,0,1,67,Amenity Facing Homes
kartika home's,kolar road,Flat,22.0,3520,2.0,,2,2,0,625.0,0,0,0,0,0,0,1,0,Road Facing Homes
agrawal sagar lakeview homes,ayodhya bypass,Flat,54.98,3089,1.0,,3,3,3,1780.0,1,0,0,1,0,0,1,67,Premium Scenic Homes
elixir greens,karond,House,49.99,4761,1.0,,2,2,2,1050.0,0,0,0,0,0,0,1,25,Green View Homes
bima kunj,kolar road,Flat,15.0,3409,3.0,,2,2,1,440.0,0,0,0,0,0,0,1,42,Road Facing Homes
sarvadharm colony,kolar road,Flat,17.0,2931,2.0,East,2,2,1,580.0,0,0,0,0,0,0,1,6,Road Facing Homes
fame kingdom palace,gehu kheda,Flat,31.99,2461,3.0,East,3,2,1,1300.0,0,0,0,0,0,0,0,49,Road Facing Homes
aakriti aquacity mansarovar cozi bunglows,hoshangabad road,House,55.0,5000,2.0,East,3,3,2,1100.0,0,0,0,0,0,0,1,3,Premium Scenic Homes
danish hills view,kolar road,House,225.0,18000,3.0,North-East,4,4,2,1250.0,0,0,0,0,0,0,2,10,Green View Homes
geet greens,navi bagh,House,101.99,7005,2.0,,4,3,1,1456.0,0,0,0,1,0,0,1,3,Road Facing Homes
salaiya,salaiya,House,204.54,10227,3.0,West,4,4,2,2000.0,1,0,0,0,1,0,1,13,Green View Homes
ratibad,neelbad,House,15.5,2123,1.0,,2,2,1,730.0,0,0,0,0,0,0,1,8,Road Facing Homes
golden city,bhopal,House,562.5,12500,2.0,East,4,4,2,4500.0,1,0,0,1,0,0,0,106,Amenity Facing Homes
fortune kasturi,hoshangabad road,Flat,39.99,3530,6.0,,2,2,1,1133.0,0,0,0,0,0,0,0,54,Green View Homes
agrawal sagar premium towers,shirdipuram,Flat,27.1,2800,2.0,,2,2,1,968.0,0,0,0,0,0,0,1,57,Green View Homes
hoshangabad road,hoshangabad road,House,743.22,13513,3.0,North-East,6,7,3,5500.0,1,1,0,1,1,0,2,116,Green View Homes
indra vihar residency,gandhinagar,Flat,25.0,3333,0.0,,2,2,1,750.0,0,0,0,0,0,0,1,0,Road Facing Homes
kolar road,kolar road,House,30.0,3750,1.0,East,2,1,0,800.0,0,0,0,0,0,0,1,13,Road Facing Homes
sarvadharm colony,kolar road,Flat,55.0,6875,0.0,,3,2,1,800.0,0,0,0,0,0,0,1,6,Road Facing Homes
maharishi patanjali parisar,gandhinagar,House,12.5,2777,,,2,1,0,450.0,0,0,0,0,0,0,1,44,Green View Homes
singh gaurav heights,mandideep,Flat,20.0,3333,3.0,,2,2,1,600.0,0,0,0,0,0,0,1,0,Road Facing Homes
,shahpura,Flat,21.0,3000,0.0,South-East,4,3,0,700.0,0,0,0,0,0,0,1,0,Road Facing Homes
mahindra green woods,hoshangabad road,Flat,32.0,2370,1.0,,3,2,3,1350.0,0,0,0,0,0,0,1,0,Road Facing Homes
the bellaire mint,gandhinagar,House,25.0,2500,1.0,,2,2,1,1000.0,0,0,0,0,0,0,1,0,Road Facing Homes
ayodhya bypass,ayodhya bypass,House,60.0,7500,2.0,East,3,3,2,800.0,1,0,0,1,0,0,1,13,Green View Homes
regal town,awadhpuri,Flat,28.14,3310,5.0,West,3,2,2,850.0,0,0,0,0,1,0,0,59,Green View Homes
aakriti aqua city,hoshangabad road,House,87.75,5625,2.0,West,3,3,1,1560.0,1,0,0,1,0,0,1,4,Green View Homes
centurion sky,katara hills,Flat,30.0,4285,8.0,,2,2,2,700.0,0,0,0,0,0,0,2,35,Green View Homes
sukhi sewania,outside bhopal,House,49.49,4949,2.0,East,3,2,2,1000.0,0,0,0,0,0,0,1,28,Green View Homes
rajveer colony semara,outside bhopal,House,35.0,5384,3.0,,3,4,2,650.0,0,0,0,0,0,0,1,0,Road Facing Homes
b type duplex,ayodhya nagar,House,144.04,8730,2.0,East,3,3,1,1650.0,0,0,0,0,1,0,0,76,Road Facing Homes
green acres,lalgathi,Flat,75.01,5068,5.0,,3,3,0,1480.0,0,0,0,0,0,0,1,0,Road Facing Homes
ishaan vista,kolar road,House,75.0,6818,2.0,East,3,3,2,1100.0,0,0,0,0,0,0,1,13,Amenity Facing Homes
century heights,hoshangabad road,Flat,44.81,4074,5.0,West,3,2,2,1100.0,0,0,0,0,0,0,0,39,Road Facing Homes
janki apartments,kolar road,Flat,24.0,3692,1.0,East,2,2,2,650.0,0,0,0,0,1,0,1,9,Green View Homes
ibd hallmark citii,mahawadiya,Flat,22.0,2200,2.0,,3,2,0,1000.0,0,0,0,0,0,0,1,25,Amenity Facing Homes
dwarka dham society,karond,Flat,25.99,3527,3.0,East,2,2,2,737.0,0,0,0,0,0,0,1,22,Road Facing Homes
agrawal sagar golden palm,katara hills,Flat,25.0,3703,0.0,,2,2,1,675.0,0,0,0,0,0,0,1,59,Amenity Facing Homes
bypass road,bypass road,House,50.0,2500,1.0,,4,3,0,2000.0,0,0,0,0,0,0,1,0,Green View Homes
keelandev apartments,central bhopal,Flat,199.99,11331,4.0,West,3,3,2,1765.0,0,1,0,0,0,0,0,35,Premium Scenic Homes
baba better homes,bawadia kalan,Flat,22.0,2933,3.0,North,2,2,1,750.0,0,0,0,0,1,0,1,14,Road Facing Homes
aastha heights,navi bagh,Flat,11.5,2090,2.0,,1,1,1,550.0,0,0,0,0,0,0,1,10,Green View Homes
j k town kolar,kolar road,House,399.99,26666,3.0,,2,1,0,1500.0,0,0,0,0,0,0,0,0,Road Facing Homes
fortune soumya heritage,misrod,Flat,20.0,2985,3.0,,2,1,1,670.0,0,0,0,0,0,0,1,73,Amenity Facing Homes
lakherapura,peer gate area,House,340.89,11363,2.0,East,4,5,0,3000.0,0,0,1,1,0,0,0,20,Road Facing Homes
regal treasure,ayodhya bypass,Flat,32.86,5975,3.0,South-West,1,1,2,550.0,0,0,0,0,0,0,0,35,Road Facing Homes
windsor aralia,kolar road,Flat,49.98,3423,5.0,West,3,1,3,1460.0,0,0,0,1,1,0,1,57,Premium Scenic Homes
rohit nagar phase-2,bawadia kalan,House,305.0,10000,2.0,North,4,4,1,3050.0,1,0,0,1,0,0,1,24,Green View Homes
bagmugaliya,bagmugaliya,House,166.66,8333,2.0,West,3,3,1,2000.0,0,0,0,1,0,0,1,25,Green View Homes
mansa vaidyanath dham,navi bagh,Flat,20.85,2751,2.0,East,2,2,2,758.0,0,0,0,0,0,0,2,19,Road Facing Homes
