pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Overlooking,Property Age,furnishing,features,ratings,Facing,Possession in
"2 BHK Flat in Patel Nagar, Bhopal",Archana Balaji Towers,₹28 Lac,"₹3,500 /sqft",Ready To Move,Ground floor 2bhk comfort living & great rental returns!,"Super Built up area 800
(74.32 sq.m.)
Carpet area: 700 sq.ft. (65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 28 Lac+ Govt Charges & Tax
@ 3,500 per sq.ft. (Negotiable)","Archana Balaji Towers
Patel Nagar, Bhopal",Ground of 3 Floors,,5 to 10 Year Old,"['4 Fan', '6 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Internet/wi-fi connectivity']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"4 BHK Flat in Patel Nagar, Bhopal",Archana Balaji Towers,₹57 Lac,"₹2,850 /sqft",Ready To Move,Spacious 4 bhk ground-Floor flat with 2000 sq.Ft. Super built-Up area featuring:,"Super Built up area 2000
(185.81 sq.m.)
Built Up area: 1500 sq.ft. (139.35 sq.m.)
Carpet area: 1300 sq.ft. (120.77 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3 Balconies","₹ 57 Lac+ Govt Charges & Tax
@ 2,850 per sq.ft. (Negotiable) View Price Details","Archana Balaji Towers
Patel Nagar, Bhopal",Ground of 3 Floors,,5 to 10 Year Old,[],"['Water purifier', 'Water Storage', 'Internet/wi-fi connectivity']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"2 BHK Flat in Hoshangabad Road, Bhopal",Lakhumal Nikhil Nestles,₹35 Lac,"₹4,117 /sqft",Ready To Move,"2 bhk fully furnished flat for sale in nikhil nestle apartments Asking price: 35.49 lakh Location: Nikhil nestle apartments, hoshangabad road, near ashima mall, bhopal Property details: Type: Ready-To-Move 2bhk flat Property age: 9-10 years Super built-Up area: 1200 sq. Ft. Built-Up area: 950 sq. Ft. Floor: 6th (Top floor in a 6-Floor building) Flat facing : Corner, north-East Ownership: Freehold Current society maintenance: 1,500/month Features: Fully furnished: Omodular kitchen Otwo double beds O2-Ton daikin split ac in the master bedroom Obuilt-In wardrobes Odressing table Olg fridge, led tv, washing machine Ogas stove, center table O5-Seater sofa set Oceiling fans, proper lighting, curtains, daily use utensils etc. Parking: Otwo vehicles (One covered parking + one open parking) Unique selling points (Usp): Rental income: Currently rented out, generating a rental income of 18,000/month (+ maintenance) In-Campus facilities: Osecure campus with ample cctv coverage and security guards Olift, gym, garden, tennis area, kids' park, walking track, and maintenance staff O24x7 water supply and thnik gas pipeline. Nearby amenities: Close proximity to restaurants, shopping malls, schools, hospitals, local markets, and habibganj railway station Landmark: Near ashima mall, turn towards vrindavan garden or hotel efotel by sayaji Approach: Just 800 meters from the main hoshangabad road. Contact : Alok singh (Property owner) Call : Eight nine eight nine one five two six five three.","Super Built up area 1200
(111.48 sq.m.)
Built Up area: 950 sq.ft. (88.26 sq.m.)
Carpet area: 850 sq.ft. (78.97 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies
View Floor Plan","₹ 35 Lac+ Govt Charges & Tax
@ 4,117 per sq.ft. (All inclusive, Negotiable) View Price Details","Lakhumal Nikhil Nestles
Hoshangabad Road, Bhopal",6th   of 6 Floors,"Park/Garden,Club,Main Road,Others",5 to 10 Year Old,"['1 Water Purifier', '3 Fan', '1 Fridge', '1 Exhaust Fan', '1 Stove', '10 Light', '1 AC', '1 TV', '1 Modular Kitchen', '1 Curtains', '2 Bed', '2 Wardrobe', '1 Sofa', '1 Washing Machine', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Microwave']","['Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",North-East,
"2 BHK Flat in Katara Hills, Bhopal",Bhojpal Shree Krishna Heights,₹35 Lac,"₹2,777 /sqft",Ready To Move,Flat 2 bhk free hold flat . On main road katara hills . Super built up 1260 sq ft.,"Super Built up area 1260
(117.06 sq.m.)
Built Up area: 900 sq.ft. (83.61 sq.m.)
Carpet area: 800 sq.ft. (74.32 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies
View Floor Plan","₹ 35 Lac+ Govt Charges & Tax
@ 2,777 per sq.ft. (Negotiable)","Bhojpal Shree Krishna Heights
Katara Hills, Bhopal",2nd   of 7 Floors,Main Road,5 to 10 Year Old,[],"['Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North-West,
"3 BHK Flat in Mahawadiya, Bhopal",IBD Hallmark Citii,₹22 Lac,"₹2,200 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in ibd hallmark citii, mahawadiya, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 1000 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, No Balcony","₹ 22 Lac
@ 2,200 per sq.ft.","IBD Hallmark Citii
Mahawadiya, Bhopal",2nd   of 4 Floors,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Bawadia Kalan, Bhopal",Mahendra Square,₹55 Lac,"₹7,133 /sqft",Ready To Move,"2 bhk fully furnished flat for sale | mahendra square, bawadiya kalan, bhopal","Super Built up area 771
(71.63 sq.m.)
Carpet area: 600 sq.ft. (55.74 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies with Pooja Room","₹ 55 Lac
@ 7,133 per sq.ft. (All inclusive)","Mahendra Square
Bawadia Kalan, Bhopal",1st   of 3 Floors,,5 to 10 Year Old,"['1 Water Purifier', '5 Fan', '1 Fridge', '1 Exhaust Fan', '1 Geyser', '1 Stove', '10 Light', '1 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '1 Bed', '2 Wardrobe', '1 Sofa', 'No Dining Table', 'No Microwave', 'No Washing Machine']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Transport Nagar, Bhopal",transport,₹40 Lac,"₹5,000 /sqft",Ready To Move,3bhk semi furnished with transport nagar highway,"Carpet area: 800
(74.32 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 40 Lac
@ 5,000 per sq.ft. (All inclusive)","transport
Transport Nagar, Bhopal",1st   of 2 Floors,,0 to 1 Year Old,[],[],[],,
"2 BHK Flat in Saket Nagar, Bhopal",Yashoda Apartment,₹25 Lac,"₹4,545 /sqft",Ready To Move,"2bhk flat(Renovated) @ saket nagar sector 2c, walking distance from aiims. Equipped with 2 ceiling fans in hall, ceiling fan in each bed room, exhaust fan in kitchen, modular switches, surface ceiling light, geyser in bathroom, almirah in bed room and kitchen . Apartment covered with lush green environment, neat and clean vicinity. Total nos. Of flat - 6","Carpet area: 550
(51.1 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac
@ 4,545 per sq.ft.","Yashoda Apartment
Saket Nagar, Bhopal",2nd   of 2 Floors,,10+ Year Old,"['4 Fan', '1 Exhaust Fan', '1 Geyser', '12 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Barkhera Pathani, Bhopal",Surabhi Smart City,₹85 Lac,"₹8,095 /sqft",Under Construction,The project is situated on main road near awadhpuri police station,"Carpet area: 1050
(97.55 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 85 Lac+ Govt Charges & Tax
@ 8,095 per sq.ft.","Surabhi Smart City
Barkhera Pathani, Bhopal",8th   of 8 Floors,"Park/Garden,Club,Main Road",,[],"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",[],,Dec 2026
"3 BHK Flat in Bawadia Kalan, Bhopal",Ikon Kanha Greens,₹42 Lac,"₹2,593 /sqft",Under Construction,"It is a residential flat available for sale. Basic amenities include 24 hours power back-Up, Vastu compatible construction, Large and well lit bedrooms, Reserved parking space. Well known hospitals, Clinics, Railway station, Shopping malls, Gym are available nearby.","Built Up area: 1620
(150.5 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, No Balcony","₹ 42 Lac
@ 2,593 per sq.ft.","Ikon Kanha Greens
Bawadia Kalan, Bhopal",4th   of 6 Floors,,Under Construction,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Fatehgarh, Bhopal","Silver Sand Heights, Bhopal",₹27 Lac,"₹4,153 /sqft",Ready To Move,"Property is located in a prime location, close to main road, near hamidia hospital, bhopal having access to main market and hamidia hospital at walking distance and ease of public transport","Built Up area: 650
(60.39 sq.m.)
Carpet area: 550 sq.ft. (51.1 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 27 Lac+ Govt Charges & Tax
@ 4,153 per sq.ft. (All inclusive, Negotiable)","Silver Sand Heights, Bhopal
Fatehgarh, Bhopal",3rd   of 3 Floors,,5 to 10 Year Old,[],[],[],,
"3 BHK Flat in Parthsarthy Enclave, Bhopal",Landmark The Prospera,₹58 Lac,"₹3,515 /sqft",Ready To Move,"3 bhk north facing primium flat main door at n4 (As per vastu) , modern saint gobin false ceiling, 2 bathrooms with western toilet and jaguar fittings , acrylic modular kitchen with kutchina chimney fitting and ro water purifier , 24 hours water supply , 24 hours lift facility, 860 feet long lobby area , designer fans ,wooden panelling on all doors and wooden tv unit, wooden crockery unit , garden facing balcony , gas pipe line fitting.","Carpet area: 1650
(153.29 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 58 Lac
@ 3,515 per sq.ft. (Negotiable)","Landmark The Prospera
Parthsarthy Enclave, Bhopal",3rd   of 6 Floors,"Park/Garden,Club,Others",1 to 5 Year Old,"['1 Water Purifier', '5 Fan', '1 Exhaust Fan', '2 Geyser', '30 Light', '1 Modular Kitchen', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Swimming Pool', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']",[],North,
"2 BHK Flat in Trilanga, Bhopal",Aura Mall,₹30 Lac,"₹3,52,941 /sqft",Ready To Move,Bhopal ki prime location or walking distance per hi aura mall hai market hai..Or flat me 2 entry gate hai piche ek badi se gallery hai jisse aap ped lagane k liye ya ek room alag se bana sakte hai.Jo kharidne me intrested hai wahi sampark kare,"Carpet area: 8.5
(0.79 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 30 Lac
@ 3,52,941 per sq.ft.","Aura Mall
Trilanga, Bhopal",Ground of 3 Floors,,10+ Year Old,[],[],[],South,
"3 BHK Flat in Chuna Bhatti, Bhopal",Agrawal Sagar Campus,₹45 Lac,"₹3,000 /sqft",Ready To Move,"Good location, all amenities nearby, secured campus","Super Built up area 1500
(139.35 sq.m.)
Carpet area: 1200 sq.ft. (111.48 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 45 Lac
@ 3,000 per sq.ft. (All inclusive)","Agrawal Sagar Campus
Chuna Bhatti, Bhopal",3rd   of 3 Floors,,10+ Year Old,"['3 Wardrobe', '4 Fan', '15 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage', 'No open drainage around', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Gandhinagar, Bhopal",Rishikesh Nirmaan The Bellaire Mint,₹70 Lac,"₹5,833 /sqft",Ready To Move,"3 year old property. 3 bhk fully furnished apartment with 2 hall and 3 bedrooms, 1 common bathroom and 1 attached in master bedroom. Modular kitchen with chimney, beautiful temple in one hall, wash area, covered car parking.","Super Built up area 1499
(139.26 sq.m.)
Built Up area: 1400 sq.ft. (130.06 sq.m.)
Carpet area: 1200 sq.ft. (111.48 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 70 Lac
@ 5,833 per sq.ft. (All inclusive, Negotiable)","Rishikesh Nirmaan The Bellaire Mint
Gandhinagar, Bhopal",2nd   of 7 Floors,"Park/Garden,Main Road",1 to 5 Year Old,"['1 Water Purifier', '8 Fan', '1 Fridge', '1 Dining Table', '1 Stove', '30 Light', '2 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Bed', '3 Wardrobe', '1 Sofa', '1 Washing Machine', 'No AC', 'No Exhaust Fan', 'No Geyser', 'No Microwave']","['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Nayapura, Bhopal",DK Bridge Tower,₹48 Lac,"₹3,692 /sqft",Ready To Move,"This beautiful 3 bhk flat in nayapura, bhopal is situated in dk bridge tower, one of the popular residential society in bhopal. The flat occupies a carpet area of 1300 sq.Ft. That consists of 3 bedrooms, 2 bathrooms and 2 balconies. This flat is situated on the 5th floor of this 6 floors tall residential building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move. The flat will offer a modern lifestyle as it is presented with many of the amenities such as park, cctv surveillance and lift(s).","Carpet area: 1300
(120.77 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 48 Lac
@ 3,692 per sq.ft.","DK Bridge Tower
Nayapura, Bhopal",5th   of 6 Floors,,1 to 5 Year Old,"['3 Fan', '3 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Park']",[],,
"2 BHK Flat in Raghunath Nagar, Bhopal",Neeraj Nagar bawadia kalan,₹46 Lac,"₹5,750 /sqft",Ready To Move,"2bhk full furnished flat with 3 bath 2 balconies, moduler kitchen, ac, geyser, cctv, automatic glass lift, near shahpura thana bawadiya kalan Full ventilated no need of light in day time Great location Right now on rent of 20k","Carpet area: 800
(74.32 sq.m.)  
sq.ft.","2 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 46 Lac
@ 5,750 per sq.ft.","Neeraj Nagar bawadia kalan
Raghunath Nagar, Bhopal",2nd   of 4 Floors,,1 to 5 Year Old,"['1 Water Purifier', '4 Fan', '1 Fridge', '1 Exhaust Fan', '2 Geyser', '25 Light', '1 AC', '1 Modular Kitchen', '1 Curtains', '1 Bed', '1 Wardrobe', '1 Sofa', 'No Chimney', 'No Dining Table', 'No Microwave', 'No Stove', 'No TV', 'No Washing Machine']",['Lift(s)'],[],East,
"2 BHK Flat in Trilanga, Bhopal",Fortune Pride Extension,₹30 Lac,₹352 /sqft,Ready To Move,"This property is located in the posh area of bhopal. Everything is nearby, including new market, hoshangabad road, and nilbad. What's most interesting is that there's a huge market, shivoy, aura mall, and kolar market, all within close proximity. Additionally, the flat is on the ground floor and has two open galleries that can be used separately in the future.","Carpet area: 8500
(789.68 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 30 Lac
@ 352 per sq.ft.","Fortune Pride Extension
Trilanga, Bhopal",Ground of 3 Floors,,10+ Year Old,[],[],[],,
"4 BHK Flat in Lalghati, Bhopal",Shri Parasnath Sheetal Tower,₹62 Lac,"₹4,769 /sqft",Ready To Move,"Looking for a 4 bhk property for sale in bhopal? Buy this 4 bhk flat in shri parasnath sheetal tower that is situated in lalghati, bhopal. Containing 4 bedroom(s), 3 bathrooms and 3 balconies, this flat is spread over a carpet area of 1300 sq.Ft. This flat is situated on the 2nd floor of this 6 floors tall residential building. An added advantage of this 5-10 years old flat is that it is available for immediate possession as the project is already ready to move. The well built vitrified flooring enhances the aesthetic appeal of this flat. The society complex is in the close vicinity of close to school, close to hospital, close to market and close to railway station, making it an ideal home for a relaxed lifestyle. Many of the modern amenities being offered, like lift(s), security personnel, maintenance staff and park, will provide a pleasant living experience for you. The project provides a continuous supply of water to its flats.","Carpet area: 1300
(120.77 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 3 Balconies with Others","₹ 62 Lac
@ 4,769 per sq.ft. (Negotiable)","Shri Parasnath Sheetal Tower
Lalghati, Bhopal",2nd   of 6 Floors,,5 to 10 Year Old,"['5 Fan', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Park', 'Security Personnel', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Shirdipuram, Bhopal",Signature Residency,₹65 Lac,"₹5,225 /sqft",Ready To Move,"3bhk 3toilet big size flat specious rooms east facing balcony front side view modular kitchen and wooden almirah, in campus club house, jym, swimming pool, kids play area, temple and market area.","Super Built up area 1244
(115.57 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 65 Lac+ Govt Charges & Tax
@ 5,225 per sq.ft. (Negotiable) View Price Details","Signature Residency
Shirdipuram, Bhopal",3rd   of 6 Floors,"Pool,Park/Garden,Club,Main Road",5 to 10 Year Old,[],"['Security / Fire Alarm', 'Power Back-up', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",[],East,
"2 BHK Flat in Peer Gate Area, Bhopal",husna apartment,₹16 Lac,"₹2,667 /sqft",Ready To Move,Residential apartment for sell.The property has 2 bedrooms with 2 bathrooms .It is a furnished property.Located in peer gate area.Available at an expected price of rs 1600000.Located on ground floor out of the 6 the property comes with a good construction quality which ages 1-5 years old property.2wheeler parking is available.,"Super Built up area 600
(55.74 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 16 Lac+ Govt Charges & Tax
@ 2,667 per sq.ft. (Negotiable)","husna apartment
Peer Gate Area, Bhopal",Ground of 6 Floors,,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Trilanga, Bhopal",Sheena Apartments,₹30 Lac,"₹5,000 /sqft",Ready To Move,"24x7 water from borewell, 40 feet wide road, only 4 flats, ample sunlight, west facing,","Carpet area: 600
(55.74 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 30 Lac+ Govt Charges & Tax
@ 5,000 per sq.ft. (Negotiable)","Sheena Apartments
Trilanga, Bhopal",1st   of 2 Floors,Main Road,10+ Year Old,[],"['Water Storage', 'No open drainage around', 'Recently Renovated', 'Airy Rooms', 'Low Density Society']",[],West,
"1 BHK Flat in Ayodhya Bypass , Bhopal",Raj Minal Residency,₹25 Lac,"₹5,000 /sqft",Ready To Move,"We are the proud owners of this 1 bhk apartment available in raj minal residency, ayodhya bypass , bhopal. This it is a and the unit is located on 3rd floor and has a super built-Up area of 500 sq.Ft. . It has 1 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 500
(46.45 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 25 Lac
@ 5,000 per sq.ft.","Raj Minal Residency
Ayodhya Bypass , Bhopal",3rd   of 4 Floors,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Salaiya, Bhopal",Shiva Whispering Woods,₹51 Lac,"₹4,857 /sqft",Ready To Move,"Secured covered campus, fully ventilated, sunlight, green gardens, reserved parking. Temple, club house, lawn facing","Super Built up area 1350
(125.42 sq.m.)
Carpet area: 1050 sq.ft. (97.55 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 51 Lac
@ 4,857 per sq.ft. (All inclusive, Negotiable)","Shiva Whispering Woods
Salaiya, Bhopal",2nd   of 6 Floors,"Club,Park/Garden,Others",5 to 10 Year Old,[],"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Natural Light', 'Airy Rooms']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North-East,
"1 BHK Flat in Nehru Nagar , Bhopal",LIG Flats,₹15 Lac,"₹3,488 /sqft",Ready To Move,Very prime location nehru nagar only 3 km new market 5 km mp nagar to kilometre hotel taj,"Built Up area: 430
(39.95 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 15 Lac
@ 3,488 per sq.ft. (Negotiable)","LIG Flats
Nehru Nagar , Bhopal",1st   of 1 Floors,,10+ Year Old,"['2 Fan', '2 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Hoshangabad Road, Bhopal",Raksha Eden Park,₹45 Lac,"₹2,812 /sqft",Ready To Move,"Check out this 3 bhk apartment for sale in raksha eden park, a popular residential project that houses in-Demand flats in hoshangabad road, bhopal. This property faces the west direction. Constructed on a super built up area of 1600 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 3 balconies. The property is located on the 2nd floor of a 6 floors tall building. This is a ready to move project and the property is 1-5 years old. The flat comes well built with ceramic flooring options. Proximity to landmarks like close to metro station, close to school, close to market and close to hospital makes this an ideal property for families. Many of the modern amenities being offered, like fitness centre / gym, club house / community center, park and lift(s), will provide a pleasant living experience for you. The society provides continuous water supply from municipal corporation and borewell/tank.","Super Built up area 1600
(148.64 sq.m.)
Built Up area: 1110 sq.ft. (103.12 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 45 Lac
@ 2,812 per sq.ft. (Negotiable) View Price Details","Raksha Eden Park
Hoshangabad Road, Bhopal",2nd   of 6 Floors,"Park/Garden,Main Road",1 to 5 Year Old,"['2 Wardrobe', '3 Fan', '1 Geyser', '2 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,
"2 BHK Flat in Phase 2, Misrod, Bhopal",Aaren Bhagwan Parisar,₹28 Lac,"₹3,294 /sqft",Ready To Move,"Misrod, just 200 metres from main hoshangabad road","Carpet area: 850
(78.97 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 28 Lac
@ 3,294 per sq.ft. (All inclusive)","Aaren Bhagwan Parisar
, Bhopal",4th   of 6 Floors,Main Road,1 to 5 Year Old,[],"['Lift(s)', 'Maintenance Staff', 'Park', 'Visitor Parking']",[],,
"2 BHK Flat in Bharat Nagar, Indrapuri, Bhopal",Siddharth Enclave,₹16.5 Lac,"₹3,273 /sqft",Ready To Move,"Very good location , school market main road hotel hospital nera by","Carpet area: 504
(46.82 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 16.5 Lac
@ 3,273 per sq.ft. (Negotiable) View Price Details","Siddharth Enclave
Bharat Nagar, Indrapuri, Bhopal",3rd   of 3 Floors,Main Road,10+ Year Old,[],"['Security / Fire Alarm', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Internet/wi-fi connectivity']",[],East,
"2 BHK Flat in Kolar Road, Bhopal",Siddharth Tower,₹20 Lac,"₹3,333 /sqft",Ready To Move,Spacious design open green area with prime location dmart near 1 km,"Super Built up area 800
(74.32 sq.m.)
Carpet area: 600 sq.ft. (55.74 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 20 Lac
@ 3,333 per sq.ft. (Negotiable)","Siddharth Tower
Kolar Road, Bhopal",5th   of 5 Floors,Park/Garden,1 to 5 Year Old,[],"['Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'Park']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,
"2 BHK Flat in Dr A S Rao Nagar Colony, Bhopal",oceanic towers,₹28 Lac,"₹3,733 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in oceanic towers, dr a s rao nagar colony, bhopal. This it is a and the unit is located on 3rd floor and has a super built-Up area of 750 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 750
(69.68 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 28 Lac
@ 3,733 per sq.ft.","oceanic towers
Dr A S Rao Nagar Colony, Bhopal",3rd   of 3 Floors,,5 to 10 Year Old,[],[],[],,
