pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Facing,Overlooking,Property Age,furnishing,features,ratings,Possession in
"3 Bedroom House for sale in Kolar Road, Bhopal","Kolar Road, Bhopal",₹65 Lac,"₹7,222 /sqft",Ready To Move,"We are proud owners of house/villa available for sale in kolar road, bhopal. Available at price of rs 65 lacs. It has plot area of 900 sq ft. It has 3 bhk, 2 bathroom, 1 balcony.It is a freehold property","Plot area 900
(83.61 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 65 Lac
@ 7,222 per sq.ft.","Kolar Road, Bhopal",2 Floors,,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"4 Bedroom House for sale in Kalpana Nagar, Bhopal","Kalpana Nagar, Bhopal",₹1.5 Cr,"₹7,500 /sqft",Ready To Move,Independent home with two car parking with small garden infront of garden view,"Plot area 2000
(185.81 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Pooja Room","₹ 1.5 Crore
@ 7,500 per sq.ft. (All inclusive, Negotiable)","Kalpana Nagar, Bhopal",2 Floors,South-East,,10+ Year Old,[],"['Private Garden / Terrace', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 Bedroom House for sale in Priyanka Nagar, Bhopal","Priyanka Nagar, Bhopal",₹35 Lac,"₹3,500 /sqft",Ready To Move,"Corner property, well connected location","Plot area 500
(46.45 sq.m.)
Carpet area: 1000 sq.ft. (92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac
@ 3,500 per sq.ft. (Negotiable)","Priyanka Nagar, Bhopal",1 Floors,East,Park/Garden,10+ Year Old,[],"['Private Garden / Terrace', 'Water Storage']",[],
"3 Bedroom House for sale in Kolar Road, Bhopal",Royal Estate,₹65 Lac,"₹6,500 /sqft",Ready To Move,Looking for a ready-To-Move home. Stop your search here. Grab the golden opportunity near kolar 6 lane. Bhopal.,"Plot area 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 65 Lac
@ 6,500 per sq.ft. (Negotiable)","Royal Estate
Kolar Road, Bhopal",2 Floors,South,Main Road,5 to 10 Year Old,[],"['Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Security Personnel']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 Bedroom House for sale in Awadhpuri, Bhopal","Awadhpuri, Bhopal",₹1.5 Cr,"₹11,261 /sqft",Ready To Move,Interested to sell independent house/villa.Placed at awadhpuri.Nice unfurnished enhancing decorit has spacious 3 bedrooms and 2 bathrooms. .Want to sell it for rs 15000000.It is a 10 years old property construction good location facing 50 feet road,"Plot area 1332
(123.75 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 1.5 Crore
@ 11,261 per sq.ft.","Awadhpuri, Bhopal",2 Floors,,,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 Bedroom House for sale in Hoshangabad Road, Bhopal",Aakriti Aqua City,₹45 Lac,"₹5,625 /sqft",Ready To Move,"Newly constructed with plot size 800 sq ft and build up area 1560 sqft 3 bhk duplex house in covered campus with good quality constructionand house covered with front shade and back shade, separate temple space, rustic work, parryware sanitary items, fall ceiling,mumti with all amenities covered campus society temple garden etc","Plot area 800
(74.32 sq.m.)
Built Up area: 1560 sq.ft. (144.93 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony with Pooja Room,Study Room","₹ 45 Lac+ Govt Charges & Tax
@ 5,625 per sq.ft. (Negotiable)","Aakriti Aqua City
Hoshangabad Road, Bhopal",2 Floors,West,Park/Garden,0 to 1 Year Old,[],['Park'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 Bedroom House for sale in Bairagarh, Bhopal","Bairagarh, Bhopal",₹48 Lac,"₹8,000 /sqft",Ready To Move,"Are you planning to buy your dream home? You can consider this well-Built 2 bhk house for sale in bairagarh, bhopal and make it your new address. The house has over carpet area of 600 sq.Ft. And comes with 2 bedrooms, 2 bathrooms and 2 balconies. Another added advantage of this 1-5 years old house is that it is available for immediate possession. The type of ownership of this property is freehold. By paying just 48 lac, you can become the proud owner of this independent house.","Carpet area: 600
(55.74 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 48 Lac
@ 8,000 per sq.ft. View Price Details","Bairagarh, Bhopal",1 Floors,,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",undefined
"5 Bedroom House for sale in Indra Vihar Colony, Bhopal","Indra Vihar Colony, Bhopal",₹1 Cr,"₹10,000 /sqft",Ready To Move,"Wishing to settle down in an individual house with your family? This well-Built and spacious 5 bhk house for sale in indra vihar colony, bhopal seems to be an ideal choice for a peaceful abode for a family. The floor plan additionally contains 5 bedrooms, 5 bathrooms . All in all, the independent house is spread over a built up area of 1000 sq.Ft. Another added advantage of this 0-1 year old house is that it is available for immediate possession. The type of ownership of this property is freehold. This spacious house can be all yours at an attractive price of 1 crore.","Built Up area: 1000
(92.9 sq.m.)  
sq.ft.","5 Bedrooms , 5 Bathrooms, No Balcony","₹ 1 Crore
@ 10,000 per sq.ft.","Indra Vihar Colony, Bhopal",3 Floors,,,,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",undefined
"3 Bedroom House for sale in Vidisha Road, Bhopal",Bhavishya Metro City,₹38.99 Lac,"₹2,650 /sqft",Ready To Move,"Bhavishya metro city sector b, located in bhopal, is one of the residential developments of bhavishya builder. It offers plots. The project is well equipped with all the amenities to facilitate the needs of the residents. Plots range starts from 6.99 lacs. Bungalow range from 13.50 - 37 lacs. Features Integrated community with 24x7 security Boundary wall Indoor games High quality a class construction Pollution free environment Wide cement concrete roads Underground electrification Roadside plantation Water supply through overhead tank Layout approved by town and country planning",,,,,,,,,[],[],"[{'Connectivity': '3.5 out of 5'}, {'Lifestyle': '3.8 out of 5'}, {'Safety': '3.6 out of 5'}, {'Green Area': '3.7 out of 5'}]",
"2 Bedroom House for sale in Vidisha Road, Bhopal",Bhavishya Metro City,₹24.99 - 27.99 Lac,"₹3,266 /sqft",Ready To Move,"Bhavishya metro city sector b, located in bhopal, is one of the residential developments of bhavishya builder. It offers plots. The project is well equipped with all the amenities to facilitate the needs of the residents. Plots range starts from 6.99 lacs. Bungalow range from 13.50 - 37 lacs. Features Integrated community with 24x7 security Boundary wall Indoor games High quality a class construction Pollution free environment Wide cement concrete roads Underground electrification Roadside plantation Water supply through overhead tank Layout approved by town and country planning",,,,,,,,,[],[],"[{'Connectivity': '3.5 out of 5'}, {'Lifestyle': '3.8 out of 5'}, {'Safety': '3.6 out of 5'}, {'Green Area': '3.7 out of 5'}]",
"4 Bedroom House for sale in Shahpura, Bhopal","Shahpura, Bhopal",₹45 Lac,"₹4,090 /sqft",Ready To Move,"Check out this 4 bhk house for sale in shahpura, a popular residential locality that contains many of the in-Demand properties in bhopal. The floor plan additionally contains 4 bedrooms, 2 bathrooms . All in all, the independent house is spread over a built up area of 1100 sq.Ft. This is a ready to move house, which is 0-1 year old. The ownership right of this property is freehold. The price of this spacious independent house is 45 lac.","Built Up area: 1100
(102.19 sq.m.)  
sq.ft.","4 Bedrooms , 2 Bathrooms, No Balcony","₹ 45 Lac
@ 4,090 per sq.ft.","Shahpura, Bhopal",1 Floors,,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",undefined
"3 Bedroom House for sale in Gopal Nagar, Bhopal","Gopal Nagar, Bhopal",₹56 Lac,"₹6,363 /sqft",Ready To Move,"Covered campus, car parking, one entry exit","Plot area 880
(81.75 sq.m.)
Carpet area: 1250 sq.ft. (116.13 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 56 Lac
@ 6,363 per sq.ft.","Gopal Nagar, Bhopal",2 Floors,,,10+ Year Old,"['2 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],[],
"5 Bedroom House for sale in Bagmugaliya, Bhopal","Bagmugaliya, Bhopal",₹1.25 Cr,"₹15,463 /sqft",Ready To Move,Urgent..Main 80 ft road near by ashima mall and aiims and kamlapati station,"Plot area 970
(90.12 sq.m.)  
sq.ft.","5 Bedrooms , 4 Bathrooms, 3 Balconies with Servant Room","₹ 1.25 Crore
@ 15,463 per sq.ft.","Bagmugaliya, Bhopal",2 Floors,West,Main Road,0 to 1 Year Old,"['2 Wardrobe', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 Bedroom House for sale in Nehru Nagar , Bhopal",Aakriti Garden,₹1.75 Cr,"₹7,000 /sqft",Ready To Move,"On the lookout for a spacious house in bhopal? Go for this 3 bhk house for sale in nehru nagar, a well-Connected locality within bhopal. The house has over carpet area of 2500 sq.Ft. And comes with 3 bedrooms, 3 bathrooms and 2 balconies. This is a ready to move house, which is 1-5 years old. The ownership right of this property is freehold. This spacious house can be all yours at an attractive price of 1.75 crore. The house provides a continuous supply of water for its residents. This is a west-Facing property.","Carpet area: 2500
(232.26 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 1.75 Crore
@ 7,000 per sq.ft. View Price Details","Aakriti Garden
Nehru Nagar , Bhopal",1 Floors,West,,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",undefined
"3 Bedroom House for sale in Kolar Road, Bhopal","Kolar Road, Bhopal",₹45 Lac,"₹3,333 /sqft",Ready To Move,"Are you planning to buy your dream home? You can consider this well-Built 3 bhk house for sale in kolar road, bhopal and make it your new address. The floor plan additionally contains 3 bedrooms, 3 bathrooms . All in all, the independent house is spread over a built up area of 1350 sq.Ft. As the property is already ready to move, so you can easily move into this 0-1 year old house. This house is owned under freehold contract. The price of this spacious independent house is 45 lac.","Built Up area: 1350
(125.42 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, No Balcony","₹ 45 Lac
@ 3,333 per sq.ft.","Kolar Road, Bhopal",1 Floors,,,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",undefined
"3 Bedroom House for sale in Ayodhya Nagar, Bhopal","Ayodhya Nagar, Bhopal",₹92 Lac,"₹8,363 /sqft",Ready To Move,"Looking to buy an independent house in bhopal? Do check out this 3 bhk house in ayodhya nagar, which is an ideal choice for a family. This house occupies a super built up area of 1100 sq.Ft. And contains 3 bedrooms, 3 bathrooms . As the property is already ready to move, so you can easily move into this 0-1 year old house. This house is owned under freehold contract. This spacious house can be all yours at an attractive price of 92 lac.","Plot area 1100
(102.19 sq.m.)
Built Up area: 2200 sq.ft. (204.39 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, No Balcony","₹ 92 Lac
@ 8,363 per sq.ft.","Ayodhya Nagar, Bhopal",2 Floors,,,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",undefined
"2 Bedroom House for sale in BDA Colony, Bhopal","BDA Colony, Bhopal",₹75 Lac,"₹4,518 /sqft",Ready To Move,"Discover this exceptional 2 bhk corner property nestled within a secure, gated community in bhopal. Spanning a total registered area of 1,660 sq. Ft., the estate comprises a 1,000 sq. Ft. Residence complemented by a 660 sq. Ft. Garden adorned with five flourishing mango trees, all enclosed by a sturdy boundary wall.","Plot area 1660
(154.22 sq.m.)
Built Up area: 1000 sq.ft. (92.9 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, No Balcony with Pooja Room,Store Room","₹ 75 Lac+ Govt Charges & Tax
@ 4,518 per sq.ft.","BDA Colony, Bhopal",0 Floors,,,5 to 10 Year Old,[],"['Private Garden / Terrace', 'Rain Water Harvesting']",[],
"11 Bedroom House for sale in Bagh Umrao Dulha, Bhopal","Bagh Umrao Dulha, Bhopal",₹1.25 Cr,"₹10,416 /sqft",Ready To Move,"House sell near railway station, three shops on main road, eleven room and kitchen, main road property in main city.","Plot area 1200
(111.48 sq.m.)  
sq.ft.","11 Bedrooms , 11 Bathrooms, 2 Balconies","₹ 1.25 Crore
@ 10,416 per sq.ft. (All inclusive)","Bagh Umrao Dulha, Bhopal",3 Floors,,,10+ Year Old,[],[],[],
"8 Bedroom House for sale in Aradhana Nagar, Bhopal","Aradhana Nagar, Bhopal",₹2 Cr,"₹8,333 /sqft",Ready To Move,Very good alivation and construction,"Plot area 2400
(222.97 sq.m.)  
sq.ft.","8 Bedrooms , 6 Bathrooms, 1 Balcony","₹ 2 Crore+ Govt Charges & Tax
@ 8,333 per sq.ft.","Aradhana Nagar, Bhopal",2 Floors,North,,10+ Year Old,[],[],[],
"4 Bedroom House for sale in Ashoka Garden, Bhopal","Ashoka Garden, Bhopal",₹1.05 Cr,"₹4,200 /sqft",Ready To Move,A 4 bedroom independent house (15 ft by 60 ft) with 3 phase electricity and narmada jal connection ( 2 halls and 2 kitchens),"Built Up area: 2500
(232.26 sq.m.)  
sq.ft.","4 Bedrooms , 5 Bathrooms, 1 Balcony","₹ 1.05 Crore+ Govt Charges & Tax
@ 4,200 per sq.ft. (Negotiable)","Ashoka Garden, Bhopal",3 Floors,East,,10+ Year Old,[],"['False Ceiling Lighting', 'Water Storage', 'Natural Light', 'Airy Rooms', 'Spacious Interiors']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"4 Bedroom House for sale in Shahid Nagar Colony, Bhopal","Shahid Nagar Colony, Bhopal",₹80 Lac,"₹3,200 /sqft",Ready To Move,Our house is built up in friendly locality with many kind of services like hospital etc things are near by our house,"Plot area 2500
(232.26 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 80 Lac+ Govt Charges & Tax
@ 3,200 per sq.ft. (All inclusive, Negotiable)","Shahid Nagar Colony, Bhopal",2 Floors,,,10+ Year Old,[],[],[],
"13 Bedroom House for sale in Lalita Nagar, Bhopal","Lalita Nagar, Bhopal",₹1.25 Cr,"₹5,208 /sqft",Ready To Move,"8 flats currently rental income 45,000/- Per month","Plot area 2400
(222.97 sq.m.)
Built Up area: 7000 sq.ft. (650.32 sq.m.)
Carpet area: 6800 sq.ft. (631.74 sq.m.)  
sq.ft.","13 Bedrooms , 12 Bathrooms, 2 Balconies with Pooja Room,Study Room,Servant Room,Others","₹ 1.25 Crore+ Govt Charges & Tax
@ 5,208 per sq.ft. (Negotiable)","Lalita Nagar, Bhopal",3 Floors,East,,10+ Year Old,[],"['Private Garden / Terrace', 'Water Storage', 'Visitor Parking', 'Waste Disposal']",[],
"2 Bedroom House for sale in Malikhedi, Bhopal","Malikhedi, Bhopal",₹15 Lac,"₹2,500 /sqft",Ready To Move,"On the lookout for a spacious house in bhopal? Go for this 2 bhk house for sale in malikhedi, a well-Connected locality within bhopal. The house has over super built up area of 600 sq.Ft. And comes with 2 bedrooms, 1 bathroom . This is a ready to move house, which is 1-5 years old. The ownership right of this property is freehold. By paying just 15 lac, you can become the proud owner of this independent house. The independent house provides access to clean water through borewell/tank supply. This independent house is facing the west direction. The beautifully designed marble flooring enhances the beauty of this independent house.","Plot area 600
(55.74 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, No Balcony","₹ 15 Lac
@ 2,500 per sq.ft. (Negotiable)","Malikhedi, Bhopal",1 Floors,West,,1 to 5 Year Old,[],[],[],
"6 Bedroom House for sale in Jahangirabad, Bhopal","Jahangirabad, Bhopal",₹1.2 Cr,"₹6,000 /sqft",Ready To Move,"This 6 bhk house for sale in jahangirabad, a well planned locality in bhopal, is ideal for a family that is looking for complete peace of mind. Containing 6 bedrooms, 4 bathrooms , this independent house is spread over a built up area of 2000 sq.Ft. As the property is already ready to move, so you can easily move into this 0-1 year old house. This house is owned under freehold contract. This spacious house can be all yours at an attractive price of 1.2 crore.","Built Up area: 2000
(185.81 sq.m.)  
sq.ft.","6 Bedrooms , 4 Bathrooms, No Balcony","₹ 1.2 Crore
@ 6,000 per sq.ft.","Jahangirabad, Bhopal",2 Floors,,,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",undefined
"4 Bedroom House for sale in Kolar Road, Bhopal",Ishaan Vista,₹40 Lac,"₹6,666 /sqft",Ready To Move,Urgently sell south face 20x30 sqft,"Plot area 600
(55.74 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 40 Lac
@ 6,666 per sq.ft. (All inclusive, Negotiable)","Ishaan Vista
Kolar Road, Bhopal",1 Floors,,,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"5 Bedroom House for sale in Old Subhash Nagar, Bhopal",Bhopal Housing Board Society,₹2.07 Cr,"₹8,003 /sqft",Ready To Move,"I am looking for buyer to purchase house/villa available for sale in saket nagar, bhopal. Available at price of rs 20650000. It has plot area of 2580 sqft. It has 5 bhk, 3 bathroom, 1 balcony.It is a leasehold property","Plot area 2580
(239.69 sq.m.)  
sq.ft.","5 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 2.06 Crore
@ 8,003 per sq.ft.","Bhopal Housing Board Society
Old Subhash Nagar, Bhopal",2 Floors,,,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"5 Bedroom House for sale in Saket Nagar, Bhopal","Saket Nagar, Bhopal",₹2.07 Cr,"₹8,003 /sqft",Ready To Move,35 old property 6 room 1 hall 3 latri bathroom good locality,"Plot area 2580
(239.69 sq.m.)  
sq.ft.","5 Bedrooms , 3 Bathrooms, 1 Balcony with Others","₹ 2.06 Crore
@ 8,003 per sq.ft. (All inclusive)","Saket Nagar, Bhopal",2 Floors,West,Main Road,10+ Year Old,[],"['Water Storage', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 Bedroom House for sale in Nagarjun Nagar, Bhopal","Nagarjun Nagar, Bhopal",₹1 Cr,"₹6,666 /sqft",Ready To Move,"A well maintained bunglow , corner plot with kitchen garden space , parking space as well as extra space corner plot.","Plot area 1650
(153.29 sq.m.)
Built Up area: 1650 sq.ft. (153.29 sq.m.)
Carpet area: 1500 sq.ft. (139.35 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony with Pooja Room","₹ 1 Crore
@ 6,666 per sq.ft.","Nagarjun Nagar, Bhopal",1 Floors,East,Park/Garden,10+ Year Old,"['1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Park', 'Visitor Parking']",[],
"2 Bedroom House for sale in Vidisha Road, Bhopal",Mayur Homes,₹18 Lac,"₹2,142 /sqft",Ready To Move,With all amenities & facilities this property has easy accessibility to all means of transport.,"Plot area 840
(78.04 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, No Balcony with Others
View Floor Plan","₹ 18 Lac
@ 2,142 per sq.ft. (Negotiable)","Mayur Homes
Vidisha Road, Bhopal",,East,"Park/Garden,Club,Main Road,Others",1 to 5 Year Old    View Construction Status,[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Bank Attached Property', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 Bedroom House for sale in Airport Road, Bhopal",Airport City,₹74.8 - 97.8 Lac,"₹4,666 /sqft",Ready To Move,"Airport city in airport road, bhopal by sky ujjawala builders is a residential project. The project offers villa and land with perfect combination of contemporary architecture and features to provide comfortable living. The villa and land are of the following configurations: 3bhk, 4bhk and 5bhk. The area of the villa is from 104.98 sq. Mt to 173.26 sq. Mt The size of the land is from 72.65 sq. Mt to 112.41 sq. Mt Airport city price ranges from 21.78 lacs to 58.46 lacs. Airport city offers facilities such as gymnasium.It also has amenities like badminton court, basketball court, jogging track, lawn tennis court and swimming pool. It also offers car parking. This is a rera registered project with registration number p-Bpl-17-459. Bank loan approved from hdfc home loans, state bank of india and lic housing finance ltd. It is an under construction project with possession offered in jun, 2023. The project is spread over a total area of 22.52 acres of land. An accommodation of 391 units has been provided. About city: Bhopal is witnessing growth in every aspect. Hence, the real estate market is also witnessing growth. The major drivers of the realty market of this city are booming industries that generate new jobs, infrastructural developments and presence of quality healthcare and educational institutes. The stable demand is to supply ratio further creates an impact on the positivity of real estate markets. The city has a wide mix of residential units including luxury, affordable and mid-Segment.",,,,,,,,,[],[],"[{'Connectivity': '4.3 out of 5'}, {'Lifestyle': '4.3 out of 5'}, {'Safety': '4.2 out of 5'}, {'Green Area': '4.3 out of 5'}]",
"1 Bedroom House for sale in Ayodhya Nagar, Bhopal","Ayodhya Nagar, Bhopal",₹45 Lac,"₹4,545 /sqft",Ready To Move,"It is a housing board property in sector m, ayodhya nagar. The property is near isro with open space behind where no construction is going to happen which makes is suitable for your home garden. Being open from back side, the house got good sunlight as well as properly ventilated.","Plot area 990
(91.97 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, No Balcony","₹ 45 Lac+ Govt Charges & Tax
@ 4,545 per sq.ft. (Negotiable)","Ayodhya Nagar, Bhopal",1 Floors,South-West,Main Road,10+ Year Old,[],"['Recently Renovated', 'Natural Light', 'Airy Rooms', 'Low Density Society']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 Bedroom House for sale in Kolar Road, Bhopal",Windsor Palms,₹38 Lac,"₹6,333 /sqft",Under Construction,"Do you wish to buy an independent house in kolar road, bhopal. This 3 bhk house looks like an ideal choice for somebody looking for peace of mind. The property's proximity to landmarks like close to market, close to railway station, close to highway and close to hospital makes it ideal property for families. This house occupies a super built up area of 600 sq.Ft. And contains 3 bedrooms, 3 bathrooms and 1 balcony. The owner of the house also gets 1 covered and 1 open parking slot(s) to park their car safely. This villa is currently under construction stage and you can expect the possession of the same within 3 months. It is a freehold property. This independent house is available at an attractive price of 42 lac. The independent house is designed very well and will provide modern facilities such as park, maintenance staff and club house / community center. The housing society ensures a continuous supply of water to your house from municipal corporation. This residential house is west-Facing direction.","Plot area 600
(55.74 sq.m.)
Built Up area: 1200 sq.ft. (111.48 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 38 Lac+ Govt Charges & Tax
@ 6,333 per sq.ft. (All inclusive, Negotiable)","Windsor Palms
Kolar Road, Bhopal",1 Floors,West,"Park/Garden,Main Road",Under Construction,[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Park', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 Bedroom House for sale in Kolar Road, Bhopal","Kolar Road, Bhopal",₹26 Lac,"₹3,939 /sqft",Ready To Move,Independent house at good location at reasonable price at kolar road bhopal,"Plot area 660
(61.32 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, No Balcony","₹ 26 Lac+ Govt Charges & Tax
@ 3,939 per sq.ft. (Negotiable)","Kolar Road, Bhopal",1 Floors,North-East,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"6 Bedroom House for sale in Sajida Nagar, Bhopal","Sajida Nagar, Bhopal",₹55.1 Lac,"₹4,318 /sqft",Ready To Move,"Hi buyer , property is located adjacent to vip road making your commute very easy with an amazing view of the lake . Its an independent house with double story includes 6 bedrooms , 2 halls , 3 washrooms , terrace along with parking at a very reasonable price. Don't miss the opportunity","Plot area 1400
(130.06 sq.m.)  
sq.ft.","6 Bedrooms , 3 Bathrooms, 2 Balconies with Servant Room,Study Room,Others","₹ 55.1 Lac
@ 4,318 per sq.ft. (All inclusive, Negotiable) View Price Details","Sajida Nagar, Bhopal",2 Floors,North-East,"Main Road,Others,Park/Garden,Pool",1 to 5 Year Old,[],"['Private Garden / Terrace', 'Water Storage', 'Natural Light', 'Airy Rooms']",[],
"2 Bedroom House for sale in Kotra Sultanabad, Bhopal",independent,₹90 Lac,"₹11,718 /sqft",Ready To Move,"1 corner shop on ground floor, 2 bedroom , hall, kitchen, 2 bathrooms, 2 balconies, terrace","Plot area 768
(71.35 sq.m.)
Built Up area: 900 sq.ft. (83.61 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 90 Lac
@ 11,718 per sq.ft.","independent
Kotra Sultanabad, Bhopal",2 Floors,,Main Road,10+ Year Old,"['2 Bed', '2 Wardrobe', '3 Fan', '1 Modular Kitchen', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",['Water Storage'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
