pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Facing,Overlooking,Property Age,furnishing,features,ratings,Possession in
"3 BHK Flat in Hoshangabad Road, Bhopal",Lakhumal Nikhil Nestles,₹45 Lac,"₹2,769 /sqft",Ready To Move,"Looking for a 3 bhk property for sale in bhopal? Buy this 3 bhk flat in lakhumal nikhil nestles that is situated in hoshangabad road, bhopal. This property faces the south direction. The flat occupies a super built up area of 1625 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 2 balconies. The residential building has 6 floors in total and the flat for sale is located on the 5th floor. This 5-10 years old property is available for immediate possession as the project is ready to move. The well built vitrified flooring enhances the aesthetic appeal of this flat. This residential property is situated near close to school and close to hospital. All the modern amenities such as fitness centre / gym, club house / community center, park, shopping centre, lift(s), security personnel, maintenance staff, water softening plant and visitor parking will make life easier for you. An uninterrupted supply of clean water provides a hassle-Free experience for the residents.","Super Built up area 1625
(150.97 sq.m.)
Carpet area: 1100 sq.ft. (102.19 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies
View Floor Plan","₹ 45 Lac
@ 2,769 per sq.ft. (Negotiable) View Price Details","Lakhumal Nikhil Nestles
Hoshangabad Road, Bhopal",5th   of 6 Floors,South,Main Road,5 to 10 Year Old,"['3 Wardrobe', '5 Fan', '1 Geyser', '4 Light', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in BHEL Sangam Colony, Bhopal",Landmark Square,₹45 Lac,"₹4,285 /sqft",Ready To Move,"Landmark square is one of the most popular destination for buying apartments/ flats in bhel sangam colony, bhopal. You too can be a part of this society by purchasing this 2 bhk flat here. This is a west-Facing property. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a carpet area of 1050 sq.Ft. The flat has a total of 3 floors and this property is situated on top floor. This is a ready to move project and the property is 5-10 years old. The vitrified flooring of this flat is beautifully designed and helps to give it a pleasing look. This flat is located near close to market, close to school and close to hospital. Landmark square is designed very well to provide modern facilities such as visitor parking, lift(s) and park. An uninterrupted supply of clean water provides a hassle-Free experience for the residents.","Carpet area: 1050
(97.55 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 45 Lac
@ 4,285 per sq.ft. (Negotiable) View Price Details","Landmark Square
BHEL Sangam Colony, Bhopal",3rd   of 3 Floors,West,Main Road,5 to 10 Year Old,"['1 Water Purifier', '4 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Geyser', '5 Light', '1 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '2 Bed', '2 Wardrobe', '1 Sofa', '1 Washing Machine', 'No Microwave', 'No Stove', 'No TV']","['Lift(s)', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Hoshangabad Road, Bhopal",SARC Pacific Blue,₹50 Lac,"₹4,545 /sqft",Ready To Move,"Located in the popular residential address of hoshangabad road, bhopal, sarc pacific blue is one of the most preferred destination for apartments in bhopal. This 3 bhk flat is your ticket to be a part of this community. This is a north-Facing property. Constructed on a super built up area of 1420 sq.Ft., the flat comprises 3 bedroom(s), 2 bathrooms and 1 balcony. The property is located on the 4th floor of a 7 floors tall building. As the project is already ready to move, so you can easily move into this 1-5 years old property. The beautifully designed vitrified flooring enhances the beauty of the flat. Proximity to landmarks like close to hospital, close to school and close to market makes this an ideal property for families. All the modern amenities such as grocery shop, security personnel, maintenance staff, club house / community center, fitness centre / gym, park and lift(s) will make life easier for you. The housing society ensures a continuous supply of water to your flat from borewell/tank.","Super Built up area 1420
(131.92 sq.m.)
Carpet area: 1100 sq.ft. (102.19 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 50 Lac
@ 4,545 per sq.ft. View Price Details","SARC Pacific Blue
Hoshangabad Road, Bhopal",4th   of 7 Floors,North,Park/Garden,1 to 5 Year Old,"['5 Fan', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Maintenance Staff', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"1 BHK Flat in Gulabi Nagar, Bhopal",Baghmugaliya,₹14 Lac,"₹3,500 /sqft",Ready To Move,"This 1 bhk flat is located in baghmugaliya, which houses some of the most spacious flats in grande pacific , bhopal. This property faces the west direction. The flat is over 400 sq.Ft. Carpet area and comes with 1 bedroom(s), 1 bathroom and 1 balcony. The flat has a total of 3 floors and this property is situated on 1st floor. This 5-10 years old property is available for immediate possession as the project is ready to move. The beautifully designed vitrified flooring enhances the beauty of the flat. Proximity to landmarks like close to market, close to hospital and close to school makes this an ideal property for families. The society provides continuous water supply from municipal corporation and borewell/tank.","Carpet area: 400
(37.16 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 14 Lac
@ 3,500 per sq.ft. View Price Details","Baghmugaliya
Gulabi Nagar, Bhopal",1st   of 3 Floors,West,,5 to 10 Year Old,[],[],[],
"2 BHK Flat in Hoshangabad Road, Bhopal",Fortune Kasturi,₹40 Lac,"₹3,530 /sqft",Ready To Move,"Fortune kasturi is one of the most popular destination for buying apartments/ flats in hoshangabad road, bhopal. You too can be a part of this society by purchasing this 2 bhk flat here. Constructed on a super built up area of 1133 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 1 balcony. This flat lies on the top level of a 6 storey building. This is a ready to move project and the property is 1-5 years old. Fortune kasturi is designed very well to provide modern facilities such as swimming pool, fitness centre / gym, club house / community center, park, shopping centre, cctv surveillance and lift(s). (Abhinav)","Super Built up area 1133
(105.26 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 40 Lac
@ 3,530 per sq.ft. View Price Details","Fortune Kasturi
Hoshangabad Road, Bhopal",6th   of 6 Floors,,Park/Garden,1 to 5 Year Old    View Construction Status,"['2 Bed', '2 Wardrobe', '3 Fan', '3 Light', '1 Curtains', '1 Modular Kitchen', 'No AC', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Katara Hills, Bhopal",Macker Silver Estate Vertica,₹35 Lac,"₹3,500 /sqft",Ready To Move,"This beautiful 3 bhk flat in katara hills, bhopal is situated in macker silver estate vertica, one of the popular residential society in bhopal. The flat is west-Facing. The flat occupies a carpet area of 1000 sq.Ft. That consists of 3 bedrooms, 2 bathrooms and 1 balcony. This flat is situated on the 5th floor of this 7 floors tall residential building. An added advantage of this 5-10 years old flat is that it is available for immediate possession as the project is already ready to move. The floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. Proximity to landmarks like close to market, close to metro station and close to hospital makes this an ideal property for families. The society is well equipped with many modern amenities, including fitness centre / gym, club house / community center, park, shopping centre, lift(s), maintenance staff and visitor parking. The residential project is well equipped to meet all your water needs through access to borewell/tank supply.","Carpet area: 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac
@ 3,500 per sq.ft. (Negotiable) View Price Details","Macker Silver Estate Vertica
Katara Hills, Bhopal",5th   of 7 Floors,West,Park/Garden,5 to 10 Year Old,[],"['Power Back-up', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Vaishali Nagar, Bhopal",Ganga nagar apartment,₹50 Lac,"₹5,861 /sqft",Ready To Move,For sale 3 bhk newly constructed flat ganga nagar apartment near kamla nagar police station vaishali nagar bhopal Best rental service's,"Carpet area: 853
(79.25 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies with Others","₹ 50 Lac+ Govt Charges & Tax
@ 5,861 per sq.ft. View Price Details","Ganga nagar apartment
Vaishali Nagar, Bhopal",9th   of 9 Floors,North-East,"Others,Park/Garden,Main Road,Sea facing",0 to 1 Year Old,[],"['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",[],
"2 BHK Flat in Katara Hills, Bhopal",Sterling Pride City,₹18.5 Lac,"₹2,275 /sqft",Ready To Move,"Property description: - Its a residential flat Super built-Up area 813 sq.Ft. Selling price- 18.50 lac. Accommodation 2 bedroom, hall, kitchen, 2 balcony Toilets 2 toilet (1 attached) Floor 2nd floor Furnishing status un-Furnished Feature covered campus, club house, garden, Aiims bhopal 6 km Ashima mall 7 km Rani kamlapati railway station 8.5 km Brokerage percentage 2% Location pride city Locality katara hills Property code -25 Loan facility available Note: For more properties you can see our whatsapp catalogue","Super Built up area 813
(75.53 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies
View Floor Plan","₹ 18.5 Lac
@ 2,275 per sq.ft. View Price Details","Sterling Pride City
Katara Hills, Bhopal",4th   of 6 Floors,North,,10+ Year Old    View Construction Status,[],"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Misrod, Bhopal",aryan heights,₹25 Lac,"₹3,571 /sqft",Ready To Move,"Property description:- Property services want to sale a flat at aryan height , hoshangabad road , bhopal:- Following details:- Price:- 25,00,000 Super built up:- 800 sq.Ft. Accommodation: - 2 bhk Floor 2nd floor Lift - Available Possession ready to move Parking: 2 & 4 wheeler. All documents cleared","Super Built up area 700
(65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 25 Lac+ Govt Charges & Tax
@ 3,571 per sq.ft. (All inclusive) View Price Details","aryan heights
Misrod, Bhopal",3rd   of 3 Floors,North,Park/Garden,5 to 10 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Salaiya, Bhopal",Shiva Whispering Woods,₹40 Lac,"₹2,962 /sqft",Ready To Move,"Property description: - Its a residential flat Super built-Up area 1350 sq.Ft. Carpet area 950 sq.Ft. Selling price- 40 lac. Accommodation 3 bedroom, d/d, kitchen , 2 balcony , Toilets 2 toilet Floor 3rd floor Furnishing status un-Furnished Feature covered campus , reserved car parking Amenities jogging track , covered campus , garden , temple J.K. Hospital 4.3 km Bansal hospital 4.6 km Aura mall 4.3 km D-Mart -3.5 km Rani kamlapati railway station 8 km Isbt bus stand -8 km Brokerage percentage 2% Loan facility available Location shiva whispering woods Locality salaiya Property code -151 Note: For more properties you can see our whatsapp catalogue","Super Built up area 1350
(125.42 sq.m.)
Carpet area: 950 sq.ft. (88.26 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies
View Floor Plan","₹ 40 Lac
@ 2,962 per sq.ft. View Price Details","Shiva Whispering Woods
Salaiya, Bhopal",3rd   of 6 Floors,North,,1 to 5 Year Old,[],"['Security / Fire Alarm', 'Lift(s)', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"1 BHK Flat in Kolar Road, Bhopal",Sarvadharm Colony,₹9 Lac,"₹2,571 /sqft",Ready To Move,"Property description:- Property services want to sale a flat at sarvadharma b- Sector, kolar road, bhopal:- Following details:- Price: - 9, 00,000 Super built up: - 350 Accommodation: - 1 bhk Floor - 2nd floor Possession- Ready to move Landmark: - Near kolar bridge Loan facility available For more suitable properties as per your requirements you can visit our catalogue on our whatsapp no","Super Built up area 350
(32.52 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 9 Lac+ Govt Charges & Tax
@ 2,571 per sq.ft. (All inclusive)","Sarvadharm Colony
Kolar Road, Bhopal",2nd   of 3 Floors,North,,10+ Year Old,[],"['Visitor Parking', 'Natural Light']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Awadhpuri, Bhopal",somya park land,₹24 Lac,"₹2,555 /sqft",Ready To Move,"Lift , park ..Well maintained society","Carpet area: 939
(87.24 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 24 Lac
@ 2,555 per sq.ft. View Price Details","somya park land
Awadhpuri, Bhopal",3rd   of 5 Floors,East,Park/Garden,5 to 10 Year Old,[],"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Kalpana Nagar, Bhopal",On Request,₹17 Lac,"₹3,090 /sqft",Ready To Move,Flat is situated near kwality sweets piplani petrol pump on the main road of kaplana nagar. The property can be use for semi commercial purpose as is connected to main road.,"Carpet area: 550
(51.1 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 17 Lac
@ 3,090 per sq.ft. (Negotiable) View Price Details","On Request
Kalpana Nagar, Bhopal",Ground of 4 Floors,East,Main Road,10+ Year Old,[],['Water Storage'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Katara Hills, Bhopal",Tirupati Nand Vihar,₹25 Lac,"₹3,125 /sqft",Ready To Move,"Tirupati nand vihar is one of bhopal's most sought after destination for apartments and this 2 bhk flat in katara hills is your opportunity to be a part of this community. The flat is west-Facing. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a carpet area of 800 sq.Ft. This flat is situated on the 3rd floor of this 7 floors tall residential building. This is a ready to move project and the property is 5-10 years old. The well built marble flooring enhances the aesthetic appeal of this flat. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, park, lift(s) and visitor parking. The residential project is well equipped to meet all your water needs through access to municipal corporation supply.","Carpet area: 800
(74.32 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 25 Lac
@ 3,125 per sq.ft. (Negotiable) View Price Details","Tirupati Nand Vihar
Katara Hills, Bhopal",3rd   of 7 Floors,West,"Main Road,Park/Garden",5 to 10 Year Old,[],"['Lift(s)', 'Swimming Pool', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Bagmugaliya, Bhopal",Sagar Royal Villas,₹38 Lac,"₹3,454 /sqft",Ready To Move,"Check out this 2 bhk apartment for sale in sagar royal villas, a popular residential project that houses in-Demand flats in bagmugaliya, bhopal. The flat is facing the east direction. The floor plan additionally contains 2 bedroom(s), 3 bathrooms and 2 balconies. All in all, the flat is spread over a carpet area of 1100 sq.Ft. The property is located on the 4th floor of a 5 floors tall building. Being a ready to move project, you can expect immediate possession of this 10+ years old property. The beautifully designed marble flooring enhances the beauty of the flat. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, fitness centre / gym, club house / community center, park, lift(s), security personnel, maintenance staff and visitor parking. The residential project is well equipped to meet all your water needs through access to municipal corporation supply.","Carpet area: 1100
(102.19 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 38 Lac
@ 3,454 per sq.ft. (Negotiable) View Price Details","Sagar Royal Villas
Bagmugaliya, Bhopal",4th   of 5 Floors,East,"Park/Garden,Main Road,Club",10+ Year Old,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Awadhpuri, Bhopal",Girnar Hills,₹16 Lac,"₹2,519 /sqft",Ready To Move,"Coverd campus,mandir ,swimming pool","Super Built up area 635
(58.99 sq.m.)
Carpet area: 530 sq.ft. (49.24 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 16 Lac
@ 2,519 per sq.ft. (Negotiable)","Girnar Hills
Awadhpuri, Bhopal",6th   of 6 Floors,,"Park/Garden,Pool",10+ Year Old    View Construction Status,[],"['Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Kolar Road, Bhopal",Danish Hills View,₹50 Lac,"₹4,115 /sqft",Under Construction,3bhk corner flat 2 side park & velly view covered campus with all amenities clubhouse hospital shopping centre park temple healthy lifestyle,"Carpet area: 1215
(112.88 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies
View Floor Plan","₹ 50 Lac+ Govt Charges & Tax
@ 4,115 per sq.ft. (Negotiable)","Danish Hills View
Kolar Road, Bhopal",3rd   of 6 Floors,South-West,"Park/Garden,Main Road,Others",,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Within 6 months
"3 BHK Flat in Kolar Road, Bhopal",Madhuban Heights,₹45 Lac,"₹3,846 /sqft",Ready To Move,"This 3 bhk apartment is available for sale in madhuban heights, one of the most prominent projects for flats in kolar road, bhopal. This is a east-Facing property. The flat occupies a carpet area of 1170 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 2 balconies. This flat is situated on the 4th floor of this 8 floors tall residential building. This 5-10 years old property is available for immediate possession as the project is ready to move. The beautifully designed marble flooring enhances the beauty of the flat. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, fitness centre / gym, club house / community center, park, shopping centre, cctv surveillance, lift(s), maintenance staff and water softening plant. The project provides access to clean water through municipal corporation supply.","Carpet area: 1170
(108.7 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 45 Lac
@ 3,846 per sq.ft. View Price Details","Madhuban Heights
Kolar Road, Bhopal",4th   of 8 Floors,East,,5 to 10 Year Old    View Construction Status,"['3 Bed', '1 Wardrobe', '4 Fan', '1 Sofa', '1 Geyser', '5 Light', '2 AC', '1 TV', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Salaiya, Bhopal",Aakriti Greens,₹28 Lac,"₹3,500 /sqft",Ready To Move,2 bhk flat for sale covered campus in aakriti green's salaiya bhopal,"Carpet area: 800
(74.32 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 28 Lac
@ 3,500 per sq.ft. View Price Details","Aakriti Greens
Salaiya, Bhopal",5th   of 6 Floors,East,"Club,Park/Garden,Main Road",5 to 10 Year Old,[],"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Katara Hills, Bhopal",Signature 360,₹42 Lac,"₹3,333 /sqft",Ready To Move,"This lovely 3 bhk apartment/flat in katara hills is available for sale in one of bhopal's most popular projects, signature 360. This property faces the south-East direction. The floor plan additionally contains 3 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1260 sq.Ft. The residential building has 6 floors in total and the flat for sale is located on the 1st floor. As the project is already ready to move, so you can easily move into this 5-10 years old property. The floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. The society is well equipped with many modern amenities, including fitness centre / gym, club house / community center, park, lift(s) and maintenance staff. The housing society ensures a continuous supply of water to your flat from borewell/tank.","Super Built up area 1260
(117.06 sq.m.)
Built Up area: 902 sq.ft. (83.8 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 42 Lac+ Govt Charges & Tax
@ 3,333 per sq.ft. (Negotiable) View Price Details","Signature 360
Katara Hills, Bhopal",1st   of 6 Floors,South-East,"Pool,Club,Park/Garden,Main Road,Others",5 to 10 Year Old,"['5 Fan', '1 Exhaust Fan', '3 Geyser', '17 Light', '1 Curtains', '1 TV', '1 Chimney', '2 AC', '1 Modular Kitchen', '1 Bed', '3 Wardrobe', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Airport Road, Bhopal",Harshit Lifestyle,₹40 Lac,"₹4,255 /sqft",Ready To Move,"This 3 bhk flat is located in harshit lifestyle, which houses some of the most spacious flats in airport road, bhopal. The flat occupies a carpet area of 940 sq.Ft. That consists of 3 bedrooms, 2 bathrooms and 1 balcony. The residential building has 6 floors in total and the flat for sale is located on the 1st floor. Being a ready to move project, you can expect immediate possession of this 0-1 year old property. Many of the modern amenities being offered, like fitness centre / gym, club house / community center, park, cctv surveillance and lift(s), will provide a pleasant living experience for you.","Carpet area: 940
(87.33 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 40 Lac
@ 4,255 per sq.ft. (Negotiable) View Price Details","Harshit Lifestyle
Airport Road, Bhopal",1st   of 6 Floors,,,0 to 1 Year Old    View Construction Status,[],"['Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Gehun Kheda, Bhopal",Fame Kingdom Palace,₹32 Lac,"₹2,461 /sqft",Ready To Move,3 bhk flat for sale chichli bardagar bhopal,"Built Up area: 1300
(120.77 sq.m.)
Carpet area: 900 sq.ft. (83.61 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 32 Lac
@ 2,461 per sq.ft. View Price Details","Fame Kingdom Palace
Gehun Kheda, Bhopal",3rd   of 6 Floors,East,Main Road,5 to 10 Year Old,"['5 Fan', '1 Exhaust Fan', '5 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Swimming Pool', 'Maintenance Staff', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Hoshangabad Road, Bhopal",SARC Pacific Blue,₹35 Lac,"₹4,117 /sqft",Ready To Move,These are very good flat in pacific blue on hoshangabad road bhopal,"Built Up area: 850
(78.97 sq.m.)
Carpet area: 700 sq.ft. (65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac
@ 4,117 per sq.ft. View Price Details","SARC Pacific Blue
Hoshangabad Road, Bhopal",6th   of 6 Floors,North,"Park/Garden,Pool,Club,Main Road,Others",1 to 5 Year Old,"['4 Fan', '8 Light', '2 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Hoshangabad Road, Bhopal",Raksha Eden Park,₹45 Lac,"₹3,600 /sqft",Ready To Move,Best flat in hoshangabad road bhopal,"Carpet area: 1250
(116.13 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room,Store Room,Study Room,Servant Room","₹ 45 Lac
@ 3,600 per sq.ft. View Price Details","Raksha Eden Park
Hoshangabad Road, Bhopal",2nd   of 6 Floors,,"Pool,Park/Garden,Club,Main Road,Others",1 to 5 Year Old,"['3 Fan', '6 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
